Incidence Rate Report for Arkansas by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Arkansas(6,10)",5000,***,78,76.7,79.3,2818,stable,0.2,-1.8,2.2
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Woodruff County(6,10)",5147,***,123.3,93.1,161.1,12,stable,-8.4,-26.6,14.2
"Poinsett County(6,10)",5111,***,121.8,105.3,140.4,40,stable,6.4,-11.5,27.9
"Lawrence County(6,10)",5075,***,106.1,88.1,127.1,25,stable,0.9,-8,10.6
"Cleveland County(6,10)",5025,***,105.3,80.8,135.9,13,stable,13.7,-21.8,65.4
"Randolph County(6,10)",5121,***,105.2,87.2,126.2,26,rising,13.6,4.7,23.2
"Jackson County(6,10)",5067,***,104.2,86.3,125.1,24,stable,3.8,-13.7,25
"Clay County(6,10)",5021,***,100.7,83.4,121.1,24,stable,-3.5,-20,16.5
"Perry County(6,10)",5105,***,99.1,77.2,126,14,stable,2.2,-32.7,55.2
"Monroe County(6,10)",5095,***,98.2,74.8,127.9,12,stable,9.1,-7.4,28.7
"Lonoke County(6,10)",5085,***,93.4,83.4,104.2,66,stable,-0.7,-12.4,12.7
"Calhoun County(6,10)",5013,***,92.9,65.2,130.7,7,stable,6.6,-28.7,59.4
"Jefferson County(6,10)",5069,***,92.7,83.8,102.4,82,stable,-10.1,-21.7,3.3
"Yell County(6,10)",5149,***,92.5,77.2,110.1,26,stable,-8.9,-18.7,2
"Johnson County(6,10)",5071,***,92.3,77.7,109,29,stable,-3,-18,14.6
"Prairie County(6,10)",5117,***,92.1,70.5,119.6,13,stable,-1.8,-34.8,48.1
"Logan County(6,10)",5083,***,92.1,77.6,108.9,29,stable,6.6,-19.9,41.9
"Grant County(6,10)",5053,***,91.5,74.5,111.6,21,stable,-14.3,-27,0.5
"Howard County(6,10)",5061,***,91.2,71.8,114.6,15,stable,-3.2,-31.8,37.4
"Scott County(6,10)",5127,***,90.4,70.3,115.3,14,stable,-5,-25.5,21.2
"Lafayette County(6,10)",5073,***,88.6,66.7,117.3,11,stable,-2.3,-16.2,13.8
"Nevada County(6,10)",5099,***,88.6,67.1,115.8,12,stable,8.3,-13.3,35.3
"Greene County(6,10)",5055,***,88.3,77.1,100.8,46,stable,-1.9,-14.2,12.2
"Cleburne County(6,10)",5023,***,88.2,76.4,101.8,41,stable,0,-16.2,19.4
"White County(6,10)",5145,***,88,79.5,97.1,81,stable,-2.8,-10.8,6
"Phillips County(6,10)",5107,***,86.9,71.2,105.3,22,stable,-0.7,-25.3,32.1
"Pike County(6,10)",5109,***,86.9,67.3,111,14,stable,1.5,-17.8,25.2
"Marion County(6,10)",5089,***,86.3,71.6,103.9,27,stable,5.9,-12.6,28.4
"Baxter County(6,10)",5005,***,86.1,76.8,96.6,71,stable,-0.2,-12.3,13.5
"Dallas County(6,10)",5039,***,85.8,63.2,114.9,10,stable,-15.6,-43,25.2
"Hot Spring County(6,10)",5059,***,85.4,73.5,98.8,38,stable,-7.4,-30.5,23.5
"Ouachita County(6,10)",5103,***,85.3,72.2,100.4,31,rising,11.6,0.7,23.6
"Madison County(6,10)",5087,***,85.3,68.2,105.7,18,stable,4.9,-20,37.7
"Cross County(6,10)",5037,***,85,68.9,104,20,stable,1,-12.7,17
"Bradley County(6,10)",5011,***,84.9,65.3,109,13,stable,-11.1,-23.9,3.8
"Arkansas County(6,10)",5001,***,84.7,69.4,102.7,22,stable,5.5,-2.2,13.8
"Desha County(6,10)",5041,***,83.6,64.7,106.8,14,stable,-6.7,-16.4,4.1
