Incidence Rate Report for Alabama by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Alabama(6,10)",1000,***,120.9,119.1,122.7,3645,rising,1,0.2,1.7
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Pickens County(6,10)",1107,***,162.1,130.6,199.2,20,stable,4.8,-29.7,56.4
"Conecuh County(6,10)",1035,***,162.1,123.4,209.5,14,stable,-6,-18,7.9
"Bibb County(6,10)",1007,***,157.9,128.2,192.7,21,stable,-3.8,-39.6,53.3
"Autauga County(6,10)",1001,***,148.7,130.3,169,49,stable,-7.8,-23.5,11.3
"Butler County(6,10)",1013,***,147.9,118.8,182.2,20,stable,-1.4,-15.5,15
"Bullock County(6,10)",1011,***,145,102.7,199.2,9,stable,7.5,-22.2,48.4
"Greene County(6,10)",1063,***,141.6,101,194.6,9,stable,-0.7,-10,9.6
"Dallas County(6,10)",1047,***,139.5,119.5,162.1,37,stable,3.7,-8.3,17.4
"Marion County(6,10)",1093,***,139,116.5,164.9,30,stable,12.4,-16.6,51.5
"Monroe County(6,10)",1099,***,138.6,112.3,169.7,21,stable,-0.9,-24.9,30.9
"Lamar County(6,10)",1075,***,137.9,106.8,176.1,15,stable,4.8,-12.2,25.1
"Dale County(6,10)",1045,***,136.5,118.2,157,42,stable,4.5,-20,36.4
"Russell County(6,10)",1113,***,133.4,115.8,153,43,stable,-4.1,-8.8,0.9
