Incidence Rate Report for Alaska by Borough or Census Area

"Breast, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,124.1 ,118.6, 129.9,420,stable,-0.8 ,-4.1, 2.6
"US (SEER+NPCR)(1,10)",00000,***,124.7 ,124.4, 124.9,234445,stable,0.2 ,-0.2, 0.6
"Nome Census Area(6,10)",02180,***,165.3 ,109.6, 238.3,6,stable,-19.9 ,-41.2, 9.2
"Yukon-Koyukuk Census Area(6,10)",02290,***,163.8 ,101.4, 250.7,5,stable,-13.9 ,-39.9, 23.5
"Valdez-Cordova Census Area(6,10)",02261,***,145.6 ,95.9, 211.6,7,stable,-0.3 ,-28.4, 38.9
"Kodiak Island Borough(6,10)",02150,***,140.8 ,98.6, 194.6,8,stable,-3.6 ,-13.5, 7.3
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,140.4 ,82.6, 225.3,4,stable,-14.5 ,-34.9, 12.3
"Matanuska-Susitna Borough(6,10)",02170,***,129.9 ,114.6, 146.7,59,stable,5.0 ,-12.3, 25.7
"Anchorage Municipality(6,10)",02020,***,128.5 ,119.7, 137.7,177,stable,3.1 ,-1.8, 8.3
"Fairbanks North Borough(6,10)",02090,***,125.8 ,109.7, 143.5,51,stable,-6.7 ,-20.6, 9.6
"Juneau City and Borough(6,10)",02110,***,121.9 ,98.3, 149.6,21,stable,0.9 ,-14.1, 18.5
"Kenai Peninsula Borough(6,10)",02122,***,121.5 ,104.3, 140.7,40,stable,0.1 ,-9.5, 10.8
"Ketchikan Gateway Borough(6,10)",02130,***,117.3 ,83.8, 160,9,stable,-23.2 ,-47.0, 11.3
"Southeast Fairbanks Census Area(6,10)",02240,***,108.8 ,62.8, 175.8,4,stable,3.4 ,-36.0, 67.2
"Wrangell-Petersburg Census Area(6,10)",02280,***,107.9 ,64.5, 172.2,4,stable,5.5 ,-37.6, 78.5
"Sitka City and Borough(6,10)",02220,***,91.8 ,58.1, 139,5,stable,-26.1 ,-49.3, 7.7
"Bethel Census Area(6,10)",02050,***,62.3 ,38.2, 96.1,4,stable,-7.1 ,-26.5, 17.3
"Aleutians East Borough(6,10)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area(6,10)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough(6,10)",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area(6,10)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough(6,10)",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough(6,10)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough(6,10)",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough(6,10)",02188,***,* ,*, *,3 or fewer,*,*,*,*
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,* ,*, *,3 or fewer,*,*,*,*
"Wade Hampton Census Area(6,10)",02270,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough(6,10)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 01/14/2019 10:23 pm.
Data for the United States does not include data from Nevada

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."
