Incidence Rate Report for Arkansas by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Arkansas(6,10)",5000,***,114.7,112.4,116.9,2080,stable,2,-1.5,5.6
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Perry County(6,10)",5105,***,145.7,104.8,197.8,9,rising,6.8,2.4,11.4
"Lee County(6,10)",5077,***,135.7,95.6,188.4,8,rising,21.7,5.9,39.7
"Dallas County(6,10)",5039,***,135.6,92.8,192.7,7,rising,17.4,0.8,36.6
"Woodruff County(6,10)",5147,***,133.3,87.9,194.9,6,stable,1.4,-53.1,119.1
"Conway County(6,10)",5029,***,131.8,105.1,163.7,18,stable,1.8,-11.4,17.1
"Washington County(6,10)",5143,***,127.3,117.6,137.6,131,rising,5.1,0.2,10.2
"Marion County(6,10)",5089,***,127.1,98.1,163.1,18,stable,1.9,-25.7,39.6
"Phillips County(6,10)",5107,***,126.8,98.4,160.8,15,stable,7.8,-22,49
"Pulaski County(6,10)",5119,***,125.7,119.2,132.5,293,stable,-4,-12.2,5
"Ashley County(6,10)",5003,***,125,99.3,155.7,17,rising,20.4,13.6,27.6
"Clark County(6,10)",5019,***,125,97.6,157.9,16,stable,5.9,-15.1,32.1
"Little River County(6,10)",5081,***,123.9,91.2,165.1,10,stable,1.5,-35.6,59.8
"Clay County(6,10)",5021,***,122.8,93.1,159.6,13,stable,17.2,-13.8,59.4
"Lincoln County(6,10)",5079,***,122.1,87.6,166.5,9,stable,10.2,-27.8,68.3
"Baxter County(6,10)",5005,***,121.6,105.3,140.3,49,stable,-7.2,-16.8,3.4
"Benton County(6,10)",5007,***,120.4,112,129.3,155,stable,1.9,-6,10.5
"Drew County(6,10)",5043,***,120.2,93,153.3,14,stable,11.3,-7.3,33.8
"Grant County(6,10)",5053,***,119.7,92.3,153.3,13,stable,-0.7,-9.5,8.8
"Faulkner County(6,10)",5045,***,118.8,106.4,132.3,69,stable,2,-6.8,11.5
"Jackson County(6,10)",5067,***,118.8,91.7,151.9,14,stable,5.5,-15.7,32.2
"Crawford County(6,10)",5033,***,118.6,103,135.9,44,falling,-5.4,-10.2,-0.3
"Cleburne County(6,10)",5023,***,117.9,96.1,143.9,24,stable,-3.7,-25.3,24.2
"Prairie County(6,10)",5117,***,117.4,79.2,169.2,7,stable,4.3,-40.6,83.1
"Union County(6,10)",5139,***,117.3,99.1,138.1,32,stable,2.6,-22.2,35.2
"Craighead County(6,10)",5031,***,116.6,103.9,130.5,63,stable,14.3,-2,33.2
"Carroll County(6,10)",5015,***,116.6,96.8,139.9,26,stable,6.6,-14.2,32.3
"Mississippi County(6,10)",5093,***,116.4,98.1,137.2,30,stable,12.6,-5.6,34.4
"Desha County(6,10)",5041,***,116.2,84.6,156.3,10,stable,9.7,-32.6,78.7
"Saline County(6,10)",5125,***,115.8,104.7,127.9,83,stable,-2,-4.5,0.5
"Garland County(6,10)",5051,***,115,103.9,127.1,88,stable,3.7,-10.9,20.8
"Madison County(6,10)",5087,***,114,84.1,151.3,11,stable,2,-34.3,58.4
"White County(6,10)",5145,***,113.9,100.4,128.9,53,rising,9.5,8,11
"Bradley County(6,10)",5011,***,112.5,80.6,153.7,9,stable,-8.9,-55.6,87
"Lonoke County(6,10)",5085,***,112.4,97.8,128.6,43,falling,-7.7,-11.1,-4.1
"Izard County(6,10)",5065,***,111.6,82.6,149.1,12,stable,-3.3,-34,41.5
"Ouachita County(6,10)",5103,***,111.1,89.5,136.8,20,stable,-11.7,-27.4,7.3
"Randolph County(6,10)",5121,***,111,85.7,142.1,14,stable,-0.2,-32,46.5
"Miller County(6,10)",5091,***,110.3,92.7,130.5,29,stable,0.7,-14.8,19
"Cleveland County(6,10)",5025,***,109.6,74.3,157.6,7,stable,18.8,-27.8,95.7
"Sebastian County(6,10)",5131,***,109.1,98.6,120.4,83,stable,1.9,-5.8,10.3
"Sharp County(6,10)",5135,***,108.7,82.6,141.4,15,stable,6.7,-38.3,84.6
"Jefferson County(6,10)",5069,***,108.7,95.2,123.6,51,stable,4.7,-18.7,34.7
"Boone County(6,10)",5009,***,108.5,90.7,129,29,stable,16.4,-3.7,40.6
"Poinsett County(6,10)",5111,***,107.9,85.6,134.5,17,stable,0.9,-13.7,18
"Montgomery County(6,10)",5097,***,107.3,73.4,153.6,8,stable,2.4,-22.1,34.8
"Van Buren County(6,10)",5141,***,106,80.8,137.5,14,stable,-11,-28.7,11
"Howard County(6,10)",5061,***,105.9,77.3,142.3,9,stable,15.1,-25.3,77.5
"Lawrence County(6,10)",5075,***,105,79.3,137,12,stable,-7.8,-28.9,19.5
"Franklin County(6,10)",5047,***,104.4,78.8,136.2,12,stable,13,-12.1,45.1
"Scott County(6,10)",5127,***,104.1,71.5,147.3,7,stable,25.9,-25.4,112.3
"Cross County(6,10)",5037,***,104,77.9,136.4,11,stable,4.8,-15.4,29.7
"Lafayette County(6,10)",5073,***,103.5,65.6,157.2,5,stable,0.7,-20.1,26.9
"Polk County(6,10)",5113,***,103.1,79.4,132.1,15,stable,-0.1,-15.1,17.5
"Greene County(6,10)",5055,***,103,86,122.4,27,stable,-4.3,-23.9,20.2
"Columbia County(6,10)",5027,***,101.4,79,128.4,15,stable,4.3,-12.7,24.6
"Pike County(6,10)",5109,***,101.2,69.5,143.2,7,stable,-16,-33.1,5.5
"Pope County(6,10)",5115,***,99.8,85.4,116,36,stable,-5.7,-30.3,27.7
"Fulton County(6,10)",5049,***,96.9,69.3,133.5,9,stable,-6,-41.1,50
"Stone County(6,10)",5137,***,96.1,69.1,131.7,10,rising,14.2,2.4,27.3
"Yell County(6,10)",5149,***,95.5,73.2,122.7,13,stable,13.8,-11,45.5
"Crittenden County(6,10)",5035,***,94.6,78.8,112.7,26,stable,0.2,-6.7,7.6
"Johnson County(6,10)",5071,***,94.1,73.7,118.6,15,stable,-5,-25.5,21.2
"Chicot County(6,10)",5017,***,92.2,63.6,130.4,8,stable,-3.7,-26,25.5
"Searcy County(6,10)",5129,***,92.1,60.4,137.7,6,stable,24.8,-16.5,86.7
"Hempstead County(6,10)",5057,***,91.9,70.6,117.8,13,falling,-10.7,-15.1,-6.2
"Arkansas County(6,10)",5001,***,89.4,66.4,118.2,11,stable,12.7,-21.1,61.2
"Independence County(6,10)",5063,***,89.3,72.9,108.5,22,stable,-0.4,-15.2,17
"Monroe County(6,10)",5095,***,88.6,59.1,130.8,6,stable,-5.6,-35.8,39
"Hot Spring County(6,10)",5059,***,87.8,70.8,108,20,stable,10.2,-29.1,71.3
"St. Francis County(6,10)",5123,***,84.8,64.6,109.5,13,stable,4.9,-24.6,45.8
"Newton County(6,10)",5101,***,84.7,52.1,132.1,5,stable,-10.1,-21.7,3.2
"Logan County(6,10)",5083,***,83.1,63.6,107.3,13,stable,7.5,-23.4,50.9
"Sevier County(6,10)",5133,***,81.4,57.7,111.8,8,stable,-9.1,-40.5,38.9
"Nevada County(6,10)",5099,***,71.9,44.8,111.3,5,stable,1.8,-31.6,51.5
"Calhoun County(6,10)",5013,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:23 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
,,,,,,,,,,
"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. ",,,,,,,,,,
,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,
,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,
