Incidence Rate Report for California by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"California(3,8)",6000,***,121.5,120.9,122.2,25689,stable,-0.1,-0.4,0.3
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Inyo County(7,8)",6027,***,156.2,123.9,194.7,20,stable,1.9,-1.1,5
"Shasta County(7,8)",6089,***,144.8,135,155.2,183,rising,2.2,0.9,3.6
"Napa County(7,8)",6055,***,141.3,130.1,153.2,127,stable,-0.9,-2.3,0.6
"San Luis Obispo County(7,8)",6079,***,140.4,132.1,149.2,242,stable,0.4,-0.6,1.5
"Marin County(7,8)",6041,***,138.6,130.8,146.7,265,falling,-0.9,-1.3,-0.4
"Placer County(7,8)",6061,***,138.6,131.9,145.5,340,stable,-0.3,-0.8,0.3
"Amador County(7,8)",6005,***,138.2,117.8,161.9,40,stable,-1.2,-3.5,1.1
"Santa Cruz County(7,8)",6087,***,137.7,129.1,146.6,211,stable,0.1,-1.2,1.5
"San Mateo County(7,8)",6081,***,137.1,132.2,142.1,630,falling,-0.7,-1.3,-0.2
"Nevada County(7,8)",6057,***,134.3,121.7,147.9,105,stable,-0.9,-2.4,0.6
"Glenn County(7,8)",6021,***,133.7,108.5,163.1,21,stable,-0.2,-2.5,2.1
"El Dorado County(7,8)",6017,***,133.4,124.1,143.3,169,stable,-0.8,-3.8,2.3
"Sacramento County(7,8)",6067,***,133.1,129.5,136.7,1095,stable,0.5,-0.3,1.4
"Santa Barbara County(7,8)",6083,***,133,126.3,139.9,315,stable,0,-0.9,0.9
"Plumas County(7,8)",6063,***,133,103.6,168.8,19,stable,0.3,-2.4,3.1
"Butte County(7,8)",6007,***,131.6,122.7,140.9,185,stable,-0.2,-1.4,0.9
"Contra Costa County(7,8)",6013,***,131.4,127.4,135.4,877,falling,-1.1,-1.4,-0.7
"Sonoma County(7,8)",6097,***,131.3,125.5,137.2,433,falling,-0.8,-1.5,-0.1
"Ventura County(7,8)",6111,***,130.6,126,135.4,628,stable,-0.1,-0.8,0.6
"Solano County(7,8)",6095,***,130.1,123.6,136.8,323,stable,-0.3,-1.1,0.4
"San Diego County(7,8)",6073,***,129.6,127.2,132.1,2258,stable,-0.4,-0.8,0
"Tehama County(7,8)",6103,***,127.2,111.8,144.2,54,stable,-0.7,-2.4,1
"Yolo County(7,8)",6113,***,127.1,117.3,137.5,130,stable,-0.9,-1.9,0.1
"Mariposa County(7,8)",6043,***,125.5,98.9,158.4,18,stable,-0.4,-3.3,2.6
"San Francisco County(7,8)",6075,***,124.4,119.8,129,591,falling,-0.6,-1,-0.3
"Orange County(7,8)",6059,***,123.9,121.6,126.3,2183,stable,0.1,-0.7,0.8
"Santa Clara County(7,8)",6085,***,121.1,118,124.2,1223,stable,-0.4,-0.8,0
"Alameda County(7,8)",6001,***,120.9,117.7,124.2,1086,falling,-0.4,-0.8,-0.1
"Trinity County(7,8)",6105,***,120.4,88.9,160.9,12,stable,1.2,-2.9,5.4
"San Joaquin County(7,8)",6077,***,118,113,123.2,429,stable,-0.4,-1.1,0.4
"Stanislaus County(7,8)",6099,***,118,112.2,124,325,stable,-0.5,-1.2,0.2
"Monterey County(7,8)",6053,***,115.9,109.4,122.7,247,stable,-0.6,-1.6,0.5
"Los Angeles County(7,8)",6037,***,115.6,114.4,116.9,6308,falling,-0.6,-1,-0.2
"Mono County(7,8)",6051,***,114.8,81,158.4,8,stable,-1.5,-6,3.3
"Riverside County(7,8)",6065,***,114.8,112.1,117.5,1402,falling,-0.6,-1,-0.1
"San Benito County(7,8)",6069,***,114.6,97.7,133.7,34,stable,-0.4,-2.8,2.1
"Fresno County(7,8)",6019,***,113.6,109.3,118.1,526,stable,-0.6,-1.4,0.2
"San Bernardino County(7,8)",6071,***,113,110.1,116,1158,stable,-0.5,-1.2,0.1
"Del Norte County(7,8)",6015,***,112.4,89.3,140,18,stable,-0.4,-3.6,2.9
"Tuolumne County(7,8)",6109,***,112.2,97.1,129.4,49,falling,-19,-32.5,-2.9
"Humboldt County(7,8)",6023,***,111.1,100.7,122.4,92,falling,-1.9,-3.1,-0.7
"Yuba County(7,8)",6115,***,110.9,95.7,127.8,40,falling,-2.2,-4.1,-0.1
"Sutter County(7,8)",6101,***,109.3,97,122.9,59,stable,-1,-3.3,1.5
"Kings County(7,8)",6031,***,108.8,97.1,121.5,64,stable,6.8,-1.7,16.1
"Madera County(7,8)",6039,***,108.5,98.5,119.2,89,stable,-0.4,-1.8,1
"Siskiyou County(7,8)",6093,***,107.5,91.4,126,38,stable,-0.3,-2.6,2
"Kern County(7,8)",6029,***,106.1,101.5,110.9,414,stable,-0.8,-1.6,0.1
"Mendocino County(7,8)",6045,***,105.8,93.9,118.9,66,stable,-1.7,-3.4,0.1
"Imperial County(7,8)",6025,***,103.2,93.7,113.4,90,stable,-0.1,-1.9,1.7
"Merced County(7,8)",6047,***,102.6,94.6,111.2,123,stable,-0.4,-1.5,0.6
"Lake County(7,8)",6033,***,101.8,88.6,116.7,48,falling,-1.5,-2.8,-0.2
"Tulare County(7,8)",6107,***,101.4,95.3,107.8,209,falling,-1.2,-1.9,-0.6
"Lassen County(7,8)",6035,***,98.3,76.5,124.9,15,stable,2.7,-0.4,6
"Calaveras County(7,8)",6009,***,97.1,82.1,114.4,36,falling,-2.4,-4.2,-0.6
"Colusa County(7,8)",6011,***,91.9,67.5,122.1,10,stable,-0.6,-5.5,4.6
"Modoc County(7,8)",6049,***,90.2,59.2,133.8,6,stable,-2.2,-7.3,3.2
Alpine County(7),6003,***,* ,*, *,3 or fewer,*,*,*,*
Sierra County(7),6091,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:24 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
