Incidence Rate Report for Florida by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Florida(6,10)",12000,***,59.7,59.3,60.1,16548,falling,-3.6,-5.4,-1.7
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Union County(6,10)",12125,***,215.1,183.2,251.1,38,stable,-2.5,-24,25
"Dixie County(6,10)",12029,***,102.4,85.3,122.4,27,stable,-5.3,-21.6,14.3
"Okeechobee County(6,10)",12093,***,100.3,88.4,113.4,53,stable,1.3,-8.3,12
"Levy County(6,10)",12075,***,96.5,85.9,108.3,64,stable,-4.1,-12.9,5.7
"Lafayette County(6,10)",12067,***,92.3,66.9,124.5,9,stable,11.7,-11.8,41.5
"Putnam County(6,10)",12107,***,91,83,99.6,102,stable,-3.2,-12.7,7.3
"Baker County(6,10)",12003,***,90.1,75,107.4,26,stable,-15.4,-30.4,2.7
"Columbia County(6,10)",12023,***,89.4,80.8,98.8,81,stable,-6.4,-16.8,5.2
"Wakulla County(6,10)",12129,***,87.6,73.2,104,29,stable,-8,-18.8,4.2
"Hamilton County(6,10)",12047,***,86.9,68.2,109.6,16,stable,9.5,-20.5,50.7
"Taylor County(6,10)",12123,***,84.7,70.6,101.1,26,stable,0,-12.1,13.7
"Bradford County(6,10)",12007,***,81.7,68.8,96.6,29,stable,-4.4,-15.1,7.6
"Bay County(6,10)",12005,***,80.7,75.4,86.2,179,stable,-2.9,-7.6,2.2
"Calhoun County(6,10)",12013,***,80.6,63.6,101.2,16,stable,-2.6,-27.8,31.5
"Suwannee County(6,10)",12121,***,79.6,69.9,90.5,50,stable,-3.2,-13.6,8.4
"Marion County(6,10)",12083,***,77.7,74.4,81.1,483,stable,-4.5,-13.1,4.9
"Clay County(6,10)",12019,***,77.6,72.4,83.2,171,stable,-2.1,-5.8,1.7
"Citrus County(6,10)",12017,***,76.8,72,81.8,239,stable,-5.1,-13,3.6
"Pasco County(6,10)",12101,***,76.2,73.4,79.1,581,stable,-3.8,-9.6,2.3
"Gulf County(6,10)",12045,***,75.8,60.1,95,17,stable,-5.1,-27.7,24.6
"Escambia County(6,10)",12033,***,75.2,71.3,79.3,282,stable,-0.9,-5.7,4
"Nassau County(6,10)",12089,***,74.6,67.5,82.3,85,stable,-5.7,-16.9,6.9
"Duval County(6,10)",12031,***,74.3,71.8,76.9,694,stable,-2.4,-6.9,2.3
"Franklin County(6,10)",12037,***,74.2,56.6,96.3,13,stable,-6.1,-40.7,48.9
"Washington County(6,10)",12133,***,73.6,60.6,88.8,23,stable,3.7,-17.1,29.8
"Gilchrist County(6,10)",12041,***,71.7,57.1,89.3,17,stable,-4.3,-25.5,22.9
"Hernando County(6,10)",12053,***,71.5,67.4,76,237,stable,-4.4,-13.1,5.2
"Volusia County(6,10)",12127,***,70.7,68.2,73.4,595,stable,-2.7,-5.6,0.2
"Brevard County(6,10)",12009,***,70.7,68.2,73.2,648,falling,-1.7,-3.2,-0.3
"Lake County(6,10)",12069,***,70.5,67.3,73.9,390,stable,-6.2,-13.5,1.7
"Santa Rosa County(6,10)",12113,***,69.7,64.4,75.4,130,stable,-8.1,-20.9,6.7
"Okaloosa County(6,10)",12091,***,69.2,64.4,74.2,158,stable,-3.7,-9.6,2.5
"Polk County(6,10)",12105,***,69,66.5,71.5,616,falling,-3.3,-4.6,-2
"Hardee County(6,10)",12049,***,68.9,56.3,83.5,21,stable,-9.7,-34.4,24.5
"Gadsden County(6,10)",12039,***,68.6,59.2,79.2,40,stable,-9.1,-17.9,0.7
"Highlands County(6,10)",12055,***,68.2,62.8,74.1,144,stable,-1.9,-15.1,13.3
"Pinellas County(6,10)",12103,***,67.2,65.3,69.1,1044,stable,-3.9,-8.1,0.4
"Flagler County(6,10)",12035,***,65.7,60.4,71.4,126,stable,0.6,-10.4,12.9
"St. Johns County(6,10)",12109,***,65.6,61.4,70.1,187,stable,0,-6.7,7.2
"Holmes County(6,10)",12059,***,64.2,51.6,79.3,18,stable,-11.7,-36.7,23.1
"Hillsborough County(6,10)",12057,***,64,62.1,66,881,falling,-7.1,-10.4,-3.7
"Indian River County(6,10)",12061,***,64,59.7,68.6,184,stable,1.1,-12.3,16.6
"Liberty County(6,10)",12077,***,63.8,41.9,93.4,6,stable,-17.1,-42.1,18.8
"Hendry County(6,10)",12051,***,62.2,51.6,74.4,24,stable,-3.1,-11.2,5.7
"Walton County(6,10)",12131,***,61.8,54.4,70.1,53,stable,-4.4,-26.5,24.3
"Alachua County(6,10)",12001,***,60.7,56.4,65.3,154,stable,-5.5,-14.7,4.6
"Madison County(6,10)",12079,***,60.7,47.7,76.5,15,stable,11.4,-41.2,111.1
"Charlotte County(6,10)",12015,***,60.5,56.8,64.5,243,stable,0.1,-1.4,1.6
"St. Lucie County(6,10)",12111,***,59.7,56.5,63.1,273,stable,-5.6,-15.9,5.9
"Jackson County(6,10)",12063,***,58.6,50.6,67.7,39,stable,10,-7.1,30.3
"Sumter County(6,10)",12119,***,58.4,53.4,64.1,181,stable,-4.9,-10.7,1.3
"Sarasota County(6,10)",12115,***,56.2,53.8,58.7,490,stable,-1.7,-5.7,2.5
