Incidence Rate Report for Georgia by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Georgia(3,8)",13000,***,125.2,123.8,126.5,6974,stable,0,-0.2,0.3
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
Quitman County(7),13239,***,190.8,108.9,321.8,4,*,*,*,*
Warren County(7),13301,***,185.2,126.7,263.4,8,*,*,*,*
"Wilkes County(7,8)",13317,***,169.9,128.4,221.8,13,rising,4.7,1.2,8.4
Greene County(7),13133,***,151.6,119.6,190.3,20,*,*,*,*
"Calhoun County(7,8)",13037,***,149.8,93.1,229.7,5,stable,-2.2,-7.7,3.7
"Turner County(7,8)",13287,***,148,104.9,204.2,8,stable,3.7,-0.6,8.1
"Crawford County(7,8)",13079,***,144.8,107.9,191,11,stable,1,-1.8,3.9
"Fayette County(7,8)",13113,***,143.6,130.7,157.4,101,stable,0.3,-1.2,1.8
"Tattnall County(7,8)",13267,***,142.3,113.4,176.5,18,stable,0.5,-2.3,3.3
"Oconee County(7,8)",13219,***,142.2,119.7,167.9,30,stable,0,-2.6,2.7
"Baker County(7,8)",13007,***,142.2,80.8,237.4,3,stable,6.1,0,12.6
"Screven County(7,8)",13251,***,138.1,105.6,178.3,13,stable,1.8,-0.9,4.6
"Bacon County(7,8)",13005,***,136.8,98.4,185.6,9,stable,2.6,-2.9,8.5
Washington County(7),13303,***,136.3,108.5,169.4,18,*,*,*,*
"Atkinson County(7,8)",13003,***,136,90.3,197,6,stable,-1.6,-6.3,3.3
"DeKalb County(7,8)",13089,***,136,130.7,141.5,521,stable,0,-0.3,0.3
"Cobb County(7,8)",13067,***,135.2,130,140.7,522,stable,0.8,-0.2,1.8
"Lincoln County(7,8)",13181,***,135.2,91.7,193.9,7,stable,-0.1,-4.3,4.4
"Muscogee County(7,8)",13215,***,134.9,125.2,145.1,150,stable,0.9,-0.7,2.5
"Evans County(7,8)",13109,***,134.3,95.6,183.4,8,stable,2.5,-1.4,6.5
"Clayton County(7,8)",13063,***,134.2,125,143.8,174,rising,0.9,0.3,1.5
"Clarke County(7,8)",13059,***,133.9,119.8,149.3,68,stable,-0.6,-2.2,1.2
"Harris County(7,8)",13145,***,133.6,112.1,158.5,29,stable,0.2,-2.7,3.2
"Mitchell County(7,8)",13205,***,133.3,106.5,165.2,18,stable,0.5,-2.4,3.5
"Henry County(7,8)",13151,***,133.3,123.7,143.5,150,stable,-0.4,-1.9,1.1
"Franklin County(7,8)",13119,***,133.2,107.3,163.9,20,stable,2.7,-0.4,6
"Camden County(7,8)",13039,***,133.2,112.7,156.4,32,stable,1.9,-0.5,4.4
"Newton County(7,8)",13217,***,132.8,119.4,147.2,75,stable,6.4,-5.2,19.5
"Columbia County(7,8)",13073,***,132.8,121.1,145.3,100,stable,0.3,-1.4,1.9
"Chatham County(7,8)",13051,***,132.5,124.4,141,210,stable,0.1,-1,1.1
"Richmond County(7,8)",13245,***,132.4,122.8,142.6,149,stable,-0.3,-1,0.5
"Fulton County(7,8)",13121,***,132.1,127.6,136.7,677,stable,0,-0.3,0.2
"Effingham County(7,8)",13103,***,132.1,113.2,153.2,37,stable,0.3,-1.4,2
"Meriwether County(7,8)",13199,***,131.7,105,163.4,19,stable,0.9,-2.1,4
"Tift County(7,8)",13277,***,131.6,111.4,154.5,32,stable,2.5,-0.4,5.4
"Taylor County(7,8)",13269,***,131.3,90.4,185.5,7,stable,5,-0.2,10.5
"Rockdale County(7,8)",13247,***,131.3,117.4,146.4,68,stable,-0.6,-2.2,0.9
"Spalding County(7,8)",13255,***,131.3,115.3,148.9,52,stable,0.4,-1.5,2.4
"Upson County(7,8)",13293,***,131.2,107.6,158.7,23,stable,1.9,-0.9,4.8
Jasper County(7),13159,***,131,97.1,173.3,11,*,*,*,*
"Douglas County(7,8)",13097,***,130.8,119.1,143.4,96,stable,0.6,-0.9,2.2
"Bibb County(7,8)",13021,***,130.3,119.8,141.5,120,stable,-0.4,-1.8,1.1
"Polk County(7,8)",13233,***,130.1,110.3,152.6,32,stable,1.4,-0.9,3.7
"Dougherty County(7,8)",13095,***,129.3,115.6,144.1,69,stable,0.6,-0.9,2.1
"Miller County(7,8)",13201,***,129.2,83.4,193,5,stable,-0.1,-5.8,6
"Jackson County(7,8)",13157,***,128.9,112.3,147.3,45,stable,1,-1,3.1
"Gwinnett County(7,8)",13135,***,128.8,123.8,133.9,541,stable,0.2,-0.1,0.6
"Stewart County(7,8)",13259,***,128.4,79,202.2,4,stable,3.7,-2.2,9.9
"Troup County(7,8)",13285,***,128.1,112.6,145,52,stable,0.2,-1.2,1.7
"Forsyth County(7,8)",13117,***,127.4,117.8,137.6,135,stable,-0.1,-1.2,1.1
"Terrell County(7,8)",13273,***,126.8,87.9,177.8,8,stable,3.1,-1.5,7.9
"Wayne County(7,8)",13305,***,126.8,103.9,153.4,22,stable,-1.3,-3.7,1.1
"Union County(7,8)",13291,***,126.6,103.4,154.9,27,stable,0,-3.5,3.6
"Pickens County(7,8)",13227,***,126.3,104.3,151.9,26,rising,6.6,3.6,9.7
Morgan County(7),13211,***,126.2,98.2,160.2,15,*,*,*,*
"Jones County(7,8)",13169,***,124.7,102.3,150.9,23,stable,2.1,-0.4,4.7
"Cook County(7,8)",13075,***,124.7,95.1,160.7,12,stable,2,-1.1,5.2
"Jenkins County(7,8)",13165,***,123.9,84.8,176.1,7,stable,3.3,-0.4,7.2
"Crisp County(7,8)",13081,***,123.4,98.8,152.5,19,stable,1.8,-0.8,4.6
"Cherokee County(7,8)",13057,***,123.2,114.4,132.5,154,stable,-0.4,-2.2,1.5
"Ware County(7,8)",13299,***,123.2,102.9,146.5,28,stable,0.5,-2,3
