Incidence Rate Report for Illinois by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Illinois(6,10)",17000,***,66,65.4,66.6,9401,stable,-1.5,-3.4,0.5
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Pulaski County(6,10)",17153,***,124.1,92.5,164.5,11,stable,1.6,-32.5,52.7
"Franklin County(6,10)",17055,***,113.8,101.6,127.2,65,stable,1.9,-8,12.8
"Hardin County(6,10)",17069,***,109.7,77,154.7,8,stable,21.3,-18.1,79.6
"Union County(6,10)",17181,***,103.5,86.6,123.2,27,stable,-4.7,-16.1,8.2
"Cass County(6,10)",17017,***,102.3,81.5,127,17,stable,-1.2,-21.8,24.7
"Hamilton County(6,10)",17065,***,100.2,76.9,129.6,13,stable,-4.2,-29.2,29.6
"Pope County(6,10)",17151,***,99.4,67.5,144.5,7,stable,-0.7,-13.7,14.2
"Williamson County(6,10)",17199,***,97.1,88.1,106.9,87,stable,1.5,-14,19.9
"Mason County(6,10)",17125,***,96.4,78.4,118,21,stable,4.5,-11.6,23.5
"Alexander County(6,10)",17003,***,95.4,71,126.7,10,stable,3.5,-17.6,30.1
"Logan County(6,10)",17107,***,95.4,82,110.5,37,stable,3.5,-18.4,31.3
"Christian County(6,10)",17021,***,95,82.9,108.6,46,stable,3,-15.3,25.2
"Schuyler County(6,10)",17169,***,94.5,69.5,126.7,10,stable,-0.4,-17.1,19.6
"Macon County(6,10)",17115,***,94.3,87.3,101.7,140,stable,1.4,-4.1,7.1
"De Witt County(6,10)",17039,***,93.4,76.3,113.5,21,stable,9.3,-4.5,25.1
"Cumberland County(6,10)",17035,***,92.3,71.6,117.6,14,stable,-5.4,-23.4,16.8
"Montgomery County(6,10)",17135,***,92.1,79.1,106.7,37,stable,5.6,-10.4,24.4
"Menard County(6,10)",17129,***,91.7,72.3,115.3,16,stable,-5.8,-22,13.8
"Brown County(6,10)",17009,***,91.5,63.2,128.9,7,stable,0,-39.2,64.4
"Clay County(6,10)",17025,***,89.7,71.8,111.2,18,stable,4.8,-10.7,23.1
"Vermilion County(6,10)",17183,***,88.9,80.9,97.4,95,stable,-2.2,-15.8,13.5
"Johnson County(6,10)",17087,***,87.8,69.6,109.9,17,stable,-1.2,-7.7,5.7
"Massac County(6,10)",17127,***,87.7,71,107.7,20,stable,-6.7,-28.5,21.9
"Peoria County(6,10)",17143,***,86.9,81.4,92.7,191,stable,-1.6,-11.1,8.8
"Livingston County(6,10)",17105,***,86.9,75.6,99.7,43,stable,-0.3,-27.4,36.9
"Richland County(6,10)",17159,***,86.2,69.9,105.6,20,stable,-0.8,-27.6,35.8
"Macoupin County(6,10)",17117,***,86.2,76.4,97,58,stable,0.2,-12.7,15
"Edwards County(6,10)",17047,***,85.2,61.1,117,8,stable,-6.4,-33.4,31.6
"Grundy County(6,10)",17063,***,85,74,97.2,45,falling,-9.2,-16.3,-1.5
"Greene County(6,10)",17061,***,84.6,66.5,106.5,16,stable,14,-13.7,50.5
"Marion County(6,10)",17121,***,84.5,73.8,96.4,46,stable,-6.1,-14.4,2.9
"Lawrence County(6,10)",17101,***,84.3,67.5,104.3,18,stable,-4.5,-13.9,5.9
"Tazewell County(6,10)",17179,***,84.3,78.2,90.6,149,stable,-1.5,-6.8,4.1
"Gallatin County(6,10)",17059,***,84.2,58.4,119.4,7,stable,1.4,-28.9,44.7
"Saline County(6,10)",17165,***,84.1,71,99,30,stable,-9.7,-29.6,15.7
"Morgan County(6,10)",17137,***,83.4,71.9,96.3,40,stable,8.8,-2.7,21.7
"White County(6,10)",17193,***,83.2,67,102.8,19,stable,20.2,-28,100.7
"Putnam County(6,10)",17155,***,82,58.1,114.8,8,stable,-9.8,-30.5,16.9
