Incidence Rate Report for Iowa by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Iowa(3,8)",19000,***,63.6,62.5,64.8,2425,falling,-1.2,-1.7,-0.6
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Page County(7,8)",19145,***,93.5,76.8,113.2,23,stable,0.8,-0.7,2.2
"Monroe County(7,8)",19135,***,91.7,68.7,121,11,stable,0.8,-1,2.6
"Van Buren County(7,8)",19177,***,86.4,63.8,115.7,10,rising,1.8,0.4,3.2
Ringgold County(7),19159,***,84,58.9,119,8,*,*,*,*
"Des Moines County(7,8)",19057,***,81,70.7,92.7,46,stable,0.5,-0.6,1.6
"Wapello County(7,8)",19179,***,80.7,69.4,93.3,38,stable,0.2,-0.8,1.3
"Clarke County(7,8)",19039,***,79.6,58.6,106.2,10,rising,3.1,1.4,5
"Union County(7,8)",19175,***,78.1,60.4,100.1,14,stable,-0.7,-2.6,1.2
"Pottawattamie County(7,8)",19155,***,76.4,69.4,84,89,stable,-0.2,-0.8,0.5
"Lee County(7,8)",19111,***,76.4,65.7,88.6,38,stable,-0.6,-1.5,0.4
"Buchanan County(7,8)",19019,***,75.2,61.1,91.8,20,stable,0.2,-1.2,1.6
"Appanoose County(7,8)",19007,***,74.7,58.3,95.1,15,rising,1.4,0.2,2.6
"Hamilton County(7,8)",19079,***,74.1,58.4,93.1,16,stable,-0.2,-1.6,1.1
"Mahaska County(7,8)",19123,***,73.6,60.1,89.5,21,stable,0.6,-0.8,2
"Harrison County(7,8)",19085,***,73.1,57.7,92,16,stable,-0.6,-1.9,0.8
"Benton County(7,8)",19011,***,71.9,59.7,86.2,25,stable,-0.2,-1.3,0.8
"Montgomery County(7,8)",19137,***,71.4,54.2,93.4,12,stable,0,-1.9,1.9
"Woodbury County(7,8)",19193,***,71.2,64.3,78.6,81,stable,0,-0.7,0.6
"Adams County(7,8)",19003,***,71,44.9,110.4,5,stable,0.8,-1.1,2.8
"Polk County(7,8)",19153,***,70.5,66.9,74.2,306,stable,-0.4,-0.9,0.1
"Adair County(7,8)",19001,***,69.8,49.6,96.8,8,stable,0.9,-1.1,2.9
"Henry County(7,8)",19087,***,69.6,56,85.9,19,stable,0.7,-0.6,2
"Humboldt County(7,8)",19091,***,69.5,51.6,92.6,10,stable,0.3,-1.6,2.3
"Mills County(7,8)",19129,***,68.6,52.4,88.6,13,stable,-0.9,-2.5,0.7
"Black Hawk County(7,8)",19013,***,68.6,62.7,74.9,104,stable,-0.6,-1.3,0.1
"Jones County(7,8)",19105,***,68.4,55.3,83.9,20,stable,0,-1.4,1.3
"Linn County(7,8)",19113,***,68.4,63.7,73.3,165,stable,-0.2,-0.8,0.4
"Keokuk County(7,8)",19107,***,68.3,51.1,90.4,11,stable,-0.5,-1.8,0.8
"Decatur County(7,8)",19053,***,68.1,47.4,95.8,8,stable,0.5,-1.4,2.4
"Dickinson County(7,8)",19059,***,66.7,54.3,81.9,21,stable,-0.6,-1.9,0.7
"Cerro Gordo County(7,8)",19033,***,66.6,58,76.3,45,stable,-0.7,-1.5,0.1
"Webster County(7,8)",19187,***,66.5,56.7,77.6,34,stable,-0.5,-1.4,0.5
"Scott County(7,8)",19163,***,66.4,61.2,71.9,128,stable,-4.8,-9.6,0.3
"Dallas County(7,8)",19049,***,66.1,57.6,75.5,45,stable,0.1,-0.8,0.9
"Lucas County(7,8)",19117,***,66,48.2,89.6,9,stable,-0.2,-2.1,1.7
"Emmet County(7,8)",19063,***,66,47.4,90.2,9,stable,0.8,-0.9,2.6
"Monona County(7,8)",19133,***,65.7,49.1,87.7,11,stable,0.1,-1.4,1.7
"Hardin County(7,8)",19083,***,65.5,52.3,81.6,18,stable,0.2,-1.1,1.5
"Marshall County(7,8)",19127,***,65.3,55.8,76,35,stable,-0.9,-1.8,0
