Incidence Rate Report for Michigan by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Michigan(5,10)",26000,***,123.4 #  ,122.1,124.7,7614,stable,-1.5,-4.3,1.3
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Grand Traverse County(6,10)",26055,***,159.8 #  ,145,175.7,94,stable,1.6,-8.6,12.9
"Arenac County(6,10)",26011,***,150.6 #  ,117.7,190.8,17,stable,12.6,-17.3,53.2
"Clare County(6,10)",26035,***,140.1 #  ,117,166.8,31,stable,-2.9,-24.1,24.3
"Oakland County(7,8)",26125,***,139,135.3,142.9,1099,stable,0.4,-0.5,1.4
"Alger County(6,10)",26003,***,137.3 #  ,95.4,193.9,9,stable,-1.1,-24.6,29.7
"Shiawassee County(6,10)",26155,***,136.2 #  ,120.7,153.3,60,stable,-1.4,-8.4,6.3
"Kent County(6,10)",26081,***,135.2 #  ,129.6,141,458,stable,-4.1,-13,5.6
"Manistee County(6,10)",26101,***,133.3 #  ,107.4,164.2,23,rising,14.9,0.5,31.4
"Wayne County(7,8)",26163,***,132.4,129.3,135.6,1421,stable,1,-0.1,2.1
"Muskegon County(6,10)",26121,***,131.3 #  ,121.5,141.8,141,stable,-3.1,-9.4,3.7
"Berrien County(6,10)",26021,***,131.2 #  ,121.1,141.9,138,stable,-2.3,-16.5,14.3
"Genesee County(6,10)",26049,***,129.6 #  ,123.4,136.1,342,stable,1.1,-6.1,8.7
"Saginaw County(6,10)",26145,***,129.5 #  ,120.7,138.9,172,stable,-6.5,-14.9,2.7
"Ottawa County(6,10)",26139,***,129 #  ,120.8,137.6,192,stable,-3.9,-15,8.6
"Washtenaw County(6,10)",26161,***,128.8 #  ,121.4,136.6,236,stable,-2.2,-14.1,11.4
"Midland County(6,10)",26111,***,128.8 #  ,115.2,143.7,70,stable,8.6,-2,20.3
"Macomb County(7,8)",26099,***,128.7,124.4,133.2,712,stable,-0.3,-0.6,0
"Dickinson County(6,10)",26043,***,127.8 #  ,104.3,155.5,23,stable,-11,-26.3,7.4
"Montmorency County(6,10)",26119,***,127.4 #  ,93,174.5,11,stable,8.1,-11.4,31.9
"Marquette County(6,10)",26103,***,126.3 #  ,110.2,144.1,51,stable,-5.6,-18.9,10
"Osceola County(6,10)",26133,***,125.7 #  ,100.8,155.4,20,stable,-1,-32.3,44.6
"Ingham County(6,10)",26065,***,125.3 #  ,117,134,183,stable,1.1,-7.7,10.6
"Wexford County(6,10)",26165,***,125.1 #  ,104.3,149.2,27,stable,3.4,-9,17.4
"Lenawee County(6,10)",26091,***,122.1 #  ,109.9,135.4,79,stable,-3.8,-17.6,12.3
"Eaton County(6,10)",26045,***,121.8 #  ,110.1,134.5,85,stable,2,-8.5,13.8
"Gratiot County(6,10)",26057,***,121.3 #  ,101.5,143.9,29,stable,-3.4,-40.6,57.1
"Delta County(6,10)",26041,***,120.6 #  ,102.2,141.7,34,stable,0.7,-18,23.7
"Antrim County(6,10)",26009,***,120 #  ,97.2,147.3,23,stable,12.4,-8.2,37.5
"Leelanau County(6,10)",26089,***,117.6 #  ,92.9,147.7,21,stable,-4.8,-20.6,14
"Cheboygan County(6,10)",26031,***,117.5 #  ,95.9,143.3,25,stable,-6.1,-36.3,38.4
"Emmet County(6,10)",26047,***,116.5 #  ,96.6,139.7,27,falling,-19.4,-33.5,-2.4
"Schoolcraft County(6,10)",26153,***,116.5 #  ,78.5,168.8,7,stable,-8.9,-38.5,35
"Gogebic County(6,10)",26053,***,115.9 #  ,87.1,152.6,13,stable,-11.7,-22.9,1.1
"Ionia County(6,10)",26067,***,115.7 #  ,99.9,133.4,40,stable,-3.5,-10.6,4.1
"Mackinac County(6,10)",26097,***,115.3 #  ,81,160.9,9,stable,-0.6,-35.8,54.1
"Charlevoix County(6,10)",26029,***,115.1 #  ,93,141.4,22,stable,-7.3,-18.3,5.3
"Gladwin County(6,10)",26051,***,115 #  ,93.5,140.8,23,stable,-4.5,-19.8,13.7
"Alpena County(6,10)",26007,***,114.9 #  ,95.5,137.6,27,stable,-7.9,-21.4,7.8
"Jackson County(6,10)",26075,***,113.6 #  ,104.1,123.7,114,stable,-0.9,-10.9,10.4
"Kalamazoo County(6,10)",26077,***,113.5 #  ,105.6,121.9,161,stable,-2.5,-20.6,19.8
"Livingston County(6,10)",26093,***,112.8 #  ,104,122.2,130,stable,1.7,-7.4,11.6
"Tuscola County(6,10)",26157,***,112.6 #  ,97.5,129.5,44,stable,0,-9.5,10.4
"St. Clair County(6,10)",26147,***,111.3 #  ,102.2,121.1,118,stable,-7,-14.9,1.6
"Huron County(6,10)",26063,***,110.6 #  ,91.6,132.9,28,stable,-5,-14,5
"Benzie County(6,10)",26019,***,110 #  ,86.1,139.9,16,stable,6.2,-21.6,43.9
"Mecosta County(6,10)",26107,***,108.5 #  ,90.6,129.2,29,stable,-11.2,-34.4,20
"Houghton County(6,10)",26061,***,108 #  ,87.4,132.1,21,stable,-3.3,-15.6,10.8
"Roscommon County(6,10)",26143,***,106.1 #  ,84.6,132.5,23,stable,-7.4,-28,19.2
"Bay County(6,10)",26017,***,105.8 #  ,95,117.6,78,stable,-1.1,-5.9,4
"Isabella County(6,10)",26073,***,105.2 #  ,89.6,122.8,34,stable,-6.6,-15.2,2.9
"Missaukee County(6,10)",26113,***,105.2 #  ,79.1,138.3,12,stable,18.8,-5.2,48.9
"Montcalm County(6,10)",26117,***,104.8 #  ,90.3,121,40,stable,-10.6,-31.2,16.1
"Lapeer County(6,10)",26087,***,104.3 #  ,92.4,117.3,60,falling,-7.8,-13.7,-1.5
"Calhoun County(6,10)",26025,***,104 #  ,94.2,114.5,89,stable,-6.9,-17.6,5.3
"Hillsdale County(6,10)",26059,***,102.3 #  ,85.9,121,31,stable,-3.4,-24.9,24.1
"Oceana County(6,10)",26127,***,101.1 #  ,79.9,126.5,18,stable,-13.9,-32.5,9.9
"Van Buren County(6,10)",26159,***,101 #  ,88.3,115.1,49,stable,-7,-20,8.1
"Luce County(6,10)",26095,***,100.8 #  ,62.3,159.5,5,stable,-17.8,-40.9,14.4
"Iosco County(6,10)",26069,***,100.3 #  ,81,123.7,24,stable,-9.8,-31.9,19.6
"Otsego County(6,10)",26137,***,100.1 #  ,78.3,126.4,16,stable,6.2,-10.6,26.1
"Chippewa County(6,10)",26033,***,99.3 #  ,80.4,121.5,21,stable,11.3,-12.8,42
"Monroe County(6,10)",26115,***,98.1 #  ,89.1,107.7,95,stable,-5.3,-19.2,11
"Lake County(6,10)",26085,***,96.3 #  ,67.8,135.1,9,stable,-16.7,-36.4,9.1
"Alcona County(6,10)",26001,***,95.1 #  ,69.6,132.4,11,stable,6.7,-27,56
"St. Joseph County(6,10)",26149,***,94.9 #  ,81.3,110.2,37,stable,-4.8,-22.9,17.7
"Newaygo County(6,10)",26123,***,94.8 #  ,80,111.8,31,stable,-8,-26.5,15.1
"Oscoda County(6,10)",26135,***,93.8 #  ,55,149.6,5,stable,20,-4.5,50.8
"Menominee County(6,10)",26109,***,92 #  ,70.6,118.3,15,stable,20.2,-30,106.4
"Allegan County(6,10)",26005,***,90.2 #  ,80.1,101.3,61,stable,-8.8,-22.9,7.8
"Clinton County(6,10)",26037,***,89.4 #  ,77.7,102.6,44,stable,3.6,-17.3,29.7
"Ogemaw County(6,10)",26129,***,88.8 #  ,70.2,111.9,17,stable,15.2,-6.4,41.8
"Kalkaska County(6,10)",26079,***,87.3 #  ,63.2,118.2,10,stable,-18.1,-49.2,32.2
"Branch County(6,10)",26023,***,83.9 #  ,68.7,101.7,23,stable,-6.3,-12.7,0.7
"Sanilac County(6,10)",26151,***,83.7 #  ,68.4,101.6,23,stable,5.7,-21.9,43
"Baraga County(6,10)",26013,***,83.6 #  ,49.4,133.7,4,stable,1.2,-20.1,28.3
"Presque Isle County(6,10)",26141,***,81.7 #  ,60.3,111.4,11,stable,-8,-25.3,13.2
"Ontonagon County(6,10)",26131,***,80.9 #  ,50.5,134.1,5,stable,-20.3,-65.2,82.4
"Iron County(6,10)",26071,***,80.2 #  ,53.4,117.9,8,stable,-2.2,-35.9,49.3
"Mason County(6,10)",26105,***,78.4 #  ,60.6,100.1,16,stable,-6.4,-20.5,10.2
"Barry County(6,10)",26015,***,73.1 #  ,61.3,86.7,29,stable,10.6,-17.4,48.1
"Crawford County(6,10)",26039,***,71 #  ,46.9,104,7,stable,11.7,-33,86.2
"Cass County(6,10)",26027,***,70.3 #  ,58,84.6,26,stable,8.6,-12.6,34.8
"Keweenaw County(6,10)",26083,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:35 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
# Data do not include cases diagnosed in other states for those states in which the data exchange agreement specifically prohibits the release of data to third parties.,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
5 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission. State rates include rates from metropolitan areas funded by SEER [http://seer.cancer.gov/registries/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
7 Source: SEER November 2017 submission.,,,,,,,,,,
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2016 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2017 data. ",,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
,,,,,,,,,,
"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. ",,,,,,,,,,
,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,
,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,
