Incidence Rate Report for Michigan by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Michigan(5,10)",26000,***,65.6 #  ,64.9,66.2,7902,falling,-2.3,-3.6,-1
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Arenac County(6,10)",26011,***,103.8 #  ,86.6,124.2,27,stable,4,-18.1,32
"Osceola County(6,10)",26133,***,90.6 #  ,76.2,107.2,29,stable,-8,-19.1,4.7
"Schoolcraft County(6,10)",26153,***,87.7 #  ,66.5,115.3,13,stable,6.2,-21,42.8
"Roscommon County(6,10)",26143,***,83.9 #  ,71.7,98.2,41,stable,-2.7,-20.4,18.9
"Shiawassee County(6,10)",26155,***,81.8 #  ,73.5,90.9,73,stable,-1.3,-17.1,17.5
"Oscoda County(6,10)",26135,***,81.6 #  ,62.9,106.3,14,stable,-5.9,-34.6,35.4
"Luce County(6,10)",26095,***,79.8 #  ,56,111.9,8,rising,16.6,4,30.8
"Wayne County(7,8)",26163,***,79,77.2,80.8,1583,falling,-2.6,-3.8,-1.3
"Jackson County(6,10)",26075,***,78.5 #  ,73,84.4,156,stable,0.7,-12.7,16
"Missaukee County(6,10)",26113,***,78.3 #  ,62.3,97.8,17,stable,3.8,-25.2,44.1
"Ontonagon County(6,10)",26131,***,78.2 #  ,57.2,109.2,11,stable,9.3,-46.1,121.9
"Wexford County(6,10)",26165,***,77.3 #  ,66.1,90.1,35,stable,-9.2,-25.6,10.8
"Genesee County(6,10)",26049,***,76.4 #  ,73,79.9,394,stable,-3.5,-10.1,3.6
"Chippewa County(6,10)",26033,***,76 #  ,65.2,88.2,36,stable,-3.3,-24.2,23.5
"Mecosta County(6,10)",26107,***,76 #  ,65.5,87.8,40,stable,-1.1,-24.2,29.1
"Muskegon County(6,10)",26121,***,75.7 #  ,70.5,81.4,158,falling,-6.2,-11.6,-0.5
"Clare County(6,10)",26035,***,75.6 #  ,65,87.8,38,stable,0.3,-11.2,13.2
"Cheboygan County(6,10)",26031,***,75 #  ,63.3,88.6,32,stable,-1.4,-20.9,22.9
"Macomb County(7,8)",26099,***,74.2,71.8,76.6,779,stable,1.6,-2.3,5.7
"Gladwin County(6,10)",26051,***,73.9 #  ,62.7,86.9,34,stable,-10.6,-20.5,0.5
"Baraga County(6,10)",26013,***,73.6 #  ,53,100.5,9,falling,-26.9,-46.4,-0.3
"Montmorency County(6,10)",26119,***,73.5 #  ,57,95.5,15,stable,2.4,-17,26.3
"Ogemaw County(6,10)",26129,***,72.8 #  ,60.6,87.4,27,stable,-1.7,-26,30.5
"Iosco County(6,10)",26069,***,71.4 #  ,61,83.6,36,stable,2.3,-16.2,24.9
"Berrien County(6,10)",26021,***,71.1 #  ,66,76.4,151,stable,-0.2,-12.5,14
"Isabella County(6,10)",26073,***,70.1 #  ,60.8,80.3,43,stable,2,-8,13
"Kalkaska County(6,10)",26079,***,70 #  ,55.8,87.2,18,stable,0,-22.5,29
"St. Joseph County(6,10)",26149,***,69 #  ,60.7,78.1,52,stable,-5.6,-17.8,8.5
"Ionia County(6,10)",26067,***,68.7 #  ,60.1,78.2,48,stable,2.5,-26,41.9
"Benzie County(6,10)",26019,***,68.5 #  ,55.7,84,21,stable,-15,-31,4.7
"Lake County(6,10)",26085,***,68.2 #  ,53.3,87.6,15,stable,-9.7,-32.8,21.5
"Calhoun County(6,10)",26025,***,68.1 #  ,62.6,74,117,stable,-2.8,-14.4,10.3
"Hillsdale County(6,10)",26059,***,67.6 #  ,58.6,77.8,42,stable,4,-14,25.8
"Crawford County(6,10)",26039,***,67.4 #  ,53.3,85,16,stable,-10.7,-23.4,4
"Montcalm County(6,10)",26117,***,67 #  ,59.1,75.7,53,stable,-7.1,-19.5,7.3
"Tuscola County(6,10)",26157,***,66.9 #  ,58.8,75.8,51,stable,0.5,-26.2,37
"Van Buren County(6,10)",26159,***,66.3 #  ,59,74.2,64,stable,-2.1,-13.2,10.5
"Saginaw County(6,10)",26145,***,66.1 #  ,61.7,70.8,171,stable,-2,-10.6,7.4
