Incidence Rate Report for Mississippi by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Mississippi(6,10)",28000,***,116,113.7,118.3,2051,stable,0,-2.5,2.5
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Yalobusha County(6,10)",28161,***,161.1,123.3,207.5,13,stable,1.9,-14.6,21.4
"Jefferson County(6,10)",28063,***,149.1,99.2,215.3,6,stable,-20.2,-45.6,17
"Calhoun County(6,10)",28013,***,144,110.9,184.2,14,stable,-2.1,-7.4,3.5
"Copiah County(6,10)",28029,***,143.9,118.6,173.1,25,stable,-9.2,-40.4,38.2
"Bolivar County(6,10)",28011,***,141.9,118.6,168.5,28,stable,11.1,-5.5,30.7
"Pearl River County(6,10)",28109,***,137.1,119.5,156.6,47,stable,-1.9,-12.3,9.8
"Holmes County(6,10)",28051,***,136,104.9,173.3,14,stable,-8.7,-39.2,37.2
"Sunflower County(6,10)",28133,***,134.5,108.3,165.1,19,stable,18.1,-13.7,61.7
"Sharkey County(6,10)",28125,***,133.2,74.8,218.3,4,stable,-32.8,-60.9,15.6
"Leake County(6,10)",28079,***,132,104.7,164.3,17,stable,3.4,-22.1,37.2
"Grenada County(6,10)",28043,***,129.5,103.5,160.4,18,stable,-7.6,-22.5,10
"Yazoo County(6,10)",28163,***,129,103.2,159.4,18,stable,11.5,-1.9,26.6
"Humphreys County(6,10)",28053,***,126,86.8,177.6,7,stable,3.3,-42.6,85.9
"Lamar County(6,10)",28073,***,124.4,107.3,143.4,39,stable,7.7,-7.8,25.8
"Webster County(6,10)",28155,***,124.3,89.1,170,8,stable,-9.1,-22.5,6.7
"Lawrence County(6,10)",28077,***,124.3,91.9,165.2,10,stable,14.9,-12.7,51.2
"Oktibbeha County(6,10)",28105,***,124.2,102.9,148.6,25,stable,1.8,-19.4,28.5
"Madison County(6,10)",28089,***,124,111.1,138,70,stable,0.6,-15.3,19.4
"Coahoma County(6,10)",28027,***,123.9,98.9,153.2,18,stable,-1.2,-10.7,9.4
"Tallahatchie County(6,10)",28135,***,122.7,89.9,163.9,10,stable,-8.1,-30.3,21.3
"Hinds County(6,10)",28049,***,122.6,114.3,131.4,170,stable,-2,-8.8,5.2
"Walthall County(6,10)",28147,***,122.3,93.1,158.4,13,stable,-1.8,-12,9.5
"Lowndes County(6,10)",28087,***,121.7,105.6,139.5,43,stable,4.8,-11.7,24.4
"Stone County(6,10)",28131,***,121.2,92.2,156.6,12,stable,5.2,-6.8,18.9
"Greene County(6,10)",28041,***,120.3,86.2,164.1,9,stable,0.8,-37.7,63.1
"Tishomingo County(6,10)",28141,***,120.1,95.3,149.9,18,stable,2.5,-27.5,45.1
"Adams County(6,10)",28001,***,119.8,98.6,144.5,25,stable,-10.6,-22.7,3.2
"Jefferson Davis County(6,10)",28065,***,119.7,87.3,161,10,stable,14.1,-12.3,48.4
"Lee County(6,10)",28081,***,119.7,106.4,134.2,61,stable,-5.4,-18.5,9.8
"Monroe County(6,10)",28095,***,119.3,100.2,141.4,30,stable,-0.7,-21,24.9
"Harrison County(6,10)",28047,***,119,109.9,128.7,130,stable,2,-8.9,14.3
"Marshall County(6,10)",28093,***,118.3,98.3,141.3,27,stable,3.8,-21.2,36.6
"Washington County(6,10)",28151,***,118.2,101,137.6,36,stable,-1.9,-13,10.6
"Forrest County(6,10)",28035,***,118,103.4,134.2,49,stable,-2.3,-15.5,13
"Rankin County(6,10)",28121,***,117.7,107.5,128.7,101,stable,3.1,-1.6,8
"Jasper County(6,10)",28061,***,117.6,89.6,152,13,stable,17.9,-6,47.8
"Clay County(6,10)",28025,***,117.5,91.2,149.2,15,stable,-2.5,-30.2,36.2
"Jackson County(6,10)",28059,***,116.8,106.5,128,97,stable,7.3,-3.6,19.4
"Lafayette County(6,10)",28071,***,116.8,97.8,138.4,28,stable,-9.5,-34.8,25.6
"Chickasaw County(6,10)",28017,***,115.8,89,148.7,13,stable,8,-32.7,73.6
"Tippah County(6,10)",28139,***,115.7,91.1,145.2,16,stable,15.3,-4.2,38.7
"Jones County(6,10)",28067,***,115.4,101.2,131.2,50,stable,-0.5,-9.8,9.9
"Leflore County(6,10)",28083,***,115.4,93.7,140.7,21,stable,8.3,-14.8,37.7
"DeSoto County(6,10)",28033,***,114.9,105.2,125.3,106,stable,-7.7,-15.2,0.5
"Pontotoc County(6,10)",28115,***,114.2,93,139,21,stable,-4.4,-29.3,29.4
"Amite County(6,10)",28005,***,113.1,81.4,153.8,10,stable,21.7,-12,68.3
"Warren County(6,10)",28149,***,113.1,95.9,132.5,33,stable,2.9,-9.1,16.5
"Claiborne County(6,10)",28021,***,112.4,72.9,165.5,6,stable,-9.6,-45.2,49.2
"Montgomery County(6,10)",28097,***,111.9,78.6,155.5,8,stable,-1.2,-34.3,48.5
"Wayne County(6,10)",28153,***,109.8,85.1,139.8,14,stable,-3.1,-40.1,56.6
"Prentiss County(6,10)",28117,***,109.7,87.3,136.5,18,stable,-8.4,-38.4,36.4
"Union County(6,10)",28145,***,109.5,87.4,135.5,18,stable,-7.8,-22.7,10
"Tunica County(6,10)",28143,***,109.2,72.5,157.6,6,stable,-14.7,-42.8,27.1
"Scott County(6,10)",28123,***,108.3,86.2,134.4,17,stable,7.2,-7.3,24
"Tate County(6,10)",28137,***,107.9,86.1,133.7,18,stable,-14.7,-33.1,8.6
"Winston County(6,10)",28159,***,107.1,81.8,138.1,13,stable,7.7,-15.4,37.2
"Clarke County(6,10)",28023,***,106.6,80,139.7,12,stable,18,-2.1,42.2
