Incidence Rate Report for Missouri by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Missouri(6,10)",29000,***,74.2,73.3,75.1,5403,falling,-1.9,-3,-0.9
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Madison County(6,10)",29123,***,118.9,96.9,145,21,stable,7.1,-1.2,16
"Dunklin County(6,10)",29069,***,112.9,98.8,128.7,47,stable,1,-9.5,12.8
"Ripley County(6,10)",29181,***,110.9,91.5,133.9,23,stable,-5.2,-16.9,8
"St. Francois County(6,10)",29187,***,110.2,100.1,121.2,88,rising,5.5,2.6,8.6
"New Madrid County(6,10)",29143,***,109.3,91.4,130.1,27,falling,-5.1,-9.3,-0.8
"Carter County(6,10)",29035,***,108.5,78.2,147.6,9,stable,-8.7,-44.8,50.9
"Iron County(6,10)",29093,***,104.3,82.4,131,16,stable,-10.2,-38.2,30.4
"Wayne County(6,10)",29223,***,102.7,83.8,125.2,22,stable,-0.4,-9.7,9.9
"Crawford County(6,10)",29055,***,102.1,87.1,119.2,34,stable,-6.1,-14.8,3.6
"Morgan County(6,10)",29141,***,100.7,85.4,118.5,34,stable,-7.7,-21.7,8.7
"Benton County(6,10)",29015,***,98.5,84.4,115.2,38,stable,-2.5,-27.7,31.3
"Henry County(6,10)",29083,***,98.4,83.5,115.5,32,stable,0.6,-14.6,18.5
"Butler County(6,10)",29023,***,98.2,87.1,110.4,59,stable,6.5,-2.6,16.5
"Mississippi County(6,10)",29133,***,97,77.5,120.2,17,stable,-10.1,-20.9,2.2
"Stoddard County(6,10)",29207,***,96.2,83.3,110.7,41,stable,3.8,-3,11.1
"Scott County(6,10)",29201,***,95.8,83.9,109,48,stable,-3.6,-8.8,2
