Incidence Rate Report for Montana by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Montana(6,10)",30000,***,55.7,53.9,57.6,729,stable,-3.1,-7.5,1.5
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Meagher County(6,10)",30059,***,92.5,52.2,162.9,3,*,*,*,*
"Powell County(6,10)",30077,***,81.4,57.8,112.9,8,stable,5.4,-17.7,34.9
"Dawson County(6,10)",30021,***,80.5,60,106.5,11,stable,-10.8,-36.9,26
"Lincoln County(6,10)",30053,***,76.9,64.2,92.2,27,stable,8.3,-14.3,36.9
"Custer County(6,10)",30017,***,76.5,58.8,98.6,13,stable,-5.7,-12.1,1.2
"Blaine County(6,10)",30005,***,70.1,45,104.4,5,stable,8.1,-16.4,39.8
"Richland County(6,10)",30083,***,69.3,50.3,93.5,9,stable,-34.2,-58.7,4.7
"Pondera County(6,10)",30073,***,68.8,45,101.5,6,stable,0.9,-34.2,54.9
"Roosevelt County(6,10)",30085,***,66.8,45.7,94.1,7,stable,0.3,-25.9,35.8
"Glacier County(6,10)",30035,***,66.5,47.4,90.7,8,stable,-12.2,-33.7,16.4
"Sheridan County(6,10)",30091,***,65.8,40.8,105.2,4,stable,-27.8,-61.4,35
"Flathead County(6,10)",30029,***,62.5,56.2,69.4,75,stable,3.9,-5.7,14.6
"Cascade County(6,10)",30013,***,61.9,55.3,69.2,66,stable,-1.9,-15.1,13.4
"Sweet Grass County(6,10)",30097,***,60.9,36.3,100.7,4,stable,-15.2,-50.1,44.1
"Broadwater County(6,10)",30007,***,60.3,39,91.4,5,stable,24,-5.1,62.1
"Phillips County(6,10)",30071,***,60.1,36.6,96.6,4,stable,3.2,-15.2,25.6
"Sanders County(6,10)",30089,***,60,45.6,79,13,stable,-3.3,-24.3,23.7
"Teton County(6,10)",30099,***,59.4,39.7,87.5,6,stable,16.8,-23.3,77.7
"Yellowstone County(6,10)",30111,***,59.3,54.3,64.6,109,stable,-1.2,-15.2,15.1
