Incidence Rate Report for Nebraska by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Nebraska(6,10)",31000,***,59,57.5,60.5,1252,stable,-0.8,-4.9,3.4
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Morrill County(6,10)",31123,***,81,53.4,119.5,6,stable,-1.9,-20,20.2
"Nemaha County(6,10)",31127,***,80,55.3,112.6,7,stable,-0.7,-41.4,68.3
"Merrick County(6,10)",31121,***,78.4,57,106.3,9,stable,-6.2,-25.5,18.1
"Pawnee County(6,10)",31133,***,78.1,47.4,128.6,4,*,*,*,*
"Polk County(6,10)",31143,***,77.7,52.6,112.8,6,stable,-9.9,-22.1,4.2
"Richardson County(6,10)",31147,***,75.9,55.5,102.6,10,stable,19.5,-19.5,77.5
"Furnas County(6,10)",31065,***,75.4,48.6,113.7,6,stable,9.4,-51.1,144.9
"Johnson County(6,10)",31097,***,74.7,48.5,111.6,5,stable,-9.8,-57.5,91.5
"Adams County(6,10)",31001,***,69.3,57.8,82.5,27,stable,1,-18,24.4
"Burt County(6,10)",31021,***,69.1,48.7,97.2,8,stable,19.1,-39.4,134
"Dodge County(6,10)",31053,***,68.1,58.2,79.3,35,stable,-7,-21,9.4
"Douglas County(6,10)",31055,***,68,64.8,71.4,346,falling,-3.2,-5.1,-1.2
"Gage County(6,10)",31067,***,67.9,55.5,82.5,22,stable,6.1,-6.7,20.6
"Saline County(6,10)",31151,***,67.2,50.3,88.1,11,stable,0.7,-45,84.6
"Lincoln County(6,10)",31111,***,66.6,56.4,78.2,31,stable,7.9,-2,18.9
"Sarpy County(6,10)",31153,***,66.2,60.2,72.8,91,stable,-0.4,-8.8,8.8
"Cass County(6,10)",31025,***,65.1,52.9,79.4,21,stable,11.4,-2,26.5
"Dakota County(6,10)",31043,***,63.2,48.6,80.8,13,stable,-0.2,-41.5,70.5
"Otoe County(6,10)",31131,***,61.2,47.2,78.4,14,stable,-4.6,-25.7,22.4
"Nance County(6,10)",31125,***,60.6,34.8,101.4,4,stable,35.2,-26.8,149.9
"Hamilton County(6,10)",31081,***,60.3,42.7,83.7,8,rising,12.7,1.6,24.9
"Thayer County(6,10)",31169,***,60.3,38.3,92.7,5,stable,-15.1,-44,28.6
"Hall County(6,10)",31079,***,60.2,52.1,69.3,41,stable,-2.7,-17.2,14.3
"Madison County(6,10)",31119,***,60,49.7,71.8,25,stable,7.8,-2.6,19.4
"Platte County(6,10)",31141,***,59.5,49,71.7,23,stable,0.3,-19.8,25.5
"Butler County(6,10)",31023,***,57.6,40.1,81.4,7,rising,31.6,26.7,36.7
"Fillmore County(6,10)",31059,***,57.4,38.1,86,6,stable,6.5,-25,51.2
"Pierce County(6,10)",31139,***,56.8,37.6,83.6,6,stable,-4.9,-54.2,97.8
"Washington County(6,10)",31177,***,56.7,44.6,71.3,16,stable,3.7,-15.4,27.3
"Chase County(6,10)",31029,***,56.5,32.1,94.9,3,*,*,*,*
"Dixon County(6,10)",31051,***,56.1,35.8,85.5,5,stable,-14.4,-36.4,15.1
"Keith County(6,10)",31101,***,56.1,39.4,79.1,8,stable,26.9,-12.5,84.1
"Lancaster County(6,10)",31109,***,56,52.2,60.2,161,stable,-4.3,-13.7,6.2
"Webster County(6,10)",31181,***,55.8,32.9,93.3,4,stable,0.4,-24.2,33
"Howard County(6,10)",31093,***,55.1,35.8,82.7,5,stable,0.4,-38.5,63.7
"Thurston County(6,10)",31173,***,54.6,32,86.8,4,stable,-5.8,-35.9,38.5
"Saunders County(6,10)",31155,***,54.6,43,68.6,16,stable,-16.7,-33.5,4.2
"Clay County(6,10)",31035,***,53.5,33.8,81.7,5,stable,-10.4,-27.4,10.8
"Red Willow County(6,10)",31145,***,53.4,38.1,73.5,8,stable,4.6,-38.7,78.6
"Jefferson County(6,10)",31095,***,53.4,35.9,78,7,stable,3.7,-56.4,146.4
"Franklin County(6,10)",31061,***,52,29.6,92.1,3,*,*,*,*
"Dawson County(6,10)",31047,***,51.9,40.5,65.5,15,stable,-5.1,-20.2,12.7
"Custer County(6,10)",31041,***,51.7,37.6,70.4,9,stable,-3.1,-32.4,39
"Knox County(6,10)",31107,***,51.1,35.8,72.5,7,stable,-7.4,-34.8,31.6
"Kimball County(6,10)",31105,***,49.9,28.5,85.6,3,*,*,*,*
"Cheyenne County(6,10)",31033,***,49.5,33.6,70.8,6,stable,7.8,-22.2,49.4
"Buffalo County(6,10)",31019,***,49.1,40.3,59.1,23,stable,-0.4,-18.9,22.4
"Phelps County(6,10)",31137,***,48.8,33.7,69.5,7,stable,6,-34.5,71.5
"Nuckolls County(6,10)",31129,***,48.7,29.7,80,4,stable,-21.9,-46.9,15
"Sheridan County(6,10)",31161,***,48.7,31,76.1,5,stable,24.3,-7.1,66.4
"Wayne County(6,10)",31179,***,47.8,30.7,71.7,5,stable,5.8,-15.6,32.7
"Dawes County(6,10)",31045,***,47.7,32.1,69.6,6,stable,0.5,-14.9,18.6
"Kearney County(6,10)",31099,***,47.5,29.8,73.2,5,stable,-4.7,-55.6,104.4
"Cuming County(6,10)",31039,***,45.1,30.7,65.2,6,stable,-2.1,-29.9,36.7
"York County(6,10)",31185,***,44.8,32.2,61.2,9,stable,-1.4,-18.5,19.2
"Holt County(6,10)",31089,***,44.2,31.2,61.9,8,stable,-9.7,-30.7,17.6
"Boone County(6,10)",31011,***,44,24.7,74.2,4,stable,-28.5,-61.3,32.1
"Seward County(6,10)",31159,***,44,32.1,59.1,9,stable,2.4,-28.9,47.4
"Valley County(6,10)",31175,***,43.8,24.8,75.6,3,*,*,*,*
"Antelope County(6,10)",31003,***,42.9,27.3,66.4,5,stable,-14,-48.5,43.8
"Scotts Bluff County(6,10)",31157,***,41.9,34,51.2,20,stable,6.6,-5.4,20.1
"Colfax County(6,10)",31037,***,41.5,25.9,63.1,4,rising,34.2,15.1,56.5
"Cedar County(6,10)",31027,***,37.4,24.4,56.4,5,stable,15.2,-1.5,34.8
"Box Butte County(6,10)",31013,***,37,24.4,54.5,6,falling,-18.7,-33,-1.3
"Arthur County(6,10)",31005,***,* ,*, *,3 or fewer,*,*,*,*
"Banner County(6,10)",31007,***,* ,*, *,3 or fewer,*,*,*,*
