Incidence Rate Report for North Dakota by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"North Dakota(6,10)",38000,***,58.2,55.9,60.7,480,stable,-1.9,-5.2,1.4
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Rolette County(6,10)",38079,***,100.5,77.1,128.6,13,stable,-4.6,-34.5,38.8
"Mercer County(6,10)",38057,***,74.5,53.3,102.1,9,stable,19,-14,64.7
"Mountrail County(6,10)",38061,***,74,50.6,104.4,7,stable,0.6,-35.2,56.3
"Ramsey County(6,10)",38071,***,73.9,56,96.2,12,stable,-7.8,-32.7,26.3
"Bottineau County(6,10)",38009,***,72.5,51.8,100.8,8,stable,-1.8,-30.1,37.8
"Sargent County(6,10)",38081,***,71.3,44.3,112.1,4,stable,-5.6,-28.2,24.1
"Traill County(6,10)",38097,***,64.4,43.6,92.1,7,stable,-13.6,-40,24.3
"Pembina County(6,10)",38067,***,64.2,44.4,91.4,8,stable,-19.5,-40.8,9.5
"Morton County(6,10)",38059,***,64.1,52.6,77.6,22,stable,-7.2,-27.4,18.7
"Bowman County(6,10)",38011,***,64.1,36.3,108.6,3,*,*,*,*
"McLean County(6,10)",38055,***,63.6,46.8,85.8,10,stable,6.2,-32.6,67.5
"Williams County(6,10)",38105,***,63.2,49.8,78.9,16,stable,4.3,-16.3,30.1
"Walsh County(6,10)",38099,***,62.6,46.8,82.9,11,stable,-10.8,-30.4,14.3
"Grand Forks County(6,10)",38035,***,62.5,53.8,72.2,39,stable,7.3,-6.5,23.1
"Ward County(6,10)",38101,***,61.9,53.5,71.4,39,stable,-4.2,-21.2,16.6
"Stutsman County(6,10)",38093,***,60.9,48.7,75.6,18,stable,4.2,-16.7,30.3
"Ransom County(6,10)",38073,***,59.8,38.4,90.8,5,stable,-1.8,-38.3,56.3
"Cass County(6,10)",38017,***,59,53.4,65.1,85,stable,-4,-12.4,5.3
"Barnes County(6,10)",38003,***,58.6,42.9,78.9,10,stable,4.1,-11.2,21.9
"Benson County(6,10)",38005,***,58.5,34.6,92.3,4,stable,12.7,-45.1,131.6
"Burleigh County(6,10)",38015,***,57.3,50.8,64.5,58,stable,2.3,-8.3,14.1
"McHenry County(6,10)",38049,***,55.8,35.4,85.3,5,stable,-10,-36.9,28.2
"Pierce County(6,10)",38069,***,55,33.4,88.4,4,stable,-2,-50.3,93.5
"Cavalier County(6,10)",38019,***,54.2,33.3,88.8,4,stable,-19.2,-50,30.6
"Richland County(6,10)",38077,***,52.4,38.9,69.5,11,stable,13.2,-21.3,62.9
"Wells County(6,10)",38103,***,51,31.5,83.3,4,stable,2.6,-24.7,39.7
"Dickey County(6,10)",38021,***,50.3,30.1,81,4,stable,-12.8,-46.7,42.7
"Nelson County(6,10)",38063,***,49.4,28.1,89.1,3,*,*,*,*
"Stark County(6,10)",38089,***,49.3,38.5,62,15,stable,-10.3,-41.5,37.5
"McKenzie County(6,10)",38053,***,42.4,24.4,67.9,4,stable,15.9,-36.9,113.1
"Adams County(6,10)",38001,***,* ,*, *,3 or fewer,*,*,*,*
"Billings County(6,10)",38007,***,* ,*, *,3 or fewer,*,*,*,*
"Burke County(6,10)",38013,***,* ,*, *,3 or fewer,*,*,*,*
"Divide County(6,10)",38023,***,* ,*, *,3 or fewer,*,*,*,*
"Dunn County(6,10)",38025,***,* ,*, *,3 or fewer,*,*,*,*
"Eddy County(6,10)",38027,***,* ,*, *,3 or fewer,*,*,*,*
"Emmons County(6,10)",38029,***,* ,*, *,3 or fewer,*,*,*,*
"Foster County(6,10)",38031,***,* ,*, *,3 or fewer,*,*,*,*
"Golden Valley County(6,10)",38033,***,* ,*, *,3 or fewer,*,*,*,*
"Grant County(6,10)",38037,***,* ,*, *,3 or fewer,*,*,*,*
"Griggs County(6,10)",38039,***,* ,*, *,3 or fewer,*,*,*,*
"Hettinger County(6,10)",38041,***,* ,*, *,3 or fewer,*,*,*,*
"Kidder County(6,10)",38043,***,* ,*, *,3 or fewer,*,*,*,*
"LaMoure County(6,10)",38045,***,* ,*, *,3 or fewer,*,*,*,*
"Logan County(6,10)",38047,***,* ,*, *,3 or fewer,*,*,*,*
"McIntosh County(6,10)",38051,***,* ,*, *,3 or fewer,*,*,*,*
"Oliver County(6,10)",38065,***,* ,*, *,3 or fewer,*,*,*,*
"Renville County(6,10)",38075,***,* ,*, *,3 or fewer,*,*,*,*
