Incidence Rate Report for Ohio by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Ohio(6,10)",39000,***,69.3,68.7,69.9,9794,falling,-1.6,-2.6,-0.6
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Vinton County(6,10)",39163,***,117.7,95.1,144.4,20,stable,-4.6,-28.2,26.8
"Brown County(6,10)",39015,***,101.7,90.2,114.4,58,stable,-1,-16.7,17.7
"Ross County(6,10)",39141,***,94.7,86,104,90,stable,4.2,-10.5,21.3
"Pike County(6,10)",39131,***,92.6,78.9,108,34,stable,3.3,-4.5,11.6
"Jackson County(6,10)",39079,***,92.3,79.2,107,37,stable,3,-17.4,28.4
"Muskingum County(6,10)",39119,***,89.5,81.7,98,99,stable,0,-12.8,14.7
"Fayette County(6,10)",39047,***,88,74.9,103,33,stable,-5.4,-19.4,11
"Perry County(6,10)",39127,***,87.1,74.9,100.8,38,stable,4.8,-11.1,23.4
"Morrow County(6,10)",39117,***,86.4,74.3,100,38,stable,-1,-20,22.6
"Washington County(6,10)",39167,***,84.5,76.2,93.7,77,stable,-0.6,-12.5,12.9
"Adams County(6,10)",39001,***,83.3,70.6,97.9,31,stable,1.7,-26.4,40.5
"Scioto County(6,10)",39145,***,83,75.1,91.5,83,stable,-1.6,-15.5,14.5
"Guernsey County(6,10)",39059,***,81.4,70.8,93.2,44,stable,2.9,-5.1,11.6
"Meigs County(6,10)",39105,***,81.3,67.7,97.1,26,stable,-2,-15,13
"Hardin County(6,10)",39065,***,81.3,68.6,95.7,30,stable,8.2,-7.2,26.2
"Clermont County(6,10)",39025,***,81.2,75.9,86.7,186,stable,-0.9,-7,5.6
"Clinton County(6,10)",39027,***,80,69.3,92.1,41,stable,4.8,-7,18.2
"Lawrence County(6,10)",39087,***,78.8,70.4,88,65,stable,-4.6,-26.3,23.5
"Jefferson County(6,10)",39081,***,78.6,70.9,87,79,stable,-1.9,-10.9,7.9
"Gallia County(6,10)",39053,***,78.5,66.8,91.9,33,stable,-4.9,-17.5,9.6
"Madison County(6,10)",39097,***,78.3,67.5,90.4,39,stable,-2.8,-20,18
"Marion County(6,10)",39101,***,77.6,69.2,86.7,65,stable,-2.7,-14.1,10
"Trumbull County(6,10)",39155,***,77.4,72.9,82.1,231,stable,-3.1,-7.6,1.5
"Crawford County(6,10)",39033,***,76.2,66.6,86.8,47,stable,0.5,-16.5,21.1
"Paulding County(6,10)",39125,***,76,61.5,93.3,19,stable,-2.2,-17.3,15.7
"Ashtabula County(6,10)",39007,***,76,69.5,83.1,102,stable,-3.6,-15.6,10.2
"Preble County(6,10)",39135,***,75.7,65.7,87,42,stable,6.1,-4.7,18
"Pickaway County(6,10)",39129,***,75.6,66.4,85.7,50,stable,4.9,-4,14.6
"Hamilton County(6,10)",39061,***,75.1,72.6,77.7,689,stable,-0.6,-5.2,4.2
"Clark County(6,10)",39023,***,74.9,69.3,80.8,138,stable,5.2,-1,11.8
"Montgomery County(6,10)",39113,***,74.7,71.7,77.7,510,stable,-1.4,-7.3,4.8
"Hocking County(6,10)",39073,***,74.6,62.6,88.4,28,stable,-6.1,-17,6.4
"Athens County(6,10)",39009,***,74.2,64.5,85,44,stable,1,-7.6,10.4
"Licking County(6,10)",39089,***,73.6,68.4,79.2,149,stable,-0.5,-13.3,14.2
"Highland County(6,10)",39071,***,73.6,63.7,84.7,41,stable,-1.3,-12.3,11
"Butler County(6,10)",39017,***,73.5,69.7,77.4,290,stable,-2.9,-8.6,3.1
"Sandusky County(6,10)",39143,***,72.9,64.5,82.1,57,stable,-1.2,-10.9,9.5
"Coshocton County(6,10)",39031,***,72.4,62.2,83.9,37,stable,-3.2,-22.5,20.9
