Incidence Rate Report for South Carolina by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"South Carolina(6,10)",45000,***,128.3,126.4,130.1,3845,stable,0.4,-0.8,1.5
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"McCormick County(6,10)",45065,***,167.4,122.3,226.6,13,stable,-8.5,-33.3,25.5
"Fairfield County(6,10)",45039,***,146.5,119.6,178.1,23,stable,8.7,-19,45.7
"Richland County(6,10)",45079,***,141.8,134.5,149.3,297,stable,1.2,-1,3.4
"Dorchester County(6,10)",45035,***,140.4,128.7,153,111,stable,-3.9,-10.4,3.1
"Lee County(6,10)",45061,***,137,107.1,173.1,16,stable,3.8,-28,49.8
"Chester County(6,10)",45023,***,135.3,113.4,160.5,29,stable,3.1,-14.8,24.9
"Kershaw County(6,10)",45055,***,135.2,119.1,153,55,stable,-2,-12.4,9.6
"Beaufort County(6,10)",45013,***,134.7,124.9,145,173,stable,-0.5,-6.5,5.9
"Greenville County(6,10)",45045,***,133.9,127.9,140.2,381,stable,1.8,-1.8,5.6
"Lexington County(6,10)",45063,***,133.5,125.5,141.8,220,stable,0.1,-5.3,5.7
"Lancaster County(6,10)",45057,***,133.4,119.3,148.7,72,stable,3.9,-8.5,17.9
"Spartanburg County(6,10)",45083,***,133.3,125.7,141.3,238,stable,1,-7.7,10.5
"Charleston County(6,10)",45019,***,132.8,125.9,140,297,stable,0.9,-5.4,7.5
"Sumter County(6,10)",45085,***,132.2,119.6,145.7,85,stable,2.6,-2.6,8.2
"Georgetown County(6,10)",45043,***,129.1,113.6,146.3,61,stable,-2.9,-14.3,9.9
"Berkeley County(6,10)",45015,***,128.9,119.1,139.4,135,stable,-3.6,-11.1,4.4
"Florence County(6,10)",45041,***,128.5,118,139.8,115,falling,-4.3,-6.3,-2.2
"Union County(6,10)",45087,***,128.3,106.3,154,26,stable,13.4,-6.7,37.8
"Pickens County(6,10)",45077,***,127.2,115.4,140,90,stable,1.3,-4.9,7.8
"York County(6,10)",45091,***,127,118.7,135.8,179,falling,-3.8,-7.4,-0.1
"Darlington County(6,10)",45031,***,125.7,111,142,56,stable,2.9,-3.8,10.2
"Bamberg County(6,10)",45009,***,125.4,94.5,163.7,13,stable,5.2,-18.7,36.1
"Newberry County(6,10)",45071,***,125.3,106.4,147,34,stable,5.1,-24.7,46.8
"Anderson County(6,10)",45007,***,123.4,114.6,132.7,156,stable,-2.2,-10.6,7
"Oconee County(6,10)",45073,***,122.1,108.7,136.8,68,stable,1.4,-10,14.2
"Colleton County(6,10)",45029,***,121.8,103,143.1,32,stable,10.7,-7.8,32.9
"Aiken County(6,10)",45003,***,121.7,112.3,131.9,133,stable,2.3,-8.5,14.4
"Abbeville County(6,10)",45001,***,121.1,97.8,148.7,21,stable,-0.7,-25.2,32
"Calhoun County(6,10)",45017,***,119,89.9,155.3,13,stable,2,-39.8,72.6
"Williamsburg County(6,10)",45089,***,118.4,98.8,141.2,28,stable,-3.4,-25.8,25.6
"Cherokee County(6,10)",45021,***,118.4,102.4,136.3,41,stable,3.9,-11.8,22.3
"Orangeburg County(6,10)",45075,***,118.3,106,131.6,74,stable,2.2,-5.2,10.1
"Horry County(6,10)",45051,***,118.2,111.3,125.5,246,stable,0.2,-6.4,7.3
"Clarendon County(6,10)",45027,***,117.3,97.5,140.2,29,stable,3,-10,17.9
"Laurens County(6,10)",45059,***,116.6,102.1,132.7,50,stable,0.6,-9.1,11.2
"Chesterfield County(6,10)",45025,***,112.3,95.5,131.4,33,falling,-2.7,-5.2,-0.1
