State_name,Sites
New Jersey,115
California,98
Pennsylvania,97
New York,85
Michigan,65
Florida,54
Texas,53
Washington,51
Illinois,44
North Carolina,39
Indiana,39
Ohio,38
Wisconsin,37
Missouri,33
Massachusetts,32
Virginia,31
South Carolina,25
Minnesota,25
Colorado,20
New Hampshire,20
Maryland,19
Tennessee,18
Montana,17
Georgia,16
New Mexico,16
Nebraska,16
Utah,15
Connecticut,15
Kentucky,14
Puerto Rico Commonwealth,13
Delaware,13
Maine,13
Oregon,13
Vermont,12
Rhode Island,12
Alabama,12
Louisiana,12
Kansas,12
Iowa,12
Arkansas,10
West Virginia,10
Arizona,9
Mississippi,8
Oklahoma,7
Alaska,6
Idaho,6
Hawaii,3
South Dakota,2
Wyoming,2
Nevada,1
District of Columbia,1
