New Jersey,150
Pennsylvania,127
New York,120
California,114
Florida,92
Michigan,89
Illinois,69
Washington,69
Texas,69
Wisconsin,55
Ohio,54
Indiana,53
Minnesota,47
North Carolina,46
Massachusetts,40
Missouri,39
South Carolina,36
Virginia,35
Tennessee,29
Louisiana,28
Puerto Rico,25
Maryland,25
Utah,25
Colorado,24
Iowa,24
Delaware,23
Georgia,22
New Hampshire,22
New Mexico,20
Kentucky,20
Oregon,19
Connecticut,18
Alabama,18
Kansas,18
Montana,18
Nebraska,18
Arkansas,17
Oklahoma,16
Maine,16
Mississippi,14
Arizona,14
Vermont,14
West Virginia,13
Rhode Island,13
Idaho,12
Alaska,10
Hawaii,4
South Dakota,4
Wyoming,3
Nevada,3
Virgin Islands of the U.S.,2
North Dakota,2
Guam,2
American Samoa,1
Federated States of Micronesia,1
Northern Mariana Islands,1
District of Columbia,1
