Incidence Rate Report for Virginia by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Virginia(6,10)",51000,***,127.9,126.4,129.4,6217,stable,0.1,-2.6,2.8
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Lexington City(6,10)",51678,***,156.7,97.5,241.9,6,stable,22.9,-31,119
"Williamsburg City(6,10)",51830,***,155.3,116.2,204.5,12,stable,15.6,-25.3,78.8
"Hanover County(6,10)",51085,***,154.7,141.1,169.3,101,stable,5.6,-9.5,23.1
"Buena Vista City(6,10)",51530,***,154.3,108.4,215.3,8,stable,-0.2,-40,65.8
"Poquoson City(6,10)",51735,***,153.1,116.8,198.5,13,stable,14.6,-1.4,33.3
"Clarke County(6,10)",51043,***,152.2,118.7,193.4,15,stable,-2.9,-23.4,23.2
"Prince Edward County(6,10)",51147,***,151.6,121.2,187.6,19,stable,2.7,-0.6,6.1
"Isle of Wight County(6,10)",51093,***,150.6,128.7,175.5,37,stable,-4.1,-17.3,11.3
"Fredericksburg City(6,10)",51630,***,148.7,120.1,181.9,19,stable,-3.3,-34.5,42.8
"Nottoway County(6,10)",51135,***,147.4,113.1,189.5,14,stable,1.4,-17.6,24.7
"Suffolk City(6,10)",51800,***,146.7,131.9,162.6,75,stable,7.4,-2.6,18.4
"Petersburg City(6,10)",51730,***,146.7,123.5,173.1,32,stable,-6.7,-14.8,2.1
"Northampton County(6,10)",51131,***,146.4,112,189.5,15,stable,2.4,-27,43.7
"New Kent County(6,10)",51127,***,146.2,116.4,182.1,18,stable,6.3,-19.1,39.6
"Virginia Beach City(6,10)",51810,***,145.6,138.8,152.6,363,stable,3.3,-1.9,8.8
"James City County(6,10)",51095,***,145.5,130.1,162.4,75,stable,0.6,-8.2,10.2
"Surry County(6,10)",51181,***,144.2,98.7,206.3,7,stable,11.6,-34.2,89.4
"Franklin City(6,10)",51620,***,143.3,98.6,201.5,8,stable,6.8,-22.1,46.3
"Botetourt County(6,10)",51023,***,143.3,121.5,168.2,34,stable,0.3,-4.9,5.9
"Bath County(6,10)",51017,***,142.9,95.7,213.4,6,stable,5.5,-30.3,59.6
"Colonial Heights City(6,10)",51570,***,142.7,112,179.4,17,stable,0.6,-20.1,26.8
"Chesapeake City(6,10)",51550,***,142,132.9,151.7,186,stable,2.9,-1.9,8
"Newport News City(6,10)",51700,***,141.6,131,152.8,137,stable,-3.5,-14.1,8.4
"Salem City(6,10)",51775,***,141.6,116.8,170.5,25,stable,-1.3,-18.5,19.6
"Essex County(6,10)",51057,***,141.1,104.7,186.9,11,stable,2.8,-57.3,147.1
"Greene County(6,10)",51079,***,139.8,110.5,174.9,16,stable,0.3,-36.5,58.5
"Hampton City(6,10)",51650,***,139.7,128.2,152,114,stable,3.1,-6.1,13.1
"Norfolk City(6,10)",51710,***,139.5,129.9,149.7,163,stable,-0.5,-4.4,3.5
"Arlington County(6,10)",51013,***,139.4,129.1,150.4,142,falling,-8.8,-14.5,-2.8
"Henrico County(6,10)",51087,***,139.1,131.7,146.8,274,stable,-1.3,-4.3,1.8
"Brunswick County(6,10)",51025,***,138.2,108.4,174.7,16,stable,-0.2,-12.1,13.2
"Roanoke County(6,10)",51161,***,137.8,124.9,151.8,92,stable,-0.6,-8.5,8
"Appomattox County(6,10)",51011,***,137.4,106.3,175.3,15,stable,13.1,-8.6,39.9
"Waynesboro City(6,10)",51820,***,137.1,110.1,169,19,stable,2.1,-10.8,16.9
"Danville City(6,10)",51590,***,136.8,117.8,158.1,43,stable,-3.2,-12.3,7
"Fairfax City(6,10)",51600,***,136.7,110.3,167.7,20,stable,6.2,-19.6,40.5
"Loudoun County(6,10)",51107,***,136.6,128.5,145.2,226,stable,-1.3,-11.7,10.4
"Winchester City(6,10)",51840,***,135.9,110.6,165.4,21,stable,5.8,-12.7,28.2
"York County(6,10)",51199,***,135.5,119.7,152.8,56,stable,4.2,-16,29.3
"Fluvanna County(6,10)",51065,***,135.3,112.3,162.1,25,stable,-0.3,-12,12.9
"Orange County(6,10)",51137,***,135.2,114.2,159.1,33,stable,5.9,-14.1,30.6
"Page County(6,10)",51139,***,135.1,110,164.6,22,stable,4.1,-13.8,25.7
"Martinsville City(6,10)",51690,***,134,101.3,174.3,13,stable,-13.4,-39.3,23.6
"Dinwiddie County(6,10)",51053,***,133.4,110,160.6,24,rising,11.6,4.7,19.1
"Mathews County(6,10)",51115,***,133.4,99.8,178.9,12,stable,2.4,-23.5,37.2
"King William County(6,10)",51101,***,133.3,103.4,169.9,14,stable,2.5,-23.4,37.3
"Albemarle County(6,10)",51003,***,132.9,120.5,146.4,89,stable,-2.6,-18.3,16.1
"Portsmouth City(6,10)",51740,***,132.5,119,147.1,75,stable,6,-13.6,30.1
"Middlesex County(6,10)",51119,***,132.4,95.3,181.2,11,stable,3,-15.3,25.3
"Southampton County(6,10)",51175,***,132.3,103.6,167.3,16,stable,8.5,-15.9,40.1
"Prince George County(6,10)",51149,***,131.9,109.2,158,25,stable,2.3,-13.7,21.3
"Richmond City(6,10)",51760,***,131.9,122.4,141.9,153,stable,-1.9,-6.6,3.1
"Falls Church City(6,10)",51610,***,131.9,97.6,174.9,10,stable,-6.9,-30.8,25.3
