Incidence Rate Report for Washington by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Washington(5,10)",53000,***,135.3,133.6,136.9,5485,stable,-0.7,-1.9,0.5
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Pend Oreille County(6,10)",53051,***,151.3,115.9,195.7,15,stable,-1.2,-17.3,18.1
"San Juan County(7,8)",53055,***,145.3,112.4,186.1,19,stable,-0.2,-2,1.6
"Clallam County(7,8)",53009,***,142.6,128.3,158.3,91,stable,-1.3,-3,0.4
"King County(7,8)",53033,***,142.6,139.4,145.8,1607,stable,0.2,-0.6,1
"Pierce County(7,8)",53053,***,141.6,136.6,146.6,647,stable,0,-0.3,0.4
"Skagit County(7,8)",53057,***,141,128.9,153.9,113,stable,0,-0.8,0.7
"Lincoln County(6,10)",53043,***,140.8,102.6,190.3,11,stable,9,-11.6,34.4
"Benton County(6,10)",53005,***,140.4,130.1,151.3,145,stable,4,-3.6,12.3
"Snohomish County(7,8)",53061,***,139,133.9,144.3,581,stable,0.1,-0.2,0.5
"Kitsap County(7,8)",53035,***,137.6,129.3,146.4,221,stable,-0.5,-1,0.1
"Whatcom County(7,8)",53073,***,137.3,127.9,147.3,168,stable,-0.2,-0.6,0.1
"Thurston County(7,8)",53067,***,136.3,128.2,144.7,228,stable,-0.3,-0.7,0.1
"Mason County(7,8)",53045,***,135.4,119.7,152.8,61,stable,0.2,-0.9,1.4
"Clark County(6,10)",53011,***,135.1,128.7,141.8,346,stable,2.3,-4.8,10
"Spokane County(6,10)",53063,***,134.1,128,140.5,384,stable,-3.7,-13.4,7.1
"Walla Walla County(6,10)",53071,***,132.5,115.1,151.9,47,stable,8.1,-14.2,36.2
"Island County(7,8)",53029,***,131.2,117.3,146.5,77,falling,-1.3,-2.3,-0.3
"Whitman County(6,10)",53075,***,130.7,106.9,158.2,23,stable,5,0,10.3
"Jefferson County(7,8)",53031,***,130.7,110.5,154.6,40,stable,-0.3,-1.2,0.7
"Pacific County(6,10)",53049,***,126.9,103.2,155.6,24,stable,3,-14.8,24.6
"Cowlitz County(6,10)",53015,***,124.7,112.6,137.8,85,rising,7.6,1.2,14.5
"Stevens County(6,10)",53065,***,124.6,106.9,144.6,41,stable,-6.1,-20.2,10.4
"Asotin County(6,10)",53003,***,123,98.5,152.3,20,stable,8.3,-18.9,44.6
"Chelan County(6,10)",53007,***,121.9,107.5,137.9,57,stable,3.8,-4.9,13.2
