Incidence Rate Report for West Virginia by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"West Virginia(6,10)",54000,***,116.3,113.5,119.1,1450,stable,0.6,-2.3,3.5
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Webster County(6,10)",54101,***,144.8,103.5,198.4,9,stable,-3.4,-22.3,20.1
"Cabell County(6,10)",54011,***,141.4,127.9,156,88,stable,-3.3,-19.7,16.6
"Marion County(6,10)",54049,***,139,121.8,157.9,53,stable,-9.1,-25.3,10.7
"Ohio County(6,10)",54069,***,137.9,118.9,159.4,43,stable,5.3,-5.4,17.2
"Greenbrier County(6,10)",54025,***,134.4,114.4,157.3,36,stable,6.8,-4.5,19.4
"Monongalia County(6,10)",54061,***,133.2,118.4,149.4,62,stable,-0.7,-14.3,15.1
"Berkeley County(6,10)",54003,***,130.4,117.8,144.1,82,stable,-1.4,-8.8,6.6
"Mingo County(6,10)",54059,***,129.5,105.3,157.9,21,stable,4.6,-17.1,32.1
"Brooke County(6,10)",54009,***,127.8,103,157.3,22,stable,-7.4,-31.3,24.7
"Clay County(6,10)",54015,***,126.2,88.2,176.2,8,stable,7.2,-23.2,49.6
"Putnam County(6,10)",54079,***,125,108.9,142.9,46,stable,-1.5,-21,22.8
"Logan County(6,10)",54045,***,122.3,102.9,144.6,31,stable,1,-19.9,27.3
"Lewis County(6,10)",54041,***,122.3,94.5,156.4,14,stable,-1.7,-24.1,27.2
"Pleasants County(6,10)",54073,***,122,81.9,177.5,6,stable,16.4,-24.4,79.2
"Monroe County(6,10)",54063,***,121.6,89.9,161.6,11,stable,4.1,-28.4,51.4
"Kanawha County(6,10)",54039,***,121.5,113.1,130.5,168,stable,-1.3,-7,4.8
"Preston County(6,10)",54077,***,119.5,98.6,143.6,25,stable,-9.1,-27.6,14
"Upshur County(6,10)",54097,***,118,94.7,145.7,19,stable,10.3,-1.6,23.6
"Raleigh County(6,10)",54081,***,116.8,103.5,131.4,62,stable,7.5,-11.9,31.1
"Mercer County(6,10)",54055,***,116.7,101.9,133.1,51,stable,-3.8,-17.9,12.8
"Jefferson County(6,10)",54037,***,116.3,99.7,134.9,37,stable,11,-10.3,37.2
"McDowell County(6,10)",54047,***,114.6,90.4,143.8,17,stable,-0.1,-17.4,20.8
"Tyler County(6,10)",54095,***,114.6,81.3,159.3,8,stable,-1.1,-16.7,17.3
"Wayne County(6,10)",54099,***,114.2,96.5,134.5,32,stable,-0.7,-19.2,22
"Mineral County(6,10)",54057,***,113.9,92.6,139,22,stable,-0.6,-18.4,21
"Harrison County(6,10)",54033,***,113.3,99.7,128.3,54,stable,8.2,-14.1,36.3
"Hancock County(6,10)",54029,***,112.6,93,135.5,26,stable,5.8,-14.3,30.6
"Marshall County(6,10)",54051,***,112.5,93.1,135.1,27,stable,-10.5,-25.6,7.6
"Morgan County(6,10)",54065,***,112.2,87.1,143.3,15,stable,-10.8,-39.2,30.7
"Fayette County(6,10)",54019,***,110,94,128.3,37,stable,-6.2,-25.3,17.7
"Pendleton County(6,10)",54071,***,109.1,68.5,166.5,6,stable,2.2,-12.4,19.3
"Boone County(6,10)",54005,***,107.7,85.5,134.4,17,stable,-4.4,-21.4,16.2
"Calhoun County(6,10)",54013,***,107.1,69.7,159.5,6,stable,21.7,-14.2,72.6
"Tucker County(6,10)",54093,***,106.6,69.6,159.6,6,stable,5.8,-57.1,161.2
"Wood County(6,10)",54107,***,103.9,92.4,116.5,64,stable,6.4,-11.4,27.6
"Nicholas County(6,10)",54067,***,101.8,81,126.7,18,stable,5.4,-6.3,18.6
