Incidence Rate Report for Alabama by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Alabama(6,10)",1000,No,43.5,42.7,44.3,2458,stable,0.3,-2.3,3.1
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Wilcox County(6,10)",1131,No,66.4,47.2,90.8,8,stable,-14.7,-42.5,26.6
"Clarke County(6,10)",1025,No,63.2,51.2,77.4,20,stable,-10.6,-22.2,2.8
"Choctaw County(6,10)",1023,No,61.4,46.2,80.6,12,stable,-7.7,-52.2,78.4
"Lamar County(6,10)",1075,No,61,46.7,78.9,13,stable,-3.2,-14.2,9.1
"Macon County(6,10)",1087,No,59.5,46.3,75.7,15,stable,16.1,-37.1,114.2
"Lawrence County(6,10)",1079,No,59,48.8,70.8,25,stable,4.6,-27.7,51.4
"Monroe County(6,10)",1099,No,58.8,46.6,73.5,17,stable,-8.1,-30.1,20.7
"Lowndes County(6,10)",1085,No,58,40.8,80.5,8,stable,19.6,-8.2,55.9
"Chambers County(6,10)",1017,No,57,47.3,68.2,26,stable,-0.9,-19.2,21.6
"Dallas County(6,10)",1047,No,56.5,47.4,66.8,29,stable,-3,-19.3,16.7
"Marengo County(6,10)",1091,No,55.9,43.6,70.9,15,falling,-7.9,-14.6,-0.7
"Covington County(6,10)",1039,No,55.6,46.7,65.9,29,stable,-5.6,-21.8,14
"Sumter County(6,10)",1119,No,55.6,39.3,76.7,8,stable,18.6,-31,103.9
