Incidence Rate Report for Arkansas by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Arkansas(6,10)",5000,No,43.6,42.6,44.6,1515,rising,1.9,1,2.8
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Cross County(6,10)",5037,No,69.7,54.5,87.9,15,stable,-3.2,-7.5,1.2
"Bradley County(6,10)",5011,No,66.8,49.7,88.6,10,stable,0.3,-21.4,27.9
"Phillips County(6,10)",5107,No,65.7,51.9,82.2,16,falling,-10.3,-15.2,-5
"Monroe County(6,10)",5095,No,65.3,46.2,91,8,stable,5.5,-13.5,28.8
"Jackson County(6,10)",5067,No,64.9,50.6,82.3,15,stable,-14.6,-32.2,7.6
"Lee County(6,10)",5077,No,63.6,45.1,87.7,8,stable,-13.4,-31.8,10
"Ashley County(6,10)",5003,No,61.3,48.6,76.6,17,stable,-3.7,-35.8,44.4
"Arkansas County(6,10)",5001,No,60.1,46.6,76.5,15,stable,3.7,-34.3,63.7
"Grant County(6,10)",5053,No,59.6,45.9,76.4,13,stable,-12.2,-23.9,1.2
"Pike County(6,10)",5109,No,59.4,43,80.7,9,stable,14.7,-16.4,57.4
"Mississippi County(6,10)",5093,No,56.9,47.6,67.5,27,stable,5.2,-10.4,23.4
"Dallas County(6,10)",5039,No,55.6,38.3,79.3,7,stable,22.3,-4.8,57
"Lawrence County(6,10)",5075,No,55.2,42,71.5,13,stable,4.3,-25.7,46.6
"Clay County(6,10)",5021,No,52.8,40.3,68.6,13,stable,7.3,-14.8,35.1
"Perry County(6,10)",5105,No,52.7,36.2,74.6,7,rising,36.4,7.6,72.9
"Desha County(6,10)",5041,No,52.1,36.9,71.7,8,stable,21,-27.1,100.7
"Greene County(6,10)",5055,No,51.5,42.9,61.4,26,stable,5.8,-21.3,42.2
"Poinsett County(6,10)",5111,No,51.5,40.5,64.6,16,stable,22.1,-2.9,53.6
"Howard County(6,10)",5061,No,51.3,36.9,69.7,9,stable,-10.4,-30,14.7
"Union County(6,10)",5139,No,50.8,42.2,60.6,26,stable,0.8,-14,18.2
"Drew County(6,10)",5043,No,50.8,37.7,66.9,11,stable,-5.1,-40,50
"Fulton County(6,10)",5049,No,50.5,37.2,68.1,10,stable,-7.6,-43.9,52.1
"Calhoun County(6,10)",5013,No,50.3,29.8,81.6,4,stable,2.3,-33.5,57.2
"Lincoln County(6,10)",5079,No,50.1,35.4,69.2,8,stable,-6.6,-35,34.1
"White County(6,10)",5145,No,49.4,43,56.5,44,stable,-4.7,-26.3,23.2
"Miller County(6,10)",5091,No,48.7,40.2,58.6,24,stable,-3.9,-14.4,7.9
"Prairie County(6,10)",5117,No,48.5,31.1,72.8,6,stable,10.6,-21.3,55.4
"Crawford County(6,10)",5033,No,48.5,41.3,56.6,34,stable,2.5,-3.1,8.5
