Incidence Rate Report for Arkansas by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Arkansas(6,10)",5000,***,115.9,113.6,118.2,2001,stable,-4.7,-13.4,4.8
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Woodruff County(6,10)",5147,***,166.2,118.9,229,9,stable,-8,-32.6,25.5
"Jefferson County(6,10)",5069,***,165.7,148.3,184.7,71,stable,-1.7,-19.3,19.7
"Pulaski County(6,10)",5119,***,156.9,149,165.1,321,stable,-6.2,-22,12.9
"Bradley County(6,10)",5011,***,144.5,108,190.7,11,stable,8.3,-20.1,46.8
"Ouachita County(6,10)",5103,***,143.4,118.3,172.8,24,stable,16,-12.5,53.7
"Lonoke County(6,10)",5085,***,142.5,124.5,162.5,49,stable,-13.1,-33.9,14.3
"Prairie County(6,10)",5117,***,141,102.1,192.4,9,stable,-18.5,-34.2,1
"Garland County(6,10)",5051,***,138.7,126.6,151.7,101,stable,2.4,-6.2,11.7
"White County(6,10)",5145,***,136.7,121.3,153.5,59,stable,-4.9,-26.1,22.3
"Drew County(6,10)",5043,***,135.1,105.5,171,15,stable,-9.9,-39.5,34.1
"Faulkner County(6,10)",5045,***,133.4,119.2,148.8,69,falling,-8.3,-15.5,-0.6
"Clark County(6,10)",5019,***,131.9,104.9,164.3,17,stable,6.7,-6.6,22
"Boone County(6,10)",5009,***,131.3,112.1,153.3,34,stable,0.9,-18.8,25.5
"Union County(6,10)",5139,***,131.2,111.5,153.7,33,stable,-9.3,-29.9,17.4
"Columbia County(6,10)",5027,***,130.7,104.4,161.8,18,stable,-7.5,-20.2,7.2
"Grant County(6,10)",5053,***,130.3,101,165.9,14,stable,3,-17.2,28.1
"Desha County(6,10)",5041,***,128.7,94.3,172.6,10,stable,-11.6,-38.4,26.9
"Cleburne County(6,10)",5023,***,127.4,107,151.4,29,stable,-6.2,-15.2,3.8
"Monroe County(6,10)",5095,***,123.4,86.5,173.9,7,stable,-1.2,-24.3,29.1
"Dallas County(6,10)",5039,***,121.3,84.1,172,7,stable,-7.2,-38.7,40.4
"Cleveland County(6,10)",5025,***,120.5,83.3,170.6,7,stable,-13.6,-41.1,26.5
"Marion County(6,10)",5089,***,119.7,96.8,148.5,20,stable,0.7,-14.2,18.1
"Ashley County(6,10)",5003,***,118.4,94.5,147.3,18,stable,-5.3,-22.1,15.1
"Calhoun County(6,10)",5013,***,116.7,74.3,179.3,5,stable,-0.4,-29.7,41.2
"Lee County(6,10)",5077,***,116,81.2,161.6,7,stable,10.1,-24.1,59.6
"Independence County(6,10)",5063,***,114.9,95.9,136.8,27,stable,-10.1,-19.9,0.8
"Van Buren County(6,10)",5141,***,112.6,89.5,141.3,17,stable,5.2,-19.6,37.6
"Chicot County(6,10)",5017,***,112.5,79.6,155.3,8,stable,8.2,-11.3,32.1
"Saline County(6,10)",5125,***,112.2,101.4,123.8,82,stable,-3.7,-19.3,14.9
"Hot Spring County(6,10)",5059,***,111.4,92.1,133.8,25,stable,-15.1,-34.1,9.4
"Nevada County(6,10)",5099,***,111.2,77.4,156.9,7,stable,15.6,-4.3,39.6
"Stone County(6,10)",5137,***,111.2,85.5,144.6,13,stable,3,-20.3,33.1
"Pope County(6,10)",5115,***,111.1,95.3,128.8,37,stable,-20.5,-38.8,3.3
"Baxter County(6,10)",5005,***,110.4,96,127.1,45,stable,-4.3,-17.2,10.6
"Benton County(6,10)",5007,***,110.4,101.9,119.4,128,falling,-6.4,-10.1,-2.6
"Washington County(6,10)",5143,***,107.7,98.1,117.9,98,stable,-8.3,-19.8,4.8
"Montgomery County(6,10)",5097,***,106.3,76.8,146.8,9,stable,-7.3,-30.6,23.8
"Searcy County(6,10)",5129,***,106.1,73.8,151.1,7,stable,-3.7,-19,14.5
"Pike County(6,10)",5109,***,104.2,73.1,145.1,8,stable,-7.8,-48.6,65.4
"Jackson County(6,10)",5067,***,101.7,76.5,133.1,11,stable,-18.6,-34.4,0.9
"Perry County(6,10)",5105,***,99.7,70.2,139.3,8,stable,1.7,-38.9,69.1
"Arkansas County(6,10)",5001,***,99.6,75.5,129.6,12,stable,10.4,-23.1,58.5
"Phillips County(6,10)",5107,***,99.6,75.7,129.2,12,stable,4.7,-25,46
"Mississippi County(6,10)",5093,***,98.8,80.8,119.7,23,stable,7,-7.9,24.4
"Scott County(6,10)",5127,***,98.5,69.2,137.4,8,falling,-27,-42,-8
"Logan County(6,10)",5083,***,98.2,76.8,124.2,15,stable,-3.8,-23,20.1
