Incidence Rate Report for Georgia by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Georgia(3,8)",13000,***,123.3,121.8,124.7,6035,falling,-6.3,-8.4,-4.2
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Dougherty County(7,8)",13095,***,165.3,148.7,183.3,77,falling,-2.9,-4.7,-1
"Clinch County(7,8)",13065,***,164,108.3,239,7,stable,-2.2,-7.7,3.7
"Towns County(7,8)",13281,***,163,129.8,205.9,18,stable,-0.7,-4.7,3.4
"Upson County(7,8)",13293,***,161.4,134,193.1,26,stable,0.2,-2.3,2.9
"Henry County(7,8)",13151,***,161.2,149,174,151,falling,-2.4,-3.9,-0.8
Webster County(7),13307,***,158.5,91.2,268.3,3,*,*,*,*
"Brooks County(7,8)",13027,***,158.3,124.7,198.9,16,stable,-1.6,-4.9,1.8
"Lowndes County(7,8)",13185,***,155.9,139.8,173.4,72,falling,-13,-21.3,-3.8
"Clayton County(7,8)",13063,***,155.3,143.3,167.9,151,stable,-0.6,-1.3,0.1
"Early County(7,8)",13099,***,153.5,112.8,205.4,10,stable,-6.3,-13.2,1.1
"Union County(7,8)",13291,***,153,130,180.4,34,stable,-2.1,-4.5,0.3
"Spalding County(7,8)",13255,***,151.5,133.8,170.9,56,falling,-12.9,-21.6,-3.2
"Wilkes County(7,8)",13317,***,150.5,111.7,200.2,11,stable,-0.6,-4.8,3.9
"Bibb County(7,8)",13021,***,149.9,137.5,163.1,115,falling,-3,-4.5,-1.5
"Liberty County(7,8)",13179,***,149.8,125.8,177,33,stable,-1.6,-4.9,1.8
"Clarke County(7,8)",13059,***,148.1,131.5,166.2,61,stable,-2.1,-4.4,0.4
"Lanier County(7,8)",13173,***,146.6,101.3,205,7,stable,0.7,-5.6,7.4
"Terrell County(7,8)",13273,***,144.6,104,197.8,9,falling,-6.1,-9.2,-2.8
Washington County(7),13303,***,144.5,115,179.5,18,*,*,*,*
"DeKalb County(7,8)",13089,***,143.9,137.5,150.5,433,falling,-7.4,-10.2,-4.6
"Fulton County(7,8)",13121,***,143.8,138.4,149.4,595,falling,-8.6,-10.9,-6.2
Baker County(7),13007,***,143.4,79.3,244.6,3,*,*,*,*
"Rockdale County(7,8)",13247,***,142.7,126.4,160.6,63,falling,-6.4,-8.9,-3.9
"Monroe County(7,8)",13207,***,141.2,116.8,169.6,25,falling,-3.6,-6.2,-0.9
"Lamar County(7,8)",13171,***,140.4,110.4,176.8,16,stable,-1.5,-4.9,2.1
"Ben Hill County(7,8)",13017,***,139.1,106.2,179.1,13,falling,-3.7,-6.5,-0.8
