Incidence Rate Report for Idaho by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Idaho(6,10)",16000,Yes,36.3,35,37.6,630,stable,-2,-5,1
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Lemhi County(6,10)",16059,No,57.7,41.3,80.7,9,stable,-15.2,-37.6,15.3
"Payette County(6,10)",16075,No,51.2,39.3,65.6,13,stable,2.3,-24.9,39.3
"Elmore County(6,10)",16039,No,49.4,37.7,63.6,12,stable,-4.2,-25.3,22.8
"Shoshone County(6,10)",16079,No,47.1,34.1,64.3,9,stable,3.3,-37.5,70.8
"Washington County(6,10)",16087,No,46.9,32.5,66.4,7,stable,3.7,-24.7,42.8
"Bonner County(6,10)",16017,No,44.6,36.8,53.7,26,stable,0,-23.3,30.4
"Clearwater County(6,10)",16035,No,42.7,27.9,64.2,6,stable,-0.5,-36.3,55.6
"Bingham County(6,10)",16011,No,42.1,33.9,51.7,19,falling,-11.4,-19.7,-2.3
"Gem County(6,10)",16045,No,42,30.9,56.4,10,stable,-5.4,-37.9,44.1
"Benewah County(6,10)",16009,No,41.2,26.9,61.5,6,stable,-4.6,-29.7,29.6
"Jefferson County(6,10)",16051,No,40.5,29.5,54,9,stable,-3.1,-21.8,20.1
"Caribou County(6,10)",16029,No,40.4,23.7,65.5,4,stable,-17.4,-64.8,93.9
"Fremont County(6,10)",16043,No,40.1,27,57.7,6,stable,-3.4,-43.3,64.7
"Gooding County(6,10)",16047,Yes,39.3,27.5,54.7,7,stable,2.1,-26.2,41.1
"Kootenai County(6,10)",16055,Yes,39,34.9,43.5,69,stable,-0.8,-11,10.5
"Canyon County(6,10)",16027,Yes,38.4,34.5,42.6,73,stable,-3,-15.2,10.8
"Twin Falls County(6,10)",16083,Yes,37,31.5,43.2,33,stable,-11.2,-23.5,3.2
"Madison County(6,10)",16065,Yes,35.9,24.6,50.2,7,stable,34.7,-1.7,84.7
"Boundary County(6,10)",16021,Yes,35.7,23.2,53.5,6,stable,5.7,-30.4,60.7
"Jerome County(6,10)",16053,Yes,35.1,24.7,48.4,8,falling,-25.6,-44.4,-0.4
"Owyhee County(6,10)",16073,Yes,34.3,21.5,52.4,5,rising,15.3,1.2,31.4
"Bonneville County(6,10)",16019,Yes,34.2,29.3,39.7,35,stable,2.2,-17.6,26.9
"Idaho County(6,10)",16049,Yes,34.2,24.3,47.5,9,stable,0.7,-18.5,24.4
"Minidoka County(6,10)",16067,Yes,33.8,23.9,46.4,8,stable,-4.2,-30.4,31.8
