Incidence Rate Report for Illinois by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Illinois(6,10)",17000,No,43.9,43.4,44.4,6250,stable,-2,-4,0
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Wabash County(6,10)",17185,No,69,52.1,90.2,12,stable,1.2,-22.5,32.3
"Stark County(6,10)",17175,No,68.1,43.9,102,6,stable,-10.6,-54.6,75.8
"Jasper County(6,10)",17079,No,67.6,48.9,91.8,9,stable,-5.2,-23.7,17.8
"Calhoun County(6,10)",17013,No,65.6,40.4,102.2,5,stable,-17.4,-68.2,114.9
"Scott County(6,10)",17171,No,64.4,40.9,98.4,5,stable,-9,-22.3,6.6
"De Witt County(6,10)",17039,No,63.4,49.2,80.8,14,stable,1.7,-47.3,96.3
"Johnson County(6,10)",17087,No,61.9,45.9,82.2,10,stable,-10.2,-32.8,20
"Edwards County(6,10)",17047,No,61,39.9,90.3,6,stable,3.9,-41.4,83.9
"Effingham County(6,10)",17049,No,58.5,48.6,70,25,stable,2.4,-6.6,12.3
"Edgar County(6,10)",17045,No,57.8,44.7,73.8,14,stable,3.1,-20,32.9
"Perry County(6,10)",17145,No,57.4,45.3,71.9,16,stable,1.8,-22.9,34.3
"Washington County(6,10)",17189,No,56.9,42.8,74.7,11,falling,-15.4,-27,-2.1
"Shelby County(6,10)",17173,No,56.9,45.9,70.2,19,stable,2.4,-17.1,26.4
"Saline County(6,10)",17165,No,56.6,45.5,69.9,19,stable,-9.8,-33,21.3
"Richland County(6,10)",17159,No,56.4,43,73,13,stable,5.8,-19.6,39.2
"McDonough County(6,10)",17109,No,55.5,44.7,68.4,20,stable,-3.4,-26.1,26.3
"Christian County(6,10)",17021,No,55.5,46.3,66.1,27,stable,1.2,-5.2,8
"Jefferson County(6,10)",17081,No,55.1,46.2,65.3,28,stable,5.2,-10,23
"Cumberland County(6,10)",17035,No,54.7,38.4,76.1,8,stable,-4.7,-41.4,55.1
"Alexander County(6,10)",17003,No,54.6,35.1,81.7,5,stable,16.8,-33.8,106.3
"Williamson County(6,10)",17199,No,54.5,47.6,62.1,47,stable,-2.3,-17.4,15.7
"Putnam County(6,10)",17155,No,54.5,34.4,84,5,stable,-18,-34.2,2.1
"Vermilion County(6,10)",17183,No,54.4,48,61.4,55,stable,2.2,-13.6,20.9
"Marion County(6,10)",17121,No,54.4,45.5,64.7,28,stable,6.4,-8.4,23.7
"Cass County(6,10)",17017,No,54.2,39.5,73,9,stable,4.8,-9.8,21.7
"Logan County(6,10)",17107,No,53.8,43.9,65.6,21,stable,-2.9,-22.6,21.7
"Mason County(6,10)",17125,No,53.7,40.4,70.6,12,stable,9.4,-26.6,63
"Union County(6,10)",17181,No,53.4,41.2,68.5,14,stable,3.2,-27.5,46.9
"Macon County(6,10)",17115,No,53,47.6,58.8,76,stable,-2.1,-16,14.2
"Pike County(6,10)",17149,No,52.9,40,69.1,12,stable,-8.1,-27.6,16.7
"Iroquois County(6,10)",17075,No,52.9,43.4,64.1,23,stable,-9.7,-22.1,4.6
"Montgomery County(6,10)",17135,No,52.9,43.2,64.3,22,stable,9.8,-26.4,63.8
"Greene County(6,10)",17061,No,52.8,38.2,71.5,9,stable,-16.8,-41.6,18.6
"Hamilton County(6,10)",17065,No,52.6,35.3,76.4,6,stable,-3.3,-21.1,18.5
"Marshall County(6,10)",17123,No,51.7,37.8,69.8,10,stable,2,-36.4,63.7
"Macoupin County(6,10)",17117,No,51.6,43.7,60.5,33,stable,-0.5,-16.2,18.3
"Franklin County(6,10)",17055,No,51.3,42.7,61.2,27,stable,5.1,-10.8,23.9
"Randolph County(6,10)",17157,No,51,41.7,61.8,22,stable,-12.9,-32.3,12
"Schuyler County(6,10)",17169,No,49.8,31.7,75.5,5,stable,-15.5,-33.7,7.6
"Fulton County(6,10)",17057,No,49.6,41.1,59.4,25,stable,6.5,-18.2,38.5
"Menard County(6,10)",17129,No,49.4,35.2,67.9,8,stable,4.7,-39.3,80.6
"Ford County(6,10)",17053,No,49.1,36.5,65.2,11,stable,-8.8,-24.9,10.8
"Morgan County(6,10)",17137,No,48.9,40.1,59.2,23,falling,-13.6,-21.9,-4.6
"Grundy County(6,10)",17063,No,47.8,39.6,57.2,25,stable,-9,-18.2,1.2
"Coles County(6,10)",17029,No,47.1,39.5,55.8,29,stable,-0.3,-4.4,3.9
"Bond County(6,10)",17005,No,46.9,35,61.9,11,stable,-6.6,-23.2,13.7
"Knox County(6,10)",17095,No,46.3,39.5,54.1,35,stable,4,-11,21.4
"Tazewell County(6,10)",17179,No,46.3,41.8,51.1,80,stable,-2.4,-14,10.7
"Warren County(6,10)",17187,No,45.9,34.2,60.6,11,stable,-0.6,-29.7,40.6
"Livingston County(6,10)",17105,No,45.9,37.5,55.7,22,stable,4.2,-28.9,52.7
"Kankakee County(6,10)",17091,No,45.8,40.7,51.4,61,stable,5.5,-5.7,18
"Bureau County(6,10)",17011,No,45.6,37,55.8,21,stable,-2,-14.5,12.4
"Sangamon County(6,10)",17167,No,45.5,41.6,49.6,109,stable,-4.8,-14.9,6.5
"La Salle County(6,10)",17099,No,45.3,40.5,50.5,68,stable,-3.7,-12.5,5.9
"Peoria County(6,10)",17143,No,45.3,41.3,49.6,99,stable,-3.8,-11,4.1
"Woodford County(6,10)",17203,No,45.2,36.9,54.8,22,stable,-3.4,-12.1,6.2
"Cook County(6,10)",17031,No,45.1,44.3,45.9,2496,stable,-2.9,-5.9,0.2
"Massac County(6,10)",17127,No,45.1,33.1,60.5,10,stable,0.4,-24,32.8
"St. Clair County(6,10)",17163,No,44.6,41.2,48.2,133,stable,-1.2,-12.5,11.7
"Clay County(6,10)",17025,No,44.6,32.2,60.7,9,stable,3.7,-22.8,39.5
"Will County(6,10)",17197,No,44.5,42.1,46.9,281,stable,3.6,-7.7,16.2
"Carroll County(6,10)",17015,No,44.3,32.9,59.2,11,stable,-5.9,-19,9.2
"Clark County(6,10)",17023,No,44.2,32.1,59.7,10,stable,-4.5,-40.1,52.4
"Kendall County(6,10)",17093,No,44.1,38,50.9,41,stable,-3.1,-19.6,16.7
"Hardin County(6,10)",17069,No,44.1,25,76.3,3,*,*,*,*
"White County(6,10)",17193,No,43.7,32.1,58.7,10,stable,12,-15.6,48.5
"McLean County(6,10)",17113,No,43.4,38.9,48.4,70,stable,-1.9,-6.1,2.5
"DeKalb County(6,10)",17037,No,43.3,37.5,49.7,41,stable,-5.6,-27,22
"Stephenson County(6,10)",17177,No,43.1,36.4,50.9,31,stable,-10.2,-24.1,6.3
"Adams County(6,10)",17001,No,43,37,49.8,39,stable,1.2,-20.5,28.8
"Henry County(6,10)",17073,No,42.5,35.7,50.3,29,stable,-6.8,-21.3,10.4
"Whiteside County(6,10)",17195,No,42.5,36.1,49.6,34,rising,5.4,1,9.9
"Madison County(6,10)",17119,No,42,38.9,45.3,138,stable,-2.5,-17.1,14.8
"Henderson County(6,10)",17071,No,41.7,26.8,64,5,stable,-7,-29,21.7
"Monroe County(6,10)",17133,No,40.8,32.6,50.7,18,stable,-8,-25.6,13.8
