Incidence Rate Report for Illinois by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Illinois(6,10)",17000,***,114.9,113.8,116.1,7862,falling,-5.9,-11.2,-0.4
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Jefferson County(6,10)",17081,***,158.5,136.9,182.8,40,stable,-3.1,-17.2,13.4
"Effingham County(6,10)",17049,***,157.4,133.9,184.1,33,stable,-4,-29.1,30.1
"Jasper County(6,10)",17079,***,157.4,116.9,208.7,10,stable,-19.3,-57.5,53
"La Salle County(6,10)",17099,***,152.7,140,166.3,110,stable,-16.8,-34.3,5.3
"Schuyler County(6,10)",17169,***,151.2,108,208.3,8,stable,-11.3,-23.5,2.9
"Washington County(6,10)",17189,***,146.4,114.4,185.7,15,stable,-8.9,-37.6,32.8
"Marion County(6,10)",17121,***,146,125.6,169.1,38,stable,2.9,-19.5,31.5
"Marshall County(6,10)",17123,***,144.9,111.1,187.1,13,stable,-11,-40,32
"Grundy County(6,10)",17063,***,140.5,119.9,163.7,36,stable,-6,-26.5,20.1
"De Witt County(6,10)",17039,***,140.5,110.4,177,15,stable,-10.2,-39.8,34.1
"Hamilton County(6,10)",17065,***,137.7,98,190.1,8,stable,-7.5,-37.9,37.8
"Douglas County(6,10)",17041,***,136,107.2,170.6,16,stable,-10.3,-34,21.8
"Scott County(6,10)",17171,***,135.3,86.1,206,5,stable,-21.1,-41,5.5
"Putnam County(6,10)",17155,***,134.7,91.4,195.7,6,stable,1,-33.9,54.5
"Kendall County(6,10)",17093,***,134.3,118.5,151.5,60,stable,-1,-5.7,4
"Wayne County(6,10)",17191,***,131.1,103,165.5,15,stable,-0.5,-23.6,29.6
"DeKalb County(6,10)",17037,***,130.4,115.5,146.7,59,stable,-10.8,-22.5,2.6
"Macon County(6,10)",17115,***,129.8,117.8,142.8,90,falling,-9.7,-18,-0.6
"White County(6,10)",17193,***,129.8,100.3,166.3,14,stable,-11,-30.4,13.9
"Will County(6,10)",17197,***,129.5,123.7,135.4,420,stable,-3.3,-7.5,1.1
"Peoria County(6,10)",17143,***,129,119.3,139.3,137,falling,-14.1,-25.8,-0.6
"Calhoun County(6,10)",17013,***,127.1,82.8,191.8,5,stable,6.3,-26.5,53.8
"Morgan County(6,10)",17137,***,127.1,106.7,150.5,28,stable,5.2,-11.2,24.5
"Sangamon County(6,10)",17167,***,126.2,116.8,136.1,142,stable,4.5,-9,20
"Bond County(6,10)",17005,***,125.7,97,160.8,13,stable,-9,-31.8,21.4
"Livingston County(6,10)",17105,***,125.2,105.7,147.4,30,stable,-6.7,-27.6,20.1
"Bureau County(6,10)",17011,***,125.1,105.8,147.3,30,stable,-19.8,-38.7,5.1
"Vermilion County(6,10)",17183,***,125.1,111.5,139.9,64,falling,-14.3,-22.8,-5
"McLean County(6,10)",17113,***,123.7,112.7,135.5,99,falling,-15.9,-19.7,-11.9
"Clay County(6,10)",17025,***,123.6,93.1,161.8,11,stable,-1.8,-34.1,46.1
"Clinton County(6,10)",17027,***,123.5,103.5,146.3,28,stable,-6.9,-20.6,9.2
"Logan County(6,10)",17107,***,122.4,100.2,148.2,22,stable,-1.7,-9.2,6.4
"Franklin County(6,10)",17055,***,121.8,103.5,142.6,33,stable,2,-10.1,15.8
"Jersey County(6,10)",17083,***,121.4,97.4,150.1,18,stable,-2.5,-6.6,1.8
"Lawrence County(6,10)",17101,***,118.7,90.2,153.8,12,falling,-18.2,-33,-0.1
"Cook County(6,10)",17031,***,118.7,116.7,120.6,3034,stable,-4.8,-10.2,0.8
"Jo Daviess County(6,10)",17085,***,118.5,97.5,143.8,23,falling,-6.6,-11.2,-1.7
"Ford County(6,10)",17053,***,116.4,86.9,153.7,11,stable,-19.6,-41.2,9.9
"Pope County(6,10)",17151,***,115.7,72.8,183.5,5,stable,10,-38.5,96.6
"Piatt County(6,10)",17147,***,115.1,88.6,147.9,13,stable,-0.2,-29.4,41.3
"Kankakee County(6,10)",17091,***,114.9,103.2,127.6,73,stable,-7.1,-27,18.1
"DuPage County(6,10)",17043,***,114.3,110,118.7,576,falling,-5.3,-10.1,-0.2
"Saline County(6,10)",17165,***,112.4,90.5,138.6,19,stable,2.8,-16.3,26.3
"Crawford County(6,10)",17033,***,111.9,86.8,142.3,14,stable,-7.8,-26.5,15.7
"Pulaski County(6,10)",17153,***,111.8,71.2,171.2,5,falling,-37.3,-51.2,-19.5
"Fayette County(6,10)",17051,***,110.7,87.3,138.8,16,stable,2.9,-22.9,37.2
"Greene County(6,10)",17061,***,110.3,81.6,146.7,10,stable,-3.5,-30.4,33.9
"Carroll County(6,10)",17015,***,110.3,84.7,142.6,13,stable,-4.4,-25.8,23.3
"Christian County(6,10)",17021,***,110.2,91.6,131.8,25,stable,-0.3,-9.5,9.8
"St. Clair County(6,10)",17163,***,108.7,101,116.9,156,stable,-8.3,-27.2,15.4
"Kane County(6,10)",17089,***,108.7,102.8,114.8,276,falling,-9.7,-16.1,-2.7
"Richland County(6,10)",17159,***,108.3,82.4,140.6,12,stable,-17.1,-34.5,4.9
"Tazewell County(6,10)",17179,***,107.6,97.9,118.2,91,stable,-11.7,-26.1,5.4
"Menard County(6,10)",17129,***,107.5,78.9,144.6,10,stable,-9.8,-35.9,27
"McHenry County(6,10)",17111,***,107.1,99.8,114.9,174,stable,-6.6,-15.1,2.8
"Shelby County(6,10)",17173,***,107,85.6,132.9,18,stable,-0.6,-20.4,24.1
"McDonough County(6,10)",17109,***,106.5,85.4,131.7,18,stable,-4.2,-15.9,9.1
"Monroe County(6,10)",17133,***,106.2,87.1,128.5,23,falling,-10.9,-13.8,-7.9
"Adams County(6,10)",17001,***,105.7,92.3,120.7,46,stable,-10.6,-26.5,8.7
"Edwards County(6,10)",17047,***,105.7,67.6,160.3,5,stable,-7.5,-45.4,56.9
"Champaign County(6,10)",17019,***,105.6,95.9,115.9,93,stable,-4.1,-10.4,2.6
"Woodford County(6,10)",17203,***,104.8,87.6,124.8,27,stable,2.9,-13.6,22.7
"Union County(6,10)",17181,***,103.4,80.1,132.4,14,stable,-1.6,-35.5,50
"Lake County(6,10)",17097,***,103.1,98.2,108.1,376,stable,-3.1,-15,10.4
"Lee County(6,10)",17103,***,102.4,84.8,122.9,25,stable,-2.7,-18.3,15.9
"Macoupin County(6,10)",17117,***,101.9,86.8,119.2,33,stable,3.7,-5.7,14
"Henry County(6,10)",17073,***,101.9,87.3,118.5,36,stable,-7.5,-22.7,10.5
"Rock Island County(6,10)",17161,***,101.9,92.9,111.6,97,falling,-6.2,-10.6,-1.6
"Alexander County(6,10)",17003,***,101.8,65.8,152.7,5,stable,3.9,-25.6,45.1
"Whiteside County(6,10)",17195,***,101.2,87.5,116.7,40,stable,-9.7,-23.6,6.6
"Perry County(6,10)",17145,***,100.3,77.8,127.6,14,stable,6.2,-28.9,58.6
"Stephenson County(6,10)",17177,***,99.6,85,116.4,33,stable,-10.7,-26,7.6
"Winnebago County(6,10)",17201,***,99.5,92.8,106.7,169,stable,-3.2,-8,1.9
"Clark County(6,10)",17023,***,99.3,74.3,130.9,11,stable,-21.6,-39.9,2.3
"Madison County(6,10)",17119,***,97.6,90.6,104.9,154,falling,-14.4,-20.3,-8.1
"Hancock County(6,10)",17067,***,97.4,75.6,124.7,14,stable,-10.8,-35.4,23.2
"Fulton County(6,10)",17057,***,97.4,80.7,116.7,25,falling,-18.1,-23.9,-11.8
"Stark County(6,10)",17175,***,97,61.6,150.4,5,*,*,*,*
"Mercer County(6,10)",17131,***,96.5,72.7,126.8,12,stable,-15.6,-29.5,1
"Iroquois County(6,10)",17075,***,96.4,78.2,118.1,20,stable,-3.5,-31,35
"Williamson County(6,10)",17199,***,95.5,82.7,109.9,41,stable,3.8,-9.4,19
"Wabash County(6,10)",17185,***,95.4,67.2,132.7,8,stable,-17.8,-42.1,16.6
"Montgomery County(6,10)",17135,***,95.3,76.5,117.7,18,stable,-14.1,-38.2,19.4
"Mason County(6,10)",17125,***,94.7,70.1,126.6,10,stable,-5.7,-36.7,40.5
"Brown County(6,10)",17009,***,94.6,54.6,153.2,3,*,*,*,*
"Jackson County(6,10)",17077,***,93.8,78,111.9,26,stable,0.6,-25.6,36.2
"Pike County(6,10)",17149,***,92.4,68.9,122.4,11,stable,0.9,-29.9,45.2
"Warren County(6,10)",17187,***,92.2,69.3,121.1,11,stable,-15.4,-30.3,2.6
"Massac County(6,10)",17127,***,91.2,67.1,122.4,10,stable,-2.8,-13.9,9.9
"Edgar County(6,10)",17045,***,90.3,67.5,119.2,11,stable,11.6,-31.9,82.7
"Knox County(6,10)",17095,***,90.3,76.9,105.6,33,stable,-11,-34.5,21
"Randolph County(6,10)",17157,***,88.8,71.7,108.9,20,stable,-13.7,-25.9,0.4
"Boone County(6,10)",17007,***,87.8,73.1,104.7,27,stable,3,-27.1,45.4
"Hardin County(6,10)",17069,***,87.8,48.9,152.8,3,*,*,*,*
"Gallatin County(6,10)",17059,***,83.8,49,139,4,stable,-6.7,-35.3,34.4
"Coles County(6,10)",17029,***,83.4,68.9,100.2,24,stable,-5.7,-24.3,17.5
"Cumberland County(6,10)",17035,***,80.4,53.1,117.9,6,stable,-7.1,-28.4,20.5
"Moultrie County(6,10)",17139,***,76.3,53.3,106.7,7,falling,-23,-36.8,-6.3
"Ogle County(6,10)",17141,***,73.6,61.2,88,26,stable,-3.1,-26.5,27.7
"Cass County(6,10)",17017,***,69.8,46.1,101.9,6,stable,-4.8,-36.2,41.9
"Johnson County(6,10)",17087,***,68,47.1,96.5,7,stable,-4.6,-25,21.4
"Henderson County(6,10)",17071,***,61.5,36.9,101.8,4,stable,5.1,-38.4,79.2
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:44 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
,,,,,,,,,,
"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. ",,,,,,,,,,
,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,
,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,
