Incidence Rate Report for Indiana by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Indiana(6,10)",18000,No,42.9,42.2,43.6,3148,falling,-1.4,-2.6,-0.2
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Jay County(6,10)",18075,No,68.7,54.9,85,18,stable,0.4,-10.8,13
"Ohio County(6,10)",18115,No,62.7,41.1,93.5,6,stable,-11.2,-46.7,48.2
"Orange County(6,10)",18117,No,60.2,46.9,76.3,15,stable,-5.3,-20.7,13.1
"Knox County(6,10)",18083,No,59.6,49.7,71,27,stable,1.2,-11.2,15.4
"Switzerland County(6,10)",18155,No,56.5,38.7,79.8,7,stable,-13.8,-57.7,75.8
"Grant County(6,10)",18053,No,54,47.1,61.7,47,stable,0.9,-12.2,16
"Blackford County(6,10)",18009,No,53.9,39.8,72,10,stable,10.2,-25.7,63.5
"Martin County(6,10)",18101,No,53.8,37.7,75.2,7,falling,-15.4,-26.5,-2.6
"Vermillion County(6,10)",18165,No,53.2,39.8,70.1,11,stable,-8.2,-21.8,7.9
"Cass County(6,10)",18017,No,52.9,43.9,63.4,25,stable,3.8,-13,23.8
"Jefferson County(6,10)",18077,No,52.8,43,64.2,21,stable,21.4,-13.6,70.7
"Washington County(6,10)",18175,No,52.4,41.5,65.3,17,falling,-12,-20.4,-2.8
"Sullivan County(6,10)",18153,No,51.9,40.3,66.1,14,stable,4.4,-13.4,25.8
"Morgan County(6,10)",18109,No,51.7,44.7,59.6,41,stable,-1.5,-9.1,6.8
"Gibson County(6,10)",18051,No,51,41.7,61.9,22,stable,5.6,-23.6,45.9
"Pulaski County(6,10)",18131,No,50.6,36.1,69.2,9,stable,9.2,-21.3,51.6
"Putnam County(6,10)",18133,No,50,40.9,60.7,22,stable,7.1,-16.4,37.2
"Lake County(6,10)",18089,No,49.2,46.6,51.9,280,stable,-0.3,-2.5,2
"Tipton County(6,10)",18159,No,48.9,36.3,65,11,stable,-20.8,-45,14
"Scott County(6,10)",18143,No,48.8,37.9,62.1,14,stable,4.6,-24.1,44.1
"Jasper County(6,10)",18073,No,48.8,39.4,59.9,19,stable,-2.4,-27.5,31.3
"Clark County(6,10)",18019,No,48.5,43.2,54.4,62,stable,6.3,-4.4,18.2
"Carroll County(6,10)",18015,No,48.2,36.8,62.3,13,stable,8.8,-6.7,26.8
"Adams County(6,10)",18001,No,47.8,38.6,58.6,20,stable,1.3,-15.8,21.8
"Kosciusko County(6,10)",18085,No,47.7,41.4,54.7,43,stable,1.8,-12.3,18.1
"Fountain County(6,10)",18045,No,47.5,35.4,62.7,11,stable,-10.1,-36.5,27.4
"Henry County(6,10)",18065,No,47.4,40,55.7,31,stable,-5.2,-27.4,23.7
"Fulton County(6,10)",18049,No,47.2,35.8,61.3,12,stable,-17.9,-36.7,6.4
"Shelby County(6,10)",18145,No,47.2,39.2,56.4,26,stable,-4.6,-19,12.3
"Lawrence County(6,10)",18093,No,47,39.5,55.6,29,stable,-7.1,-14.2,0.6
"Jackson County(6,10)",18071,No,46.9,38.7,56.3,24,stable,3.6,-14.6,25.6
"Wabash County(6,10)",18169,No,46.4,38,56.5,22,stable,-2,-14.8,12.8
"Newton County(6,10)",18111,No,46,32.8,63,8,stable,-13.8,-46.6,39
"Benton County(6,10)",18007,No,45.8,29.5,68.3,5,stable,11.9,-33.6,88.6
"Clay County(6,10)",18021,No,45.6,35.6,57.6,15,stable,-9.4,-22.4,5.7
"Posey County(6,10)",18129,No,45.5,35.4,57.9,15,stable,2.7,-13.9,22.4
"Whitley County(6,10)",18183,No,45.4,36.4,56.2,18,stable,6.9,-4.4,19.6
"Porter County(6,10)",18127,No,45.4,41.1,50.1,85,stable,-0.3,-19,22.8
"Harrison County(6,10)",18061,No,45.1,36.8,54.8,22,stable,5.4,-9.6,22.9
"Parke County(6,10)",18121,No,44.8,32.9,59.9,10,stable,-8.9,-38.5,35.2
"Wells County(6,10)",18179,No,44.7,35.3,56,16,stable,5.7,-1.3,13.3
"Wayne County(6,10)",18177,No,44.2,38.2,51,40,stable,-2.2,-22,22.6
"Daviess County(6,10)",18027,No,44.2,35,55.1,16,stable,-3.8,-7.8,0.4
"LaPorte County(6,10)",18091,No,44.2,39.2,49.7,59,stable,0.8,-3.9,5.7
"Starke County(6,10)",18149,No,43.8,33.9,56.1,14,stable,15.4,-10.4,48.7
"Dubois County(6,10)",18037,No,43.8,36.1,52.9,23,stable,4.8,-15.6,30
"DeKalb County(6,10)",18033,No,43.8,35.8,53.1,22,stable,-4.4,-23.5,19.5
"Brown County(6,10)",18013,No,43.7,31,60.4,9,stable,-14.7,-40.5,22.4
"Vigo County(6,10)",18167,No,43.6,38.4,49.3,53,stable,-1.8,-18.9,18.9
"White County(6,10)",18181,No,43.4,33.4,55.6,14,rising,20.3,5.4,37.5
"Jennings County(6,10)",18079,No,43.1,33,55.4,13,stable,7.3,-5.2,21.6
"Tippecanoe County(6,10)",18157,No,43.1,38.3,48.2,63,stable,-0.2,-9.4,10
"Decatur County(6,10)",18031,No,42.8,33.1,54.5,14,stable,2.3,-6,11.2
"Pike County(6,10)",18125,No,42.7,30,59.6,8,stable,-13.9,-28,3.1
"Elkhart County(6,10)",18039,No,42.5,38.6,46.7,90,stable,-2.1,-17.8,16.6
"Johnson County(6,10)",18081,No,42.1,37.7,47,67,stable,-10.1,-22.2,3.9
"Steuben County(6,10)",18151,No,42.1,33.7,52,18,stable,10,-21.7,54.4
"Monroe County(6,10)",18105,No,41.9,36.9,47.5,51,stable,-6.8,-14.4,1.4
"Vanderburgh County(6,10)",18163,No,41.6,37.8,45.8,91,stable,-3.4,-12.8,6.9
"St. Joseph County(6,10)",18141,No,41.4,38.1,44.9,125,stable,-5.2,-12,2.2
"Floyd County(6,10)",18043,No,41.3,35.3,48.1,35,stable,-3.9,-16.6,10.9
"Huntington County(6,10)",18069,No,41.2,33.1,50.9,18,stable,2.8,-23.5,38.2
"Owen County(6,10)",18119,No,41.1,30.6,54.3,11,stable,-8,-23.2,10
"Hancock County(6,10)",18059,No,41,35,47.9,34,stable,2.5,-10.2,17
"Noble County(6,10)",18113,No,41,33.7,49.5,23,stable,-3.1,-15.3,10.9
"Warren County(6,10)",18171,No,40.7,25.8,62,5,stable,6.6,-25.1,51.8
"Franklin County(6,10)",18047,No,40.7,30.6,53.1,11,stable,10.6,-20.7,54.2
"Madison County(6,10)",18095,No,40.6,36.3,45.4,65,stable,-4.8,-14.6,6
"Clinton County(6,10)",18023,No,40.6,32.1,50.7,16,stable,1.1,-18.7,25.8
"Dearborn County(6,10)",18029,No,40.5,33.5,48.8,24,stable,-0.9,-17,18.4
"Randolph County(6,10)",18135,No,40.5,31.4,51.6,14,stable,-7.7,-34.7,30.5
"Howard County(6,10)",18067,No,40,34.7,45.9,43,stable,-1.7,-10.8,8.3
"Bartholomew County(6,10)",18005,Yes,39.7,34.1,46,37,stable,-4.7,-25.5,22.1
"Ripley County(6,10)",18137,Yes,39.6,30.7,50.4,14,stable,9.8,-8.3,31.4
"Delaware County(6,10)",18035,Yes,39.4,34.7,44.5,54,stable,0,-14.3,16.7
"Marion County(6,10)",18097,Yes,39.2,37.4,41.1,352,stable,-1.1,-6.2,4.3
"Allen County(6,10)",18003,Yes,39.2,36.4,42.1,152,stable,-2.9,-9.1,3.6
"Crawford County(6,10)",18025,Yes,39,25.5,57.9,6,stable,4.6,-14.5,27.9
"Rush County(6,10)",18139,Yes,38.2,27.3,52.3,8,stable,-13.9,-33.2,11
"Fayette County(6,10)",18041,Yes,37.7,28.6,49.1,12,stable,6.3,-24.4,49.7
"Marshall County(6,10)",18099,Yes,37.7,30.7,45.8,21,stable,-8.5,-21.4,6.5
"Greene County(6,10)",18055,Yes,37.5,29.8,46.8,17,stable,1.2,-29.5,45.3
"Spencer County(6,10)",18147,Yes,37.1,27.6,49.2,10,stable,-16.2,-35.3,8.7
"Perry County(6,10)",18123,Yes,36.9,26.4,50.3,9,stable,9.3,-21.7,52.7
"Hendricks County(6,10)",18063,Yes,36.5,32.3,41,57,stable,7.7,-3.7,20.4
"LaGrange County(6,10)",18087,Yes,35.8,27.5,45.9,13,stable,-0.5,-12.2,12.8
"Warrick County(6,10)",18173,Yes,35.5,29.6,42.4,26,stable,-8,-19.4,5.1
"Union County(6,10)",18161,Yes,35.3,19.6,59.3,3,*,*,*,*
"Montgomery County(6,10)",18107,Yes,35.1,27.8,43.7,17,stable,-1.2,-16.4,16.9
"Miami County(6,10)",18103,Yes,34.2,26.7,43.3,15,stable,0,-24.1,31.8
"Hamilton County(6,10)",18057,Yes,33.4,30.2,36.7,88,stable,-2.6,-16.3,13.4
"Boone County(6,10)",18011,Yes,32.1,26.1,39,21,stable,-4.9,-23,17.5
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:28 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
