Incidence Rate Report for Iowa by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Iowa(3,8)",19000,No,44.9,43.9,45.8,1681,falling,-2.6,-2.9,-2.3
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Adams County(7,8)",19003,No,82.4,52.7,125.7,5,stable,2,-0.8,4.9
"Osceola County(7,8)",19143,No,67.5,43.8,100.2,6,stable,0.6,-2.1,3.4
"Cass County(7,8)",19029,No,64.9,49.4,84.2,13,stable,0.5,-1.2,2.2
"Decatur County(7,8)",19053,No,64.5,43.8,92.3,7,stable,-0.9,-2.6,0.9
"Monroe County(7,8)",19135,No,64.5,44.7,90.9,7,stable,0,-2.3,2.3
"Humboldt County(7,8)",19091,No,63.6,45,88,9,stable,-1.8,-4,0.3
"Pocahontas County(7,8)",19151,No,63.2,42.4,91.9,7,stable,-1.7,-3.8,0.5
"Shelby County(7,8)",19165,No,62.9,47.6,82.5,12,stable,-0.4,-2.3,1.5
"Monona County(7,8)",19133,No,62.6,45.1,86,9,stable,-1.2,-2.7,0.4
"Taylor County(7,8)",19173,No,57.1,37,85.8,6,falling,-2.5,-4.4,-0.6
"Henry County(7,8)",19087,No,56.9,44.5,71.9,15,stable,-0.6,-2,0.7
"O'Brien County(7,8)",19141,No,56.3,42.3,73.9,12,falling,-2.4,-4.3,-0.5
"Hardin County(7,8)",19083,No,55.6,42.9,71.4,15,falling,-1.5,-2.8,-0.2
"Sac County(7,8)",19161,No,55.6,39.5,77,9,stable,-0.5,-2.7,1.7
"Audubon County(7,8)",19009,No,55.5,35.8,84.5,6,stable,0.5,-2.5,3.6
Adair County(7),19001,No,55.5,38.4,79.5,7,*,*,*,*
"Union County(7,8)",19175,No,55.4,39.8,75.5,9,stable,-0.6,-2.2,1.1
