Incidence Rate Report for Iowa by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Iowa(3,8)",19000,***,108,105.8,110.2,1982,falling,-4.8,-6.6,-3
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Crawford County(7,8)",19047,***,170.9,136.8,211.3,18,stable,-0.3,-2,1.4
"Ida County(7,8)",19093,***,166.4,120.8,226.4,9,stable,-0.2,-2.1,1.8
"Emmet County(7,8)",19063,***,154.4,115.6,203.6,11,stable,-1.2,-2.8,0.4
"Hamilton County(7,8)",19079,***,151.8,119.5,190.9,16,stable,-1.5,-3.2,0.2
"Hardin County(7,8)",19083,***,150.8,120.6,187.1,18,stable,3.1,-1.4,7.9
"Dickinson County(7,8)",19059,***,149.2,121.9,182.1,22,rising,15.9,1.2,32.8
"Greene County(7,8)",19073,***,148.6,109.7,198.8,10,stable,1,-0.8,2.8
"Carroll County(7,8)",19027,***,147.3,119.5,180.2,20,falling,-1.9,-3.5,-0.3
"Cherokee County(7,8)",19035,***,146,112.7,187.9,14,falling,-1.7,-3.1,-0.3
"Story County(7,8)",19169,***,145,127.9,163.7,54,falling,-1.4,-2.5,-0.3
"Plymouth County(7,8)",19149,***,144,118.9,173.3,24,falling,-2.5,-3.7,-1.2
"Audubon County(7,8)",19009,***,142.2,98.3,203.8,7,stable,-0.1,-2.1,1.9
"Clay County(7,8)",19041,***,139.5,110.3,174.9,16,falling,-1.6,-2.9,-0.2
Davis County(7),19051,***,137.7,97,191,8,*,*,*,*
