,Unnamed: 0,Years,Cancer Type,State,County,FIPS,Met Health Obj,Age-Adjusted Incident Rate,Lower 95% Confidence Interval,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval,Upper 95% Confidence Interval.1,Average Annual Count,Recent Trend,Recent 5-Year Trend in Incidence Rates,Lower 95% Confidence Interval.2,Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.2,Upper 95% Confidence Interval.3
0,8, 2011-2015,Breast,Alabama,Alabama,1000,***,120.9,119.1,0.2,122.7,1.7,3645,rising,1,119.1,0.2,122.7,1.7
69,8, 2011-2015,Colon & Rectum,Alabama,Alabama,1000,No,43.5,42.7,-2.3,44.3,3.1,2458,stable,0.3,42.7,-2.3,44.3,3.1
138,8, 2011-2015,Lung & Bronchus,Alabama,Alabama,1000,***,67.7,66.8,-3.4,68.7,-2.7,3967,falling,-3,66.8,-3.4,68.7,-2.7
207,8, 2011-2015,Prostate,Alabama,Alabama,1000,***,123.4,121.5,-12.3,125.3,1.5,3394,stable,-5.6,121.5,-12.3,125.3,1.5
276,8, 2011-2015,Colon & Rectum,Alaska,Alaska,2900,No,42,39.6,-1.5,44.5,4.2,269,stable,1.3,39.6,-1.5,44.5,4.2
305,8, 2011-2015,Lung & Bronchus,Alaska,Alaska,2900,***,57.2,54.3,-8,60.2,-0.8,342,falling,-4.5,54.3,-8,60.2,-0.8
334,8, 2011-2015,Prostate,Alaska,Alaska,2900,***,79.6,75,-14.8,84.4,-4.9,280,falling,-10,75,-14.8,84.4,-4.9
363,8, 2011-2015,Breast,Arizona,Arizona,4000,***,112.9,111.4,-2.4,114.4,3,4443,stable,0.3,111.4,-2.4,114.4,3
380,8, 2011-2015,Colon & Rectum,Arizona,Arizona,4000,Yes,33.6,33,-4.3,34.2,-0.1,2564,falling,-2.3,33,-4.3,34.2,-0.1
397,8, 2011-2015,Lung & Bronchus,Arizona,Arizona,4000,***,49.3,48.6,-4.1,50,-2.2,3902,falling,-3.1,48.6,-4.1,50,-2.2
414,8, 2011-2015,Prostate,Arizona,Arizona,4000,***,78.6,77.4,-8,79.9,5.6,3019,stable,-1.4,77.4,-8,79.9,5.6
431,8, 2011-2015,Breast,Arkansas,Arkansas,5000,***,114.7,112.4,-1.5,116.9,5.6,2080,stable,2,112.4,-1.5,116.9,5.6
508,8, 2011-2015,Colon & Rectum,Arkansas,Arkansas,5000,No,43.6,42.6,1,44.6,2.8,1515,rising,1.9,42.6,1,44.6,2.8
585,8, 2011-2015,Lung & Bronchus,Arkansas,Arkansas,5000,***,78,76.7,-1.8,79.3,2.2,2818,stable,0.2,76.7,-1.8,79.3,2.2
662,8, 2011-2015,Prostate,Arkansas,Arkansas,5000,***,115.9,113.6,-13.4,118.2,4.8,2001,stable,-4.7,113.6,-13.4,118.2,4.8
739,8, 2011-2015,Prostate,California,California,6000,***,101.2,100.5,-12,101.8,-6.2,19253,falling,-9.2,100.5,-12,101.8,-6.2
799,8, 2011-2015,Breast,California,California,6000,***,121.5,120.9,-0.4,122.2,0.3,25689,stable,-0.1,120.9,-0.4,122.2,0.3
859,8, 2011-2015,Colon & Rectum,California,California,6000,Yes,36.2,36,-3.6,36.5,-0.5,14418,falling,-2,36,-3.6,36.5,-0.5
919,8, 2011-2015,Lung & Bronchus,California,California,6000,***,43.3,43.1,-4.4,43.6,-3.3,16864,falling,-3.9,43.1,-4.4,43.6,-3.3
979,8, 2011-2015,Breast,Colorado,Colorado,8000,***,123.5,121.7,-0.5,125.4,1.4,3587,stable,0.5,121.7,-0.5,125.4,1.4
1045,8, 2011-2015,Colon & Rectum,Colorado,Colorado,8000,Yes,33.8,33.1,-2.9,34.5,-0.2,1812,falling,-1.6,33.1,-2.9,34.5,-0.2
1111,8, 2011-2015,Lung & Bronchus,Colorado,Colorado,8000,***,43.3,42.5,-4.4,44.1,-1.5,2295,falling,-3,42.5,-4.4,44.1,-1.5
1177,8, 2011-2015,Prostate,Colorado,Colorado,8000,***,101,99.3,-13.1,102.8,-6.6,2789,falling,-9.9,99.3,-13.1,102.8,-6.6
1243,8, 2011-2015,Breast,Connecticut,Connecticut,9000,***,140.2,137.9,0.2,142.4,1,3200,rising,0.6,137.9,0.2,142.4,1
1253,8, 2011-2015,Colon & Rectum,Connecticut,Connecticut,9000,Yes,37.7,36.8,-4.1,38.5,-3.3,1641,falling,-3.7,36.8,-4.1,38.5,-3.3
1263,8, 2011-2015,Lung & Bronchus,Connecticut,Connecticut,9000,***,61,59.9,-2.5,62,-1.2,2662,falling,-1.8,59.9,-2.5,62,-1.2
1273,8, 2011-2015,Prostate,Connecticut,Connecticut,9000,***,112.8,110.7,-9.3,114.9,-3.7,2364,falling,-6.6,110.7,-9.3,114.9,-3.7
1283,8, 2011-2015,Lung & Bronchus,District of Columbia,District of Columbia,11001,***,53.4,50.8,-15.2,56.1,0.8,331,stable,-7.5,50.8,-15.2,56.1,0.8
1285,8, 2011-2015,Breast,Delaware,Delaware,10000,***,133.8,129.5,-3.6,138.1,9.6,799,stable,2.8,129.5,-3.6,138.1,9.6
1290,8, 2011-2015,Colon & Rectum,Delaware,Delaware,10000,Yes,37.2,35.6,-4.2,38.8,6.7,415,stable,1.1,35.6,-4.2,38.8,6.7
1295,8, 2011-2015,Lung & Bronchus,Delaware,Delaware,10000,***,71.2,69,-5.5,73.4,3,822,stable,-1.4,69,-5.5,73.4,3
1300,8, 2011-2015,Prostate,Delaware,Delaware,10000,***,136.1,131.8,-11.1,140.6,-2.3,762,falling,-6.8,131.8,-11.1,140.6,-2.3
1305,8, 2011-2015,Prostate,District of Columbia,District of Columbia,11001,***,143.5,137.1,-21.2,150.1,-8.8,402,falling,-15.2,137.1,-21.2,150.1,-8.8
1307,8, 2011-2015,Colon & Rectum,District of Columbia,District of Columbia,11001,No,40.9,38.6,-17.9,43.3,9.7,253,stable,-5.1,38.6,-17.9,43.3,9.7
1309,8, 2011-2015,Breast,Florida,Florida,12000,***,116,115.2,-1.7,116.9,1,15430,stable,-0.3,115.2,-1.7,116.9,1
1378,8, 2011-2015,Colon & Rectum,Florida,Florida,12000,Yes,36.9,36.5,-4.2,37.2,-1.2,9790,falling,-2.7,36.5,-4.2,37.2,-1.2
1447,8, 2011-2015,Lung & Bronchus,Florida,Florida,12000,***,59.7,59.3,-5.4,60.1,-1.7,16548,falling,-3.6,59.3,-5.4,60.1,-1.7
