Incidence Rate Report for Louisiana by Parish,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Louisiana(3,8)",22000,***,137.4,135.3,139.6,3387,falling,-5.6,-8,-3.3
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"West Baton Rouge Parish(7,8)",22121,***,187.8,153.1,228,23,stable,-1,-3.4,1.4
"St. James Parish(7,8)",22093,***,185.8,152.8,224.2,23,stable,-0.5,-3.3,2.4
"Catahoula Parish(7,8)",22025,***,177.2,133.2,231.9,11,stable,-0.2,-3.9,3.7
"Claiborne Parish(7,8)",22027,***,176.1,142.2,216.2,19,stable,-2.5,-5.1,0.2
"Vermilion Parish(7,8)",22113,***,175.1,154.6,197.6,55,falling,-2,-3.7,-0.1
"East Feliciana Parish(7,8)",22037,***,174.1,142.9,210.7,24,stable,-2.6,-5.2,0.1
"St. Mary Parish(7,8)",22101,***,165.3,144.7,188.1,49,stable,-0.3,-2.5,2
"Iberville Parish(7,8)",22047,***,162.5,137.6,190.7,32,falling,-14.1,-22.9,-4.4
"West Feliciana Parish(7,8)",22125,***,162.4,127,205.3,18,stable,-1.4,-6.1,3.6
"East Baton Rouge Parish(7,8)",22033,***,161.2,153.4,169.3,343,falling,-9.2,-12.5,-5.9
"Rapides Parish(7,8)",22079,***,160.3,147.3,174.1,117,falling,-1.5,-2.6,-0.3
"Ascension Parish(7,8)",22005,***,155.3,139.8,172,83,falling,-2.2,-3.7,-0.7
"Franklin Parish(7,8)",22041,***,154.3,124.6,189.3,19,stable,-1.2,-4.3,1.9
"St. Martin Parish(7,8)",22099,***,153.6,133.9,175.5,47,falling,-2.8,-5,-0.5
"Orleans Parish(7,8)",22071,***,152.6,144.3,161.2,285,falling,-1.6,-2.5,-0.6
"Morehouse Parish(7,8)",22067,***,152.5,126.3,182.7,25,falling,-2.7,-4.6,-0.7
"Lafayette Parish(7,8)",22055,***,150.9,140.2,162.2,160,falling,-2.6,-3.9,-1.3
"St. Landry Parish(7,8)",22097,***,145.4,130.2,162,69,falling,-13.3,-24.1,-0.9
"Bienville Parish(7,8)",22013,***,142.4,109.8,182.6,13,stable,-3,-5.9,0.1
"Cameron Parish(7,8)",22023,***,139.7,90.9,206.7,6,stable,-26.5,-57.6,27.6
"Washington Parish(7,8)",22117,***,137.1,118,158.5,39,falling,-3.3,-5.4,-1.1
"Richland Parish(7,8)",22083,***,136.6,107.3,171.6,16,stable,-2.3,-4.5,0.1
"Winn Parish(7,8)",22127,***,136,104.7,174.4,13,falling,-3.6,-6.7,-0.5
"Evangeline Parish(7,8)",22039,***,135.9,113.2,162,26,stable,-1.8,-4.6,1.1
"Caddo Parish(7,8)",22017,***,135.8,127,145.1,186,falling,-7.5,-11.3,-3.5
"Terrebonne Parish(7,8)",22109,***,135.6,121.9,150.5,77,stable,0.1,-1.3,1.6
"Jefferson Parish(7,8)",22051,***,134.6,128,141.4,333,falling,-5.1,-8.1,-2.1
"Acadia Parish(7,8)",22001,***,133.1,115.4,152.7,43,stable,-1.7,-4.1,0.8
"Assumption Parish(7,8)",22007,***,131.4,106.1,161.5,20,stable,-1.6,-4.3,1.2
"LaFourche Parish(7,8)",22057,***,129.7,115.8,144.9,67,stable,-1.7,-3.8,0.4
"Ouachita Parish(7,8)",22073,***,128.4,117,140.5,99,stable,-1.8,-3.5,0
"Iberia Parish(7,8)",22045,***,127.8,112.2,145,51,falling,-3.7,-5.9,-1.3
"Calcasieu Parish(7,8)",22019,***,127.1,117.4,137.4,134,falling,-7,-9.9,-4
"De Soto Parish(7,8)",22031,***,126.8,103.5,154.2,22,falling,-5.8,-8.1,-3.4
"Plaquemines Parish(7,8)",22075,***,126.1,98.6,159.1,15,stable,-1,-4.1,2.1
"Avoyelles Parish(7,8)",22009,***,125.9,106.6,147.9,31,falling,-3.1,-5.7,-0.3
"Tangipahoa Parish(7,8)",22105,***,125.3,112.7,139,79,falling,-3.7,-5.8,-1.5
"St. Charles Parish(7,8)",22089,***,124.2,105.1,145.9,34,falling,-4.1,-7.2,-1
"Webster Parish(7,8)",22119,***,124.1,105.7,145.1,33,falling,-5.6,-8.2,-2.8
"Vernon Parish(7,8)",22115,***,123.8,103.4,147,27,stable,-1.4,-5,2.3
"Allen Parish(7,8)",22003,***,123.2,97.6,153.4,17,stable,14.4,-6.5,40.1
"Lincoln Parish(7,8)",22061,***,123.1,102.3,147,26,stable,-2.1,-4.9,0.7
"St. Helena Parish(7,8)",22091,***,122.9,88.5,167.7,9,stable,-2.2,-6.5,2.3
"St. Tammany Parish(7,8)",22103,***,121.8,113.5,130.6,173,falling,-3.6,-4.9,-2.2
"Sabine Parish(7,8)",22085,***,120.2,97.6,147,21,falling,-3.4,-6.5,-0.2
"Concordia Parish(7,8)",22029,***,119,92.7,150.9,14,stable,-1.1,-5,3.1
"La Salle Parish(7,8)",22059,***,118.7,88.8,155.9,11,stable,-3.4,-7.9,1.3
"Pointe Coupee Parish(7,8)",22077,***,116.7,93.4,144.7,18,stable,1.9,-20.7,31
"St. Bernard Parish(7,8)",22087,***,115.9,93.9,141.3,22,stable,-1.7,-3.8,0.4
"Livingston Parish(7,8)",22063,***,115.4,103.3,128.6,73,stable,-2.7,-5.7,0.4
"Caldwell Parish(7,8)",22021,***,114.9,77.8,163.9,7,falling,-4.4,-7.7,-1
"Jackson Parish(7,8)",22049,***,114.4,86.9,148.5,12,falling,-3.4,-5.6,-1.1
"Bossier Parish(7,8)",22015,***,114.1,102.2,127.1,70,falling,-13.5,-20.2,-6.3
"Union Parish(7,8)",22111,***,114,91.6,141,19,falling,-3.4,-6.2,-0.4
"Jefferson Davis Parish(7,8)",22053,***,112.8,91.7,137.5,20,falling,-5.7,-7.6,-3.7
"Natchitoches Parish(7,8)",22069,***,112.4,92.7,135.2,24,falling,-7,-10.4,-3.5
"St. John the Baptist Parish(7,8)",22095,***,108.5,89.5,130.4,25,falling,-4.3,-7.1,-1.3
"Grant Parish(7,8)",22043,***,106.8,82.1,136.8,13,stable,-3.8,-8,0.5
"Beauregard Parish(7,8)",22011,***,106.2,86.6,128.9,22,falling,-5.3,-6.7,-3.8
Tensas Parish(7),22107,***,96.6,57.1,159.1,4,*,*,*,*
"Red River Parish(7,8)",22081,***,92.2,58.3,140,5,stable,-3.4,-9.3,2.9
"Madison Parish(7,8)",22065,***,88.8,57.7,130.8,5,falling,-11,-16.3,-5.4
"East Carroll Parish(7,8)",22035,***,86.6,47.8,143.5,3,falling,-8.2,-14.2,-1.7
"West Carroll Parish(7,8)",22123,***,77.5,52.1,112.4,6,falling,-11.8,-15.4,-8
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:50 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
