Incidence Rate Report for Michigan by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Michigan(5,10)",26000,Yes,37.7 #  ,37.2,38.2,4443,falling,-2.4,-4,-0.7
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Gogebic County(6,10)",26053,No,49.6 #  ,37.2,65.5,12,stable,9.3,-22.2,53.4
"Oscoda County(6,10)",26135,No,49.4 #  ,31.7,74.5,7,stable,-17.7,-51.8,40.7
"Manistee County(6,10)",26101,No,49.1 #  ,39.1,61.2,19,stable,5.9,-20.4,40.9
"Alcona County(6,10)",26001,No,48.5 #  ,32.2,71.6,9,stable,-0.6,-34.3,50.5
"Kalkaska County(6,10)",26079,No,48.1 #  ,35.8,63.7,11,stable,7.4,-15.1,36
"Wayne County(7,8)",26163,No,46.2,44.8,47.6,921,falling,-2.6,-3.2,-1.9
"Wexford County(6,10)",26165,No,45.8 #  ,36.9,56.4,19,stable,-3.7,-16.2,10.7
"Isabella County(6,10)",26073,No,45.5 #  ,38.2,53.9,28,stable,1.1,-7.9,10.9
"Tuscola County(6,10)",26157,No,45.5 #  ,38.6,53.4,33,stable,6.3,-20.7,42.5
"Alpena County(6,10)",26007,No,44.6 #  ,36.1,54.7,21,stable,-11.2,-31.6,15.4
"Osceola County(6,10)",26133,No,44.6 #  ,34.4,57.1,14,stable,0.3,-13.1,15.8
"Roscommon County(6,10)",26143,No,43.9 #  ,34,56.4,18,stable,18.9,-4.4,47.8
"Gratiot County(6,10)",26057,No,43.8 #  ,35.9,53,22,stable,-10.9,-26.4,7.9
"Charlevoix County(6,10)",26029,No,43.3 #  ,34.4,54.1,17,stable,-11.3,-32.4,16.5
"Ontonagon County(6,10)",26131,No,42.8 #  ,25,72.3,5,stable,-8.5,-30.7,20.7
"Lenawee County(6,10)",26091,No,42.5 #  ,37.4,48,54,stable,5,-17.8,34.1
"Baraga County(6,10)",26013,No,42.2 #  ,26.4,64.7,5,stable,-6.1,-31.7,29.2
"Huron County(6,10)",26063,No,42 #  ,34.3,51.2,23,stable,1.8,-28.1,44.2
"Berrien County(6,10)",26021,No,41.9 #  ,38,46.2,87,stable,2.3,-6.1,11.5
"Bay County(6,10)",26017,No,41.8 #  ,37.1,47,60,stable,2.8,-11.9,19.9
"Shiawassee County(6,10)",26155,No,41.2 #  ,35.2,48,35,stable,-1.3,-20.6,22.6
"Iosco County(6,10)",26069,No,40.6 #  ,31.5,52,18,stable,-16.8,-42.6,20.8
"Macomb County(7,8)",26099,No,40.5,38.8,42.3,425,falling,-2.1,-2.4,-1.7
"Montmorency County(6,10)",26119,No,40.2 #  ,28.7,57.6,8,stable,9.9,-12.6,38.2
"Houghton County(6,10)",26061,Yes,39.8 #  ,31.6,49.6,17,stable,-8.5,-26.6,14.1
"Benzie County(6,10)",26019,Yes,39.4 #  ,28.6,53.4,10,stable,-3.2,-42.3,62.5
"Genesee County(6,10)",26049,Yes,38.9 #  ,36.4,41.5,190,stable,-1.3,-9.3,7.5
"Presque Isle County(6,10)",26141,Yes,38.8 #  ,27.3,54.7,9,stable,-7.4,-35.8,33.4
"Lapeer County(6,10)",26087,Yes,38.7 #  ,33.4,44.6,42,stable,-7.1,-26.2,16.8
"Emmet County(6,10)",26047,Yes,38.5 #  ,30.7,48,18,stable,-7.2,-18.6,5.8
"Ingham County(6,10)",26065,Yes,38.5 #  ,35.2,42.1,105,stable,-1.9,-8.7,5.4
