Incidence Rate Report for Mississippi by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Mississippi(6,10)",28000,No,48.4,47.3,49.5,1623,stable,-1,-3.1,1.3
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Sharkey County(6,10)",28125,No,84.5,53.7,127.6,5,*,*,*,*
"Holmes County(6,10)",28051,No,78.1,61.6,97.8,16,stable,5.8,-13.6,29.5
"Humphreys County(6,10)",28053,No,77.2,54.2,106.8,8,stable,-34.3,-60.2,8.3
"Bolivar County(6,10)",28011,No,73.9,61.8,87.8,28,stable,2.8,-10.5,18
"Sunflower County(6,10)",28133,No,72.4,58.9,88.1,21,rising,6.6,3.8,9.6
"Washington County(6,10)",28151,No,67.9,58.1,78.9,36,stable,-14.1,-30.8,6.5
"Leflore County(6,10)",28083,No,66.8,54.3,81.1,21,stable,5.2,-10.1,23
"Jefferson County(6,10)",28063,No,64.9,43.1,94.4,6,stable,20.4,-2.1,48
"Montgomery County(6,10)",28097,No,64.2,47,86.3,10,stable,9.8,-21.2,52.8
"Coahoma County(6,10)",28027,No,63.7,50.6,79.1,17,stable,-8.3,-25.2,12.3
"Wilkinson County(6,10)",28157,No,62.2,42.7,88,7,stable,-4.1,-25.1,22.7
"Yalobusha County(6,10)",28161,No,61.8,45.8,82,10,stable,10,-31.8,77.5
"Quitman County(6,10)",28119,No,61.7,40,91.2,5,stable,6.3,-32.4,67.1
"Franklin County(6,10)",28037,No,59.1,40.2,84.8,6,stable,-7.1,-36.6,36.2
"Leake County(6,10)",28079,No,58.8,46,74,15,stable,-2.2,-27.9,32.5
"Copiah County(6,10)",28029,No,58.7,47.6,71.6,21,stable,3.3,-20.4,34
"Yazoo County(6,10)",28163,No,58.2,46.5,72,17,stable,1.3,-19.2,27.1
"Noxubee County(6,10)",28103,No,57.8,40.6,80.2,8,stable,3.8,-32.4,59.4
"Tishomingo County(6,10)",28141,No,57.6,45.1,72.9,15,stable,11,-11.9,39.9
"Tunica County(6,10)",28143,No,56.8,37.5,82.5,6,stable,-3.8,-33.2,38.5
"Webster County(6,10)",28155,No,56.3,38.7,79.6,7,stable,9.6,-5.5,27.1
"Grenada County(6,10)",28043,No,56.3,44.2,70.8,15,stable,-5.8,-27.4,22.4
"Calhoun County(6,10)",28013,No,55.5,41.6,73.1,11,stable,-0.9,-19.9,22.5
"Jasper County(6,10)",28061,No,55.5,42.5,71.6,13,rising,6.3,2.2,10.7
"Warren County(6,10)",28149,No,55.4,46.9,65.2,31,stable,-1.5,-19.4,20.4
"Jefferson Davis County(6,10)",28065,No,54.3,38.1,75.3,8,stable,1.7,-32.2,52.7
"Lawrence County(6,10)",28077,No,53.6,38.4,73.1,9,stable,-1.7,-15.2,13.9
"Union County(6,10)",28145,No,53.5,42.7,66.2,17,stable,3,-30.5,52.7
"Wayne County(6,10)",28153,No,53.4,41,68.4,13,stable,7.1,-4.7,20.3
"Marion County(6,10)",28091,No,53.1,42.4,65.8,18,stable,1.3,-42.5,78.6
"Pike County(6,10)",28113,No,52.8,43.8,63.1,25,stable,-0.4,-15.3,17.2
