Incidence Rate Report for Missouri by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Missouri(6,10)",29000,No,41.7,41.1,42.4,2969,falling,-2.4,-3.4,-1.4
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Mercer County(6,10)",29129,No,66,37.6,109.8,3,*,*,*,*
"Knox County(6,10)",29103,No,65.5,38.6,106.3,4,stable,16.4,-0.6,36.3
"Linn County(6,10)",29115,No,61.1,45.3,81.1,11,stable,0.4,-12.1,14.5
"Barton County(6,10)",29011,No,59,43.3,79.2,10,stable,16.3,-20.4,69.8
"Stoddard County(6,10)",29207,No,57.8,47.7,69.7,24,stable,-6.9,-24.2,14.3
"Ste. Genevieve County(6,10)",29186,No,57.2,43.8,73.6,13,stable,-12.5,-33.8,15.7
"Henry County(6,10)",29083,No,56.9,45.3,70.8,18,stable,1.8,-18.6,27.3
"Mississippi County(6,10)",29133,No,56,41.1,74.8,10,stable,5.9,-25.7,50.9
"Crawford County(6,10)",29055,No,55.7,44.6,68.9,18,rising,10.8,4.8,17.2
"Monroe County(6,10)",29137,No,54.1,37.4,77,7,stable,-7.3,-33.7,29.6
"Shelby County(6,10)",29205,No,54,33.8,83,5,stable,-0.9,-27.8,35.9
"Dunklin County(6,10)",29069,No,53.8,43.8,65.4,21,stable,-3.1,-22.9,21.8
"New Madrid County(6,10)",29143,No,53.6,41,69.1,13,stable,-0.6,-16.4,18.3
"McDonald County(6,10)",29119,No,53.5,41,68.7,13,stable,-6.3,-32.2,29.4
"St. Francois County(6,10)",29187,No,53.3,46.3,61.2,42,falling,-8.8,-15.4,-1.7
"Dallas County(6,10)",29059,No,52,39.3,67.8,12,stable,4.8,-28,52.6
"Sullivan County(6,10)",29211,No,51.9,32.6,79.6,5,stable,-2.8,-43.3,66.5
"Texas County(6,10)",29215,No,51.9,41.3,64.5,18,stable,-2.8,-37.2,50.7
"Cooper County(6,10)",29053,No,51.6,38.3,68.1,11,stable,6.8,-35.1,75.7
"Ralls County(6,10)",29173,No,51.5,35.2,73.4,7,stable,-11.8,-43.9,38.6
"Scott County(6,10)",29201,No,51.2,42.5,61.3,25,stable,7,-43.9,104.3
"Miller County(6,10)",29131,No,51.1,40.3,64.1,16,stable,-2.1,-11.8,8.7
"Shannon County(6,10)",29203,No,51,32,77.5,5,stable,-14.3,-63.7,102.3
"Daviess County(6,10)",29061,No,51,32.6,76.5,5,falling,-26.5,-41.8,-7.1
"Pike County(6,10)",29163,No,50.6,38.4,65.7,12,stable,-2.5,-30.4,36.6
"Pemiscot County(6,10)",29155,No,50.6,38,66.2,11,stable,11.6,-21.3,58.3
"Wright County(6,10)",29229,No,50.5,38.1,66,12,stable,6.1,-4.9,18.3
"Johnson County(6,10)",29101,No,50.2,41.6,60.1,25,stable,-1.4,-4.6,1.9
"Wayne County(6,10)",29223,No,49.6,36.3,66.9,10,stable,26.9,-0.9,62.5
"Randolph County(6,10)",29175,No,49.5,38.6,62.6,14,stable,3,-20.4,33.3
"Carroll County(6,10)",29033,No,49.4,33.3,71.5,6,rising,20.6,3.5,40.5
"Washington County(6,10)",29221,No,49.3,38.3,62.6,14,stable,6,-32.2,65.9
"Scotland County(6,10)",29199,No,48.9,27.6,81.8,3,*,*,*,*
"Pettis County(6,10)",29159,No,48.7,40.4,58.3,25,stable,5.1,-6.9,18.7
