Incidence Rate Report for Montana by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Montana(6,10)",30000,***,111.1,107.5,114.8,757,stable,-4.8,-13.1,4.2
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Flathead County(6,10)",30029,***,154.1,140.4,168.9,100,stable,-6.4,-17.2,5.7
"Sheridan County(6,10)",30091,***,146.8,91,232,4,*,*,*,*
"Dawson County(6,10)",30021,***,146,106.9,196.2,10,stable,-16.4,-39.4,15.5
"Custer County(6,10)",30017,***,145.4,110.6,188.9,12,stable,-9,-35.7,28.7
"Big Horn County(6,10)",30003,***,140.2,101.6,189,9,stable,6.8,-25.3,52.6
"Rosebud County(6,10)",30087,***,136.1,95.7,188.9,8,stable,-6.5,-18.6,7.3
"Stillwater County(6,10)",30095,***,136,100.5,182.5,10,stable,-2.9,-14.8,10.6
"Valley County(6,10)",30105,***,132.6,94.1,184.4,8,stable,9.4,-41.4,104.3
"Carbon County(6,10)",30009,***,132,100.2,173.8,12,stable,-14.6,-36.9,15.7
"Beaverhead County(6,10)",30001,***,129,92.4,177.4,9,stable,-2.3,-41,61.9
"Blaine County(6,10)",30005,***,127.2,79.7,193.5,5,stable,-8.7,-48.4,61.4
"Deer Lodge County(6,10)",30023,***,126.8,92.8,171.9,10,stable,-10.9,-40.3,32.8
"Fergus County(6,10)",30027,***,125.7,95.5,164.6,12,stable,-0.3,-23.4,29.8
"Musselshell County(6,10)",30065,***,125.3,78.2,196.9,5,stable,3.3,-35.3,64.9
"Yellowstone County(6,10)",30111,***,123.1,113,133.9,114,stable,-7.6,-29.5,21.2
"Roosevelt County(6,10)",30085,***,116.7,76.1,170.6,6,stable,-7.6,-17.9,4
"Lewis and Clark County(6,10)",30049,***,113.8,99,130.3,46,stable,5.2,-7.2,19.3
"Lincoln County(6,10)",30053,***,111.9,91.1,137.8,22,stable,4.5,-16.2,30.2
"Park County(6,10)",30067,***,109.8,84.5,141.8,14,stable,0.7,-12.7,16.2
"Lake County(6,10)",30047,***,107,88.3,129.1,24,falling,-9.3,-15.6,-2.5
"Gallatin County(6,10)",30031,***,104.4,91.1,119.1,49,stable,-1.7,-21.1,22.4
"Teton County(6,10)",30099,***,103.7,67.7,156.6,5,stable,14.9,-24.7,75.4
"Missoula County(6,10)",30063,***,102,90.5,114.5,63,stable,-7.4,-20.6,8.1
"Ravalli County(6,10)",30081,***,99.7,85.4,116.3,37,stable,-5.5,-16.3,6.7
"Granite County(6,10)",30039,***,99.6,58.1,180.9,4,stable,-5.6,-43.2,56.8
"Chouteau County(6,10)",30015,***,97.1,58.9,154.7,4,stable,7.6,-36,80.8
"Broadwater County(6,10)",30007,***,96.1,59.1,152.3,4,stable,-4.9,-35.7,40.7
"Jefferson County(6,10)",30043,***,93.2,67.8,128,10,stable,3.3,-17.3,29.1
"Cascade County(6,10)",30013,***,91.7,80.3,104.4,48,stable,-9.1,-26.5,12.5
"Richland County(6,10)",30083,***,89.1,59,129.7,6,stable,2.2,-38.3,69.5
"Sanders County(6,10)",30089,***,77.3,56.5,107.1,10,stable,3.6,-40,78.8
