Incidence Rate Report for Nebraska by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Nebraska(6,10)",31000,***,114.3,111.3,117.3,1175,stable,-4.6,-9.9,1
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Boone County(6,10)",31011,***,167.8,116.3,238.4,7,stable,-29.2,-54.8,10.7
"Burt County(6,10)",31021,***,163.2,118.2,223.5,9,stable,-3.7,-33.1,38.6
"Pawnee County(6,10)",31133,***,159.9,95.7,263.8,4,stable,5.7,-35.9,74.2
"Nuckolls County(6,10)",31129,***,157.1,104.6,233.3,6,stable,-22.6,-56.6,38.1
"Holt County(6,10)",31089,***,155.9,119.4,202.1,13,stable,1.3,-28.5,43.7
"Madison County(6,10)",31119,***,152.7,128.8,180,30,stable,-6,-24.2,16.6
"Harlan County(6,10)",31083,***,152.3,97.2,237.1,5,stable,-2.9,-18.9,16.1
"Merrick County(6,10)",31121,***,151.1,107.6,208.2,8,stable,-9.1,-33.4,24.2
"Howard County(6,10)",31093,***,150.4,104.2,212.9,7,stable,-4.2,-46.4,71.2
"Dodge County(6,10)",31053,***,141.8,121.2,165.3,34,stable,-3.5,-16.6,11.6
"Webster County(6,10)",31181,***,137,83.5,219.9,4,stable,3.4,-36.5,68.4
"Wayne County(6,10)",31179,***,134.4,92.5,189.6,7,stable,4.2,-30.4,55.9
"Hall County(6,10)",31079,***,133.3,116,152.4,44,stable,-14.6,-28.9,2.6
"Chase County(6,10)",31029,***,127.7,76.4,206,4,stable,9.8,-11.9,36.8
"Saunders County(6,10)",31155,***,125.6,100.4,155.7,18,stable,-4.2,-31.4,33.6
"Washington County(6,10)",31177,***,125.5,99,157.5,16,stable,4.1,-13.2,24.8
"Knox County(6,10)",31107,***,125.1,90.2,171.8,9,stable,-6.2,-38,42
"Cuming County(6,10)",31039,***,123.3,88.2,169.8,8,stable,-4.5,-28.8,28.2
"Sheridan County(6,10)",31161,***,122.4,80.7,183.8,6,stable,3.6,-23.2,39.8
"Platte County(6,10)",31141,***,121.8,100.4,146.6,23,stable,-5.9,-15.7,5
"Box Butte County(6,10)",31013,***,121.1,85.8,166.9,9,stable,22.4,-22,92
"Douglas County(6,10)",31055,***,120.8,114.5,127.4,298,stable,-2.6,-8.6,3.7
"Dixon County(6,10)",31051,***,120.8,77.4,182.7,5,stable,2,-40.6,75.2
"Clay County(6,10)",31035,***,120.1,78.9,177.9,6,falling,-17.9,-30,-3.7
"Butler County(6,10)",31023,***,120,84.2,168.2,7,falling,-24,-30.6,-16.7
"Cheyenne County(6,10)",31033,***,119.5,83.4,166.9,7,stable,-1.1,-40.5,64.3
"Lincoln County(6,10)",31111,***,118.7,98.9,141.5,26,falling,-6.5,-9.1,-4
"Cass County(6,10)",31025,***,117.3,94.3,144.7,19,stable,-1.5,-15.9,15.3
"Seward County(6,10)",31159,***,116,88.4,149.9,12,stable,-23.6,-42.4,1.4
"Valley County(6,10)",31175,***,115.6,70.2,186.1,4,stable,-7.1,-51.6,78.3
"Morrill County(6,10)",31123,***,113.3,67.8,181.4,4,*,*,*,*
"Hamilton County(6,10)",31081,***,110,75.2,156.9,7,stable,-11.6,-37.7,25.5
"Saline County(6,10)",31151,***,109.2,78.8,147.6,9,falling,-12.4,-20,-3.9
"Stanton County(6,10)",31167,***,108.8,65.9,170.8,4,stable,-6.8,-47.1,64.2
"Thayer County(6,10)",31169,***,108.4,69.8,167.1,5,stable,-14.4,-34.7,12.1
"Lancaster County(6,10)",31109,***,107.5,99.8,115.7,154,stable,-3.2,-14,8.9
"Dakota County(6,10)",31043,***,104.8,78.6,137.1,11,stable,-9.9,-31.9,19.2
"Keith County(6,10)",31101,***,104.5,71.3,150.6,7,stable,15.1,-32.6,96.5
"Adams County(6,10)",31001,***,103.9,83.9,127.5,19,stable,-3.3,-26.6,27.4
"Gage County(6,10)",31067,***,103.7,82.5,129.6,17,stable,-1.1,-29.6,39
"Custer County(6,10)",31041,***,103.1,74.4,141.1,9,stable,13,-4.2,33.3
"Kearney County(6,10)",31099,***,102,62.5,159,4,stable,3.5,-46.1,98.7
"Richardson County(6,10)",31147,***,102,70.5,145.9,7,stable,-11.8,-24.9,3.5
"York County(6,10)",31185,***,101.9,74.9,136.5,10,stable,-6.4,-47.8,67.7
"Jefferson County(6,10)",31095,***,101.4,65.8,152,6,stable,12.6,-27.4,74.6
"Antelope County(6,10)",31003,***,99.8,64.9,150.7,5,stable,-11.3,-43.9,40.1
"Cherry County(6,10)",31031,***,99.2,59.7,157.8,4,stable,-19.3,-51.6,34.5
"Sarpy County(6,10)",31153,***,99,88.7,110,75,stable,-9.7,-20.7,2.8
"Buffalo County(6,10)",31019,***,98.9,81.5,118.9,24,stable,7.9,-15.9,38.4
"Pierce County(6,10)",31139,***,98.3,61.9,150.2,5,stable,13.4,-16.3,53.5
"Otoe County(6,10)",31131,***,98.1,72.6,130.5,10,stable,-5.4,-27.1,22.7
"Red Willow County(6,10)",31145,***,97.4,68,136.5,7,stable,-12.2,-33.4,15.9
"Nemaha County(6,10)",31127,***,97.1,59.9,150.8,4,stable,-14.1,-35.2,13.9
"Polk County(6,10)",31143,***,97,58.5,156.3,4,stable,-14.1,-34.8,13.1
"Scotts Bluff County(6,10)",31157,***,96.5,79,116.9,22,stable,2.6,-25.6,41.6
"Cedar County(6,10)",31027,***,96.4,66.1,138.4,7,stable,2.8,-32.5,56.5
"Dawson County(6,10)",31047,***,93.9,72,120.7,13,stable,-14.3,-27,0.5
"Fillmore County(6,10)",31059,***,89.8,53.6,145.4,4,stable,7.3,-17.9,40.3
"Dawes County(6,10)",31045,***,87,55.9,131.3,5,stable,4.8,-35.3,69.7
"Phelps County(6,10)",31137,***,86.9,57.1,128.3,5,stable,-13.6,-31.3,8.5
"Colfax County(6,10)",31037,***,86.5,55,129.5,5,stable,-2.5,-20.2,19.1
"Arthur County(6,10)",31005,***,* ,*, *,3 or fewer,*,*,*,*
"Banner County(6,10)",31007,***,* ,*, *,3 or fewer,*,*,*,*
"Blaine County(6,10)",31009,***,* ,*, *,3 or fewer,*,*,*,*
"Boyd County(6,10)",31015,***,* ,*, *,3 or fewer,*,*,*,*
"Brown County(6,10)",31017,***,* ,*, *,3 or fewer,*,*,*,*
"Deuel County(6,10)",31049,***,* ,*, *,3 or fewer,*,*,*,*
"Dundy County(6,10)",31057,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin County(6,10)",31061,***,* ,*, *,3 or fewer,*,*,*,*
"Frontier County(6,10)",31063,***,* ,*, *,3 or fewer,*,*,*,*
"Furnas County(6,10)",31065,***,* ,*, *,3 or fewer,*,*,*,*
"Garden County(6,10)",31069,***,* ,*, *,3 or fewer,*,*,*,*
"Garfield County(6,10)",31071,***,* ,*, *,3 or fewer,*,*,*,*
"Gosper County(6,10)",31073,***,* ,*, *,3 or fewer,*,*,*,*
"Grant County(6,10)",31075,***,* ,*, *,3 or fewer,*,*,*,*
"Greeley County(6,10)",31077,***,* ,*, *,3 or fewer,*,*,*,*
"Hayes County(6,10)",31085,***,* ,*, *,3 or fewer,*,*,*,*
"Hitchcock County(6,10)",31087,***,* ,*, *,3 or fewer,*,*,*,*
"Hooker County(6,10)",31091,***,* ,*, *,3 or fewer,*,*,*,*
"Johnson County(6,10)",31097,***,* ,*, *,3 or fewer,*,*,*,*
"Keya Paha County(6,10)",31103,***,* ,*, *,3 or fewer,*,*,*,*
"Kimball County(6,10)",31105,***,* ,*, *,3 or fewer,*,*,*,*
"Logan County(6,10)",31113,***,* ,*, *,3 or fewer,*,*,*,*
"Loup County(6,10)",31115,***,* ,*, *,3 or fewer,*,*,*,*
"McPherson County(6,10)",31117,***,* ,*, *,3 or fewer,*,*,*,*
"Nance County(6,10)",31125,***,* ,*, *,3 or fewer,*,*,*,*
"Perkins County(6,10)",31135,***,* ,*, *,3 or fewer,*,*,*,*
"Rock County(6,10)",31149,***,* ,*, *,3 or fewer,*,*,*,*
"Sherman County(6,10)",31163,***,* ,*, *,3 or fewer,*,*,*,*
"Sioux County(6,10)",31165,***,* ,*, *,3 or fewer,*,*,*,*
"Thomas County(6,10)",31171,***,* ,*, *,3 or fewer,*,*,*,*
"Thurston County(6,10)",31173,***,* ,*, *,3 or fewer,*,*,*,*
"Wheeler County(6,10)",31183,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:01 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
,,,,,,,,,,
"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. ",,,,,,,,,,
,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,
,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,
