Incidence Rate Report for Nebraska by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Nebraska(6,10)",31000,No,43,41.7,44.3,905,stable,-1.4,-4.1,1.5
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Kearney County(6,10)",31099,No,71.7,47.8,104.2,6,stable,6.5,-29,59.7
"Nuckolls County(6,10)",31129,No,70.8,39.8,117.2,4,stable,-23.1,-62,55.7
"Polk County(6,10)",31143,No,69.6,43.9,106.3,5,stable,-9.9,-56,84.3
"Nance County(6,10)",31125,No,67,37,113.5,3,*,*,*,*
"Thurston County(6,10)",31173,No,65.1,39.7,100.3,4,stable,-14.3,-45,33.5
"Thayer County(6,10)",31169,No,63.6,43.2,93.8,7,stable,5.1,-11,24
"Antelope County(6,10)",31003,No,61.9,40,92.7,6,stable,-12.2,-37.2,22.6
"Pierce County(6,10)",31139,No,61.7,40.9,90.1,6,stable,16.9,-24,79.9
"Valley County(6,10)",31175,No,59.1,35.9,94.7,4,stable,-18.1,-46.2,24.6
"Saline County(6,10)",31151,No,57,41.6,76.5,10,stable,-10.5,-30.5,15.3
"Morrill County(6,10)",31123,No,56.4,32.5,92.2,4,stable,-1.7,-49.1,89.8
"Cuming County(6,10)",31039,No,55.4,38.8,77.8,8,stable,11.5,-28.6,74.2
"Washington County(6,10)",31177,No,54.1,41.2,69.9,12,stable,11.4,-22.1,59.5
"Dawson County(6,10)",31047,No,53.6,42,67.5,15,stable,15,-10,47.1
"Dixon County(6,10)",31051,No,52.8,31.7,83.8,4,stable,-10,-44.4,45.8
"Wayne County(6,10)",31179,No,52.3,34.7,76.4,6,stable,12.9,-34.6,94.9
"Keith County(6,10)",31101,No,49.4,32.8,72.8,6,stable,-5.9,-31.3,28.8
"Madison County(6,10)",31119,No,49.2,40.1,60,21,stable,-3,-21.7,20.2
"Jefferson County(6,10)",31095,No,49.2,31.8,74.1,6,stable,12.3,-12.9,44.8
"Phelps County(6,10)",31137,No,49,33.1,70.6,6,stable,-4.6,-25.2,21.7
"Platte County(6,10)",31141,No,48,38.4,59.3,18,stable,14.5,-1,32.3
"Johnson County(6,10)",31097,No,47.5,27.8,77.7,4,stable,9.7,-52,150.6
"Seward County(6,10)",31159,No,47.5,35.2,62.9,10,stable,1.5,-20.3,29.4
"Otoe County(6,10)",31131,No,47,34.3,63.1,10,stable,5.1,-6.6,18.2
"Dodge County(6,10)",31053,No,47,38.8,56.6,24,stable,-3.5,-16.4,11.4
"Hall County(6,10)",31079,No,46.8,39.7,54.7,32,stable,0.9,-12.2,15.9
"Box Butte County(6,10)",31013,No,46.6,30.7,67.9,6,stable,-13.4,-54.9,66.2
"Richardson County(6,10)",31147,No,46.2,31.3,67.4,7,stable,-9.9,-31,17.5
"Buffalo County(6,10)",31019,No,46.1,37.7,55.7,22,stable,4.1,-4,12.9
"Holt County(6,10)",31089,No,46.1,30.7,67,7,falling,-21.3,-33.1,-7.4
