Incidence Rate Report for New Jersey by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New Jersey(3,8)",34000,No,41.9,41.3,42.4,4346,falling,-1.6,-2.5,-0.7
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Cumberland County(7,8)",34011,No,49.3,44.6,54.3,84,falling,-1.4,-2.2,-0.7
"Salem County(7,8)",34033,No,47.4,40.9,54.6,40,falling,-2.1,-2.9,-1.3
"Burlington County(7,8)",34005,No,46.8,44.3,49.5,256,falling,-2.1,-2.5,-1.8
"Warren County(7,8)",34041,No,46.3,41.2,52,62,falling,-2.9,-3.6,-2.1
"Cape May County(7,8)",34009,No,46.2,41.3,51.6,72,falling,-2.8,-3.3,-2.2
"Camden County(7,8)",34007,No,45.5,43.1,48.1,263,falling,-2.9,-3.8,-2
"Ocean County(7,8)",34029,No,45.5,43.5,47.6,406,falling,-3,-3.5,-2.5
"Gloucester County(7,8)",34015,No,44.1,40.9,47.5,144,falling,-2.2,-2.7,-1.7
"Essex County(7,8)",34013,No,43.3,41.3,45.4,355,stable,0.4,-2.6,3.5
"Sussex County(7,8)",34037,No,42.5,38,47.4,71,falling,-2.9,-3.8,-2
"Atlantic County(7,8)",34001,No,42.1,39.1,45.4,143,falling,-2.7,-3.2,-2.2
"Monmouth County(7,8)",34025,No,41.9,39.9,44.1,326,falling,-3.7,-4.3,-3
"Middlesex County(7,8)",34023,No,41.6,39.7,43.6,375,falling,-2.5,-2.8,-2.2
