Incidence Rate Report for New Jersey by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New Jersey(3,8)",34000,***,134.7,133.2,136.2,6575,falling,-6,-10,-1.8
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Cape May County(7,8)",34009,***,161.5,148.9,175.2,126,falling,-1.5,-2.2,-0.9
"Essex County(7,8)",34013,***,158.8,152.9,164.9,580,falling,-4.8,-7.3,-2.2
"Burlington County(7,8)",34005,***,147.8,141.1,154.6,390,falling,-6.3,-10.3,-2.1
"Mercer County(7,8)",34021,***,147,139.2,155.1,285,falling,-1.7,-2.4,-0.9
"Monmouth County(7,8)",34025,***,144.9,139.3,150.7,544,falling,-1.8,-2.6,-1.1
"Camden County(7,8)",34007,***,141.7,135.3,148.4,385,stable,-0.7,-1.5,0
"Salem County(7,8)",34033,***,138.9,122.8,156.7,57,stable,-1,-2.1,0.1
"Union County(7,8)",34039,***,138.4,132.1,145,378,falling,-6,-9.4,-2.4
"Passaic County(7,8)",34031,***,137.1,130.5,144,342,falling,-1.4,-2.1,-0.7
"Gloucester County(7,8)",34015,***,136.8,128.6,145.5,219,falling,-7.5,-12.5,-2.2
"Morris County(7,8)",34027,***,135.5,129.4,141.8,397,falling,-7.8,-13.9,-1.3
"Bergen County(7,8)",34003,***,131.1,126.8,135.6,714,falling,-4,-5.3,-2.6
"Middlesex County(7,8)",34023,***,127.3,122.4,132.3,542,falling,-3.4,-4.4,-2.5
"Cumberland County(7,8)",34011,***,127.2,116.2,139,103,falling,-1.2,-2.1,-0.3
"Ocean County(7,8)",34029,***,125.8,120.9,130.9,506,falling,-2.9,-3.6,-2.1
"Somerset County(7,8)",34035,***,125.2,117.8,133,228,falling,-2.3,-3.3,-1.3
"Warren County(7,8)",34041,***,125.2,113.1,138.3,84,falling,-8.3,-14.9,-1.1
"Sussex County(7,8)",34037,***,122.5,112.1,133.7,115,falling,-6.8,-10.6,-2.9
"Atlantic County(7,8)",34001,***,120.7,113.2,128.7,199,falling,-3,-3.9,-2
"Hudson County(7,8)",34017,***,111.8,106,117.8,297,falling,-4.4,-5.5,-3.4
"Hunterdon County(7,8)",34019,***,103,92.8,114.1,83,falling,-2.1,-3.1,-1.1
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:05 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
3 Source: SEER November 2017 submission.  State Cancer Registry also receives funding from CDC's National Program of Cancer Registries.,,,,,,,,,,
7 Source: SEER November 2017 submission.,,,,,,,,,,
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2016 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2017 data. ",,,,,,,,,,
