Incidence Rate Report for New Mexico by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New Mexico(3,8)",35000,***,82.4,80.1,84.8,991,falling,-9.2,-11.4,-7
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Chaves County(7,8)",35005,***,119.2,103.5,136.6,42,falling,-3.3,-4.6,-2.1
"Luna County(7,8)",35029,***,118.7,97.3,143.9,22,falling,-1.5,-2.9,-0.1
"Los Alamos County(7,8)",35028,***,118.4,92.4,150.4,15,falling,-2.7,-4.4,-1
"Dona Ana County(7,8)",35013,***,116.6,107.6,126.1,129,falling,-2,-2.7,-1.2
"Curry County(7,8)",35009,***,96.7,79.1,117,22,falling,-3,-4,-2.1
"Sierra County(7,8)",35051,***,88.3,67,118.5,12,stable,-1.6,-3.3,0.2
"Quay County(7,8)",35037,***,82.5,55.7,121.3,6,stable,-1.5,-4.3,1.3
"McKinley County(7,8)",35031,***,81.5,66.7,98.4,23,stable,-0.9,-2.2,0.4
"Torrance County(7,8)",35057,***,80.9,58.9,109.4,10,falling,-3.3,-5.3,-1.2
"Sandoval County(7,8)",35043,***,80.8,71.9,90.5,65,falling,-7.5,-10.3,-4.5
"Bernalillo County(7,8)",35001,***,80.2,76,84.6,292,falling,-9.3,-11.8,-6.7
"Otero County(7,8)",35035,***,80,67.8,94,31,falling,-3.8,-5.1,-2.5
"San Miguel County(7,8)",35047,***,76.4,60,96.4,16,falling,-6.8,-10.3,-3.1
Mora County(7),35033,***,76.3,43,133,3,*,*,*,*
"Lea County(7,8)",35025,***,73.3,60.1,88.5,23,falling,-6.1,-9.4,-2.7
"Taos County(7,8)",35055,***,72.5,58.4,89.7,20,falling,-13.6,-19.6,-7.2
"Grant County(7,8)",35017,***,72.1,57.5,90.1,18,falling,-6.6,-8.1,-5
"Lincoln County(7,8)",35027,***,71.9,54.6,94.4,13,falling,-5.9,-7.2,-4.6
