Incidence Rate Report for New York by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New York(6,10)",36000,***,131.7,130.7,132.7,14076,falling,-6.1,-11.3,-0.6
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Chautauqua County(6,10)",36013,***,204.7,191.3,218.9,180,falling,-15.3,-26.7,-2.2
"Erie County(6,10)",36029,***,161.8,156.9,166.7,883,falling,-9.6,-16.3,-2.2
"Bronx County(6,10)",36005,***,160.6,155.9,165.4,936,falling,-5.8,-10.6,-0.6
"Onondaga County(6,10)",36067,***,152.5,145.8,159.4,412,stable,-7.4,-19.6,6.7
"Franklin County(6,10)",36033,***,152.1,132.8,173.5,48,stable,7.1,-11,28.8
"Rockland County(6,10)",36087,***,150.9,142.7,159.5,259,falling,-11.6,-17.8,-4.9
"Wyoming County(6,10)",36121,***,150.8,129.5,174.8,40,stable,-8.5,-25.1,11.7
"Wayne County(6,10)",36117,***,144.6,131,159.4,87,stable,-12.3,-29.2,8.5
"St. Lawrence County(6,10)",36089,***,143.7,130.8,157.5,96,stable,-8.6,-20,4.3
"Niagara County(6,10)",36063,***,139.4,130.5,148.8,192,stable,-2.4,-6.9,2.3
"Westchester County(6,10)",36119,***,138.7,134.2,143.3,750,stable,-3,-9.3,3.8
"Cattaraugus County(6,10)",36009,***,137.7,123.5,153.1,72,stable,-5.7,-13.1,2.4
"Nassau County(6,10)",36059,***,137.3,133.6,141,1109,stable,-2.7,-7.6,2.4
"Kings County(6,10)",36047,***,136,133,139.2,1559,falling,-7.7,-12.5,-2.6
"Madison County(6,10)",36053,***,131.7,116.8,148.2,60,falling,-11.3,-20.7,-0.8
"Cayuga County(6,10)",36011,***,130.5,116.6,145.8,67,stable,12.4,-17.3,52.9
"Cortland County(6,10)",36023,***,130.5,112.2,151.2,38,stable,-0.7,-9.8,9.4
"Monroe County(6,10)",36055,***,130.2,125.3,135.3,550,stable,-7.7,-16.3,1.9
