Incidence Rate Report for North Dakota by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"North Dakota(6,10)",38000,No,45.7,43.6,47.9,373,stable,-3,-9.3,3.7
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Bowman County(6,10)",38011,No,80.9,48.2,130.6,4,stable,7.7,-53.4,148.8
"Mountrail County(6,10)",38061,No,72.8,50.1,102.3,7,stable,-5.7,-27.1,21.9
"Sargent County(6,10)",38081,No,72.5,41.7,118.7,4,*,*,*,*
"McLean County(6,10)",38055,No,71.2,51.1,97.2,10,stable,-14.7,-50,45.6
"Rolette County(6,10)",38079,No,64.8,46.2,88.1,8,stable,10.3,-39.6,101.7
"Richland County(6,10)",38077,No,60.7,45.9,79,12,stable,-10.1,-30.9,17.1
"LaMoure County(6,10)",38045,No,56.1,34.3,91.1,4,stable,17,-47.8,161.9
"Ransom County(6,10)",38073,No,55.5,31.8,90.5,4,stable,-22.9,-75.2,139.5
"Morton County(6,10)",38059,No,54.3,43.7,66.8,19,stable,-0.1,-28.6,39.7
"Pembina County(6,10)",38067,No,54.2,35.6,80.5,6,stable,-24.9,-44.5,1.6
"McKenzie County(6,10)",38053,No,53.6,33.5,81,5,stable,3.4,-40.9,80.7
"Walsh County(6,10)",38099,No,52.5,37,72.9,9,stable,-0.3,-46.6,86.3
"Stark County(6,10)",38089,No,51,39.8,64.3,15,stable,-4.2,-45.4,68.3
"Dickey County(6,10)",38021,No,50.1,30.9,79.2,4,stable,-22.9,-46.1,10.2
