Incidence Rate Report for Oklahoma by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Oklahoma(6,10)",40000,***,101.1,99.1,103.1,2134,stable,-8.2,-17,1.5
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Jackson County(6,10)",40065,***,133.4,107.6,163.8,19,stable,-2.4,-17.7,15.7
"Oklahoma County(6,10)",40109,***,131.6,126.2,137.2,476,stable,-3.2,-17.3,13.3
"Harper County(6,10)",40059,***,128.7,72.9,214.4,3,*,*,*,*
"Canadian County(6,10)",40017,***,124.5,111.9,138.2,78,falling,-25.4,-42.7,-2.8
"Dewey County(6,10)",40043,***,123.8,76.1,194.1,4,stable,-6.5,-42.7,52.6
"Major County(6,10)",40093,***,116,78.7,167.1,6,stable,-20.1,-47.4,21.4
"Garvin County(6,10)",40049,***,115.2,93.3,141.1,20,falling,-12.2,-21.2,-2.1
"Carter County(6,10)",40019,***,115.2,97.6,135.1,32,stable,-1.2,-12.6,11.7
"Kingfisher County(6,10)",40073,***,114,84.2,151.4,10,stable,-17.1,-46.6,28.7
"Caddo County(6,10)",40015,***,113,91,138.7,19,stable,2.2,-21.3,32.7
"Blaine County(6,10)",40011,***,111.6,78.6,155.6,8,falling,-29.3,-44.9,-9.3
"Tulsa County(6,10)",40143,***,111.3,105.9,116.9,337,stable,-7.2,-17.4,4.2
"Hughes County(6,10)",40063,***,108.8,80,145.2,10,falling,-13.6,-19.1,-7.7
"Woods County(6,10)",40151,***,108.3,72.9,156.2,6,stable,-9.6,-38.3,32.5
"Alfalfa County(6,10)",40003,***,108.2,70.3,162.6,5,stable,2.5,-44.6,89.6
"Garfield County(6,10)",40047,***,108.1,93.2,124.8,38,falling,-13.2,-22.9,-2.2
"Logan County(6,10)",40083,***,107.7,90.6,127.3,29,stable,-9.6,-32.9,21.8
"Greer County(6,10)",40055,***,107.7,66.6,166.2,4,stable,5,-21.7,40.8
"Okmulgee County(6,10)",40111,***,106,88.3,126.4,26,falling,-12,-16.6,-7.1
