Incidence Rate Report for Oregon by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Oregon(6,10)",41000,***,56.2,55.2,57.2,2694,falling,-5,-8.4,-1.5
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Josephine County(6,10)",41033,***,71.6,65.4,78.4,105,falling,-5.6,-10.8,-0.1
"Coos County(6,10)",41011,***,69.4,62.5,77.1,77,stable,-10.1,-22.7,4.5
"Wasco County(6,10)",41065,***,69.4,57.9,82.8,27,stable,-1.6,-33.1,44.9
"Clatsop County(6,10)",41007,***,67.9,57.9,79.2,36,stable,-6.7,-26.6,18.6
"Baker County(6,10)",41001,***,67.7,54.3,84.1,19,stable,-10.3,-41.8,38.2
"Linn County(6,10)",41043,***,66.8,61.1,72.9,104,stable,-7.4,-18.8,5.5
"Columbia County(6,10)",41009,***,66.7,57.8,76.6,43,stable,-4.3,-34.4,39.6
"Yamhill County(6,10)",41071,***,65.4,58.9,72.3,78,stable,-3.8,-17.7,12.6
"Marion County(6,10)",41047,***,64.1,60.4,68,231,stable,-2.1,-14.4,12
"Lincoln County(6,10)",41041,***,63.9,56.3,72.5,56,stable,-8.9,-20,3.6
"Douglas County(6,10)",41019,***,62.1,57.1,67.6,116,stable,-5.8,-15.2,4.6
"Curry County(6,10)",41015,***,61.6,51,74.4,28,stable,-6.7,-17.9,6
"Tillamook County(6,10)",41057,***,60.6,50.4,72.6,27,stable,-6.1,-13.2,1.7
"Jackson County(6,10)",41029,***,60,56.1,64.1,185,stable,-4.4,-8.6,0.1
"Multnomah County(6,10)",41051,***,58.8,56.2,61.4,431,stable,-3.7,-9.7,2.8
"Klamath County(6,10)",41035,***,58.6,51.9,66.1,56,stable,-3.8,-15.6,9.6
"Umatilla County(6,10)",41059,***,55.4,48.5,63.1,48,stable,-4.4,-25.2,22.2
"Polk County(6,10)",41053,***,53.5,47,60.5,52,stable,5.7,-9.6,23.5
"Clackamas County(6,10)",41005,***,52.8,49.9,55.9,253,stable,-1.2,-6.8,4.7
"Lane County(6,10)",41039,***,50.9,48,54,236,stable,-4.5,-11.3,2.8
"Crook County(6,10)",41013,***,49.1,39.4,61,19,falling,-13.4,-24.5,-0.7
"Washington County(6,10)",41067,***,47.8,45.1,50.7,245,stable,-4.6,-11,2.2
"Jefferson County(6,10)",41031,***,47.3,36.6,60.5,14,stable,-3.1,-14.1,9.3
"Hood River County(6,10)",41027,***,46.5,35,60.5,12,stable,3.2,-13.4,22.8
"Morrow County(6,10)",41049,***,46.1,31.3,66,6,falling,-32.2,-35.8,-28.4
"Malheur County(6,10)",41045,***,45.8,36.4,57.1,17,stable,-11.7,-24.6,3.3
"Deschutes County(6,10)",41017,***,42.8,38.9,47,94,stable,-13.6,-33.9,13
"Wallowa County(6,10)",41063,***,42.4,26.7,66.4,5,stable,-17.5,-47.7,30.2
"Union County(6,10)",41061,***,42.3,32.9,53.7,15,stable,1.4,-30.8,48.5
"Benton County(6,10)",41003,***,42,36.2,48.6,40,stable,-12.1,-24.3,2
