Incidence Rate Report for Pennsylvania by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Pennsylvania(6,10)",42000,No,42.6,42.2,43.1,6922,stable,-1.9,-3.9,0.2
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Greene County(6,10)",42059,No,57.4,48,68.2,28,stable,3.8,-15,26.8
"Elk County(6,10)",42047,No,55.2,45.8,66.2,26,stable,5.3,-25.6,48.9
"Clinton County(6,10)",42035,No,54.5,45.4,64.9,27,stable,-0.5,-16.3,18.1
"Potter County(6,10)",42105,No,53.3,41.2,68.3,14,stable,-0.2,-30.4,43.2
"Schuylkill County(6,10)",42107,No,51.6,47.3,56.2,110,stable,-0.5,-10.9,11.1
"Cameron County(6,10)",42023,No,50.7,32.1,80.2,5,stable,-9.2,-33.2,23.4
"Crawford County(6,10)",42039,No,50.3,44.5,56.6,59,stable,-5.8,-21.2,12.7
"Cambria County(6,10)",42021,No,49.1,44.8,53.8,103,stable,-4.5,-17.3,10.2
"Luzerne County(6,10)",42079,No,48.8,45.9,51.9,218,stable,-2.1,-8.5,4.7
"Mercer County(6,10)",42085,No,48.5,43.7,53.7,81,stable,2.6,-7.6,14
"Montour County(6,10)",42093,No,48.1,36,63.1,12,stable,6.2,-28.3,57.6
"Philadelphia County(6,10)",42101,No,47.5,45.9,49,749,stable,-3.3,-6.5,0
"Fayette County(6,10)",42051,No,47.4,43.1,52.1,93,stable,1.3,-9.2,13.1
"Bedford County(6,10)",42009,No,47.2,40.3,55.1,35,stable,-6,-21.3,12.3
"Columbia County(6,10)",42037,No,46.9,40.5,54.3,40,stable,16.2,-9.2,48.7
"Armstrong County(6,10)",42005,No,46.9,40.9,53.6,47,stable,1.6,-18.9,27.3
"Somerset County(6,10)",42111,No,46.7,41.1,52.9,53,falling,-12,-21.1,-1.7
"Blair County(6,10)",42013,No,46.6,42.1,51.6,82,falling,-16.5,-21.2,-11.5
"Washington County(6,10)",42125,No,46.5,43,50.2,137,stable,3.8,-5,13.4
"Clarion County(6,10)",42031,No,45.9,37.9,55.2,24,stable,-11.3,-22.4,1.3
"Butler County(6,10)",42019,No,45.7,41.8,49.8,109,stable,-2.7,-10.3,5.6
"Jefferson County(6,10)",42065,No,45.5,38.4,53.7,30,stable,-3.6,-19.8,15.8
"Franklin County(6,10)",42055,No,45.4,41.3,49.9,91,stable,-6.3,-16,4.6
"Delaware County(6,10)",42045,No,45.3,43,47.7,305,stable,-0.5,-5.1,4.3
"York County(6,10)",42133,No,44.9,42.3,47.5,240,falling,-4.7,-9.1,-0.1
"Clearfield County(6,10)",42033,No,44.3,39,50.2,52,stable,-2,-13.8,11.3
"Venango County(6,10)",42121,No,44.3,37.8,51.7,35,stable,-8.3,-27.7,16.4
"Bradford County(6,10)",42015,No,44.1,37.8,51.3,37,stable,1.1,-6.1,8.8
"Indiana County(6,10)",42063,No,43.3,37.8,49.4,48,stable,1.9,-4.1,8.3
"Cumberland County(6,10)",42041,No,43.3,40,46.8,134,stable,-2.5,-7.5,2.7
"Fulton County(6,10)",42057,No,43.3,31,59.1,9,stable,20.9,-29.9,108.4
"Lycoming County(6,10)",42081,No,43,38.4,48.1,66,stable,-7.6,-24.4,13.1
"McKean County(6,10)",42083,No,43,35.6,51.7,25,stable,0.7,-19.3,25.6
"Westmoreland County(6,10)",42129,No,43,40.5,45.6,237,stable,-2.2,-5.8,1.5
"Wyoming County(6,10)",42131,No,42.3,33.2,53.4,16,stable,13.2,-5.2,35.1
