Incidence Rate Report for Pennsylvania by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Pennsylvania(6,10)",42000,***,64.7,64.2,65.3,10719,falling,-1.4,-2.4,-0.4
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Philadelphia County(6,10)",42101,***,78.7,76.8,80.7,1244,falling,-1.7,-3,-0.4
"Fayette County(6,10)",42051,***,77.2,71.7,83,152,stable,0.6,-12.9,16.2
"Beaver County(6,10)",42007,***,75.4,70.6,80.5,191,stable,-3.9,-12.3,5.4
"Venango County(6,10)",42121,***,73.3,65.1,82.3,61,stable,-4.5,-15,7.3
"Wyoming County(6,10)",42131,***,73,61.2,86.6,29,stable,-1.8,-8.7,5.5
"McKean County(6,10)",42083,***,72.3,62.8,83,43,stable,2.3,-9.2,15.4
"Monroe County(6,10)",42089,***,72.3,67,77.9,146,stable,-0.7,-14.8,15.6
"Greene County(6,10)",42059,***,71.3,61.2,82.8,37,stable,-12.6,-26.3,3.6
"Potter County(6,10)",42105,***,70.8,57.2,87.2,20,stable,-16.2,-31.2,2
"Allegheny County(6,10)",42003,***,70.7,68.9,72.6,1178,stable,-2.1,-7.4,3.5
"Mifflin County(6,10)",42087,***,70.5,61.9,80.2,49,stable,-4.6,-12.4,3.8
"Crawford County(6,10)",42039,***,69.9,63.3,77.1,85,stable,0.5,-14.9,18.7
"Lawrence County(6,10)",42073,***,69.6,63.4,76.4,95,stable,1.5,-13.3,18.8
"Schuylkill County(6,10)",42107,***,69.2,64.2,74.5,147,stable,-2.5,-6.5,1.7
"Bradford County(6,10)",42015,***,68.7,61.2,77,63,stable,-1.2,-11.1,9.9
"Delaware County(6,10)",42045,***,68.3,65.5,71.2,464,stable,1.3,-8.4,12
