Incidence Rate Report for Pennsylvania by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Pennsylvania(6,10)",42000,***,111.1,110,112.2,8725,stable,-7.8,-17,2.5
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Cameron County(6,10)",42023,***,162.7,112.5,234.2,7,stable,-10.5,-29,12.8
"Elk County(6,10)",42047,***,151.3,129.9,175.8,36,stable,-11.6,-30.7,12.8
"Philadelphia County(6,10)",42101,***,147.2,143.1,151.4,1046,stable,-6.9,-14.9,1.9
"Jefferson County(6,10)",42065,***,143.3,125.1,163.6,46,falling,-10.7,-17.1,-3.9
"Sullivan County(6,10)",42113,***,139.4,98.8,197.2,8,stable,0,-20.1,25
"Mercer County(6,10)",42085,***,136.9,125.5,149.2,109,stable,-1.9,-21,21.7
"Delaware County(6,10)",42045,***,135.7,129.8,141.7,425,stable,-7,-21,9.6
"Montour County(6,10)",42093,***,134.3,106.4,167.9,16,stable,-9,-26.1,12.1
"Northampton County(6,10)",42095,***,132.8,125.4,140.7,246,falling,-6.8,-11.7,-1.6
"Montgomery County(6,10)",42091,***,124.9,120.4,129.6,608,stable,-9.2,-18.4,1
"Butler County(6,10)",42019,***,123.4,114.5,132.9,148,stable,-10.2,-29.7,14.6
"Lehigh County(6,10)",42077,***,121.6,114.9,128.7,251,stable,-8.9,-20.7,4.7
"Chester County(6,10)",42029,***,119,113.4,124.8,357,stable,-9.9,-22.9,5.2
"Crawford County(6,10)",42039,***,117.2,105.1,130.5,72,falling,-8.8,-16.7,-0.3
"Venango County(6,10)",42121,***,116.7,101.8,133.4,46,stable,-4.1,-16.5,10.2
"Clearfield County(6,10)",42033,***,115.6,103.3,129.2,66,stable,-2.1,-20.8,21
"Wyoming County(6,10)",42131,***,114.4,94,138.4,24,stable,-8.6,-23.1,8.5
"Bucks County(6,10)",42017,***,114.1,109.4,119,466,stable,-6.2,-18.3,7.6
"Berks County(6,10)",42011,***,114,108,120.3,276,stable,-3.6,-16.9,11.9
"Erie County(6,10)",42049,***,112.9,105.7,120.6,190,falling,-13.3,-24.2,-0.8
"Cambria County(6,10)",42021,***,112.4,103.1,122.4,112,stable,-6.4,-21.9,12.2
"Potter County(6,10)",42105,***,112,88.1,141.6,15,falling,-8.5,-15.2,-1.3
"Warren County(6,10)",42123,***,109.8,93.9,128,35,falling,-22.1,-35.1,-6.5
"Dauphin County(6,10)",42043,***,108.2,100.9,116,172,stable,-5.8,-22.6,14.6
"Centre County(6,10)",42027,***,107.6,97.3,118.7,84,stable,-9.3,-28.5,15
"Armstrong County(6,10)",42005,***,107.5,94.8,121.7,53,stable,2.6,-16.6,26.3
"Monroe County(6,10)",42089,***,106.7,97.6,116.4,110,stable,-3.2,-12.6,7.3
"Washington County(6,10)",42125,***,106.3,98.7,114.3,153,stable,-5.4,-16.8,7.5
"Clarion County(6,10)",42031,***,105.4,88.1,125.5,27,falling,-12.7,-22.8,-1.2
"Carbon County(6,10)",42025,***,105.3,92.5,119.7,50,stable,-10,-21.6,3.3
"Allegheny County(6,10)",42003,***,105.3,102,108.7,795,falling,-8.3,-10.9,-5.6
"Columbia County(6,10)",42037,***,104.3,90.6,119.6,44,stable,-9.2,-24,8.6
"Luzerne County(6,10)",42079,***,104.2,98,110.7,221,stable,-3.5,-17.5,12.8
"Somerset County(6,10)",42111,***,103.4,91.9,116.2,60,stable,-0.6,-18.1,20.6
"Lawrence County(6,10)",42073,***,103.2,92.1,115.4,65,stable,-6.4,-21,10.9
"Northumberland County(6,10)",42097,***,101,90.4,112.7,68,stable,-11.5,-24.8,4.2
"Tioga County(6,10)",42117,***,100.9,85.6,118.6,32,stable,-0.3,-26.4,35
"Adams County(6,10)",42001,***,100.5,90,112.1,68,stable,-2.2,-14.3,11.6
