Incidence Rate Report for South Carolina by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"South Carolina(6,10)",45000,Yes,38.6,37.9,39.4,2167,stable,-0.5,-4,3.1
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Newberry County(6,10)",45071,No,53.1,44.2,63.5,26,stable,2.9,-24.1,39.5
"Orangeburg County(6,10)",45075,No,48.7,42.9,55.2,54,stable,-1.7,-19.6,20.3
"Jasper County(6,10)",45053,No,48.2,37.4,61.2,14,stable,-0.9,-19.8,22.4
"Chester County(6,10)",45023,No,48.1,38.9,58.9,20,stable,-1.4,-12.3,10.9
"Cherokee County(6,10)",45021,No,48.1,40.7,56.5,32,stable,-8.9,-23.7,8.7
"McCormick County(6,10)",45065,No,47.8,32.8,69,8,stable,-12,-27.2,6.4
"Williamsburg County(6,10)",45089,No,46.5,37.5,57.1,20,stable,6.3,-11.5,27.8
"Darlington County(6,10)",45031,No,46.3,39.9,53.6,39,stable,-4.3,-25.9,23.5
"Florence County(6,10)",45041,No,46.2,41.5,51.3,74,stable,-4.3,-11.8,3.9
"Marlboro County(6,10)",45069,No,45.9,35.8,58,15,stable,1.9,-30.4,49.1
"Clarendon County(6,10)",45027,No,45.7,36.9,56.2,21,stable,0.7,-27.7,40.4
"Laurens County(6,10)",45059,No,45.4,38.9,52.6,38,stable,1.4,-1.2,4.1
"Union County(6,10)",45087,No,45.2,35.7,56.5,17,stable,8.5,-14.2,37.2
"Marion County(6,10)",45067,No,45.1,36,56,18,stable,8.8,-4.7,24.3
"Anderson County(6,10)",45007,No,45,41.2,49.1,106,stable,5.9,-2,14.5
"Fairfield County(6,10)",45039,No,44.4,34.2,57,14,stable,2.5,-27.2,44.2
"Lancaster County(6,10)",45057,No,42.4,36.8,48.6,44,stable,6.1,-15.2,32.7
"Dillon County(6,10)",45033,No,42.2,33,53.2,15,stable,9.8,-22.4,55.3
"Sumter County(6,10)",45085,No,42,36.9,47.6,51,stable,-0.8,-5.1,3.6
"Calhoun County(6,10)",45017,No,41.6,29.4,57.6,9,stable,-2.9,-26.8,28.8
"Chesterfield County(6,10)",45025,No,41.5,34.2,50,24,stable,0.4,-24.7,33.9
"Colleton County(6,10)",45029,No,41.3,33.4,50.7,20,stable,-4.2,-25.4,23.1
"Dorchester County(6,10)",45035,No,40.7,36,45.9,58,stable,-6.4,-14.2,2.2
"Abbeville County(6,10)",45001,No,40.6,31.5,51.8,14,stable,0,-21.3,27.1
"Pickens County(6,10)",45077,No,40.5,35.7,45.6,55,stable,-0.2,-14.8,17
"Kershaw County(6,10)",45055,No,40.3,34,47.4,31,stable,-11.1,-25.7,6.3
"Hampton County(6,10)",45049,No,40.2,29.6,53.6,10,stable,-2.3,-13.9,10.8
"Georgetown County(6,10)",45043,Yes,39.9,33.8,46.9,36,stable,-10.4,-28.4,12.1
"Saluda County(6,10)",45081,Yes,39.9,29.8,52.6,11,stable,14.6,-15.8,56.1
"Greenwood County(6,10)",45047,Yes,39.6,33.6,46.4,32,stable,9.2,-5.3,26
