Incidence Rate Report for South Dakota by County,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"South Dakota(6,10)",46000,No,42.6,40.8,44.5,425,stable,-2,-7.5,3.9
"US (SEER+NPCR)(1,10)",0,Yes,39.2,39.1,39.3,139950,falling,-1.7,-2.4,-1
"Hanson County(6,10)",46061,No,104.1,57.1,172.9,3,*,*,*,*
"Aurora County(6,10)",46003,No,97.8,59.3,155.9,4,stable,-2.7,-45.9,75.2
"Kingsbury County(6,10)",46077,No,95.6,64,138.5,7,stable,23.2,-2.8,56
"Douglas County(6,10)",46043,No,88.5,46.3,153.6,3,*,*,*,*
"Dewey County(6,10)",46041,No,80.6,47.5,126.9,4,stable,7.3,-38.8,88.1
"McPherson County(6,10)",46089,No,69.8,37,127.2,3,*,*,*,*
"McCook County(6,10)",46087,No,67.9,44.4,100.9,6,stable,4.9,-27,50.7
"Todd County(6,10)",46121,No,59.4,34,95,4,stable,-7.2,-48.8,68
"Hutchinson County(6,10)",46067,No,56.4,37,83.5,6,stable,-14,-34.5,13
"Brookings County(6,10)",46011,No,56,43.9,70.3,15,stable,12.7,-9,39.7
"Charles Mix County(6,10)",46023,No,53.4,35.7,77.2,6,stable,10.3,-18.3,48.8
"Spink County(6,10)",46115,No,53.1,33.5,81.3,5,stable,27.8,-19.5,102.8
"Union County(6,10)",46127,No,53.1,38.6,71.4,9,stable,-7.1,-16.2,3
"Shannon County(6,10)",46113,No,52.5,34,77.3,5,stable,-11.8,-37.6,24.8
"Butte County(6,10)",46019,No,51.8,36.3,72.4,7,stable,23.5,-20.9,92.6
"Grant County(6,10)",46051,No,51.5,33.5,77,6,stable,15.7,-24.2,76.5
"Minnehaha County(6,10)",46099,No,47.7,43.2,52.6,86,stable,-0.1,-12.1,13.5
"Fall River County(6,10)",46047,No,44.1,29,67.2,6,stable,-12.5,-32.5,13.6
"Davison County(6,10)",46035,No,43.8,32.3,58.1,11,stable,-3.5,-32.9,38.7
"Custer County(6,10)",46033,No,42.2,27.8,63.5,6,stable,4.8,-35.7,70.9
"Day County(6,10)",46037,No,41.1,23,69.6,4,stable,29.2,-41.8,186.8
"Lawrence County(6,10)",46081,No,40.8,31.1,52.9,13,stable,-2.2,-30.8,38.2
"Tripp County(6,10)",46123,Yes,39.5,23.4,65.2,4,*,*,*,*
"Pennington County(6,10)",46103,Yes,39.1,34.2,44.6,48,stable,-0.2,-13.6,15.2
"Yankton County(6,10)",46135,Yes,38.1,28.6,50,11,stable,-3.1,-29,32.4
"Brown County(6,10)",46013,Yes,38,30.5,46.8,19,stable,-11.4,-28.4,9.6
"Meade County(6,10)",46093,Yes,37.3,28.2,48.7,12,stable,-7.9,-19.4,5.3
"Roberts County(6,10)",46109,Yes,36.5,23,55.5,5,stable,-0.5,-33.6,48.8
"Lincoln County(6,10)",46083,Yes,35.2,27.6,44.3,15,stable,-9.8,-30.6,17.3
"Hughes County(6,10)",46065,Yes,35,24.6,48.7,8,stable,-9.2,-49.6,63.7
"Codington County(6,10)",46029,Yes,32.6,24.6,42.6,12,stable,8.2,-15.9,39.1
"Bon Homme County(6,10)",46009,Yes,32.6,18.2,55.1,3,*,*,*,*
"Beadle County(6,10)",46005,Yes,32.6,22.5,45.8,7,stable,-19.8,-41.5,10
"Lake County(6,10)",46079,Yes,32.4,19.9,50,5,stable,19.7,-17.1,72.8
"Turner County(6,10)",46125,Yes,29.5,17.8,47.4,4,stable,11.7,-42.9,118.7
"Bennett County(6,10)",46007,***,* ,*, *,3 or fewer,*,*,*,*
"Brule County(6,10)",46015,***,* ,*, *,3 or fewer,*,*,*,*
"Buffalo County(6,10)",46017,***,* ,*, *,3 or fewer,*,*,*,*
"Campbell County(6,10)",46021,***,* ,*, *,3 or fewer,*,*,*,*
"Clark County(6,10)",46025,***,* ,*, *,3 or fewer,*,*,*,*
"Clay County(6,10)",46027,***,* ,*, *,3 or fewer,*,*,*,*
"Corson County(6,10)",46031,***,* ,*, *,3 or fewer,*,*,*,*
"Deuel County(6,10)",46039,***,* ,*, *,3 or fewer,*,*,*,*
"Edmunds County(6,10)",46045,***,* ,*, *,3 or fewer,*,*,*,*
"Faulk County(6,10)",46049,***,* ,*, *,3 or fewer,*,*,*,*
"Gregory County(6,10)",46053,***,* ,*, *,3 or fewer,*,*,*,*
"Haakon County(6,10)",46055,***,* ,*, *,3 or fewer,*,*,*,*
"Hamlin County(6,10)",46057,***,* ,*, *,3 or fewer,*,*,*,*
"Hand County(6,10)",46059,***,* ,*, *,3 or fewer,*,*,*,*
"Harding County(6,10)",46063,***,* ,*, *,3 or fewer,*,*,*,*
"Hyde County(6,10)",46069,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson County(6,10)",46071,***,* ,*, *,3 or fewer,*,*,*,*
"Jerauld County(6,10)",46073,***,* ,*, *,3 or fewer,*,*,*,*
"Jones County(6,10)",46075,***,* ,*, *,3 or fewer,*,*,*,*
"Lyman County(6,10)",46085,***,* ,*, *,3 or fewer,*,*,*,*
"Marshall County(6,10)",46091,***,* ,*, *,3 or fewer,*,*,*,*
"Mellette County(6,10)",46095,***,* ,*, *,3 or fewer,*,*,*,*
"Miner County(6,10)",46097,***,* ,*, *,3 or fewer,*,*,*,*
"Moody County(6,10)",46101,***,* ,*, *,3 or fewer,*,*,*,*
"Perkins County(6,10)",46105,***,* ,*, *,3 or fewer,*,*,*,*
"Potter County(6,10)",46107,***,* ,*, *,3 or fewer,*,*,*,*
"Sanborn County(6,10)",46111,***,* ,*, *,3 or fewer,*,*,*,*
"Stanley County(6,10)",46117,***,* ,*, *,3 or fewer,*,*,*,*
"Sully County(6,10)",46119,***,* ,*, *,3 or fewer,*,*,*,*
"Walworth County(6,10)",46129,***,* ,*, *,3 or fewer,*,*,*,*
"Ziebach County(6,10)",46137,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:50 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
