Incidence Rate Report for South Dakota by County,,,,,,,,,,
,,,,,,,,,,
"Prostate, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Male, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"South Dakota(6,10)",46000,***,114.6,110.4,119,568,stable,-3.5,-11.9,5.6
"US (SEER+NPCR)(1,10)",0,***,109,108.8,109.2,190639,falling,-7.3,-13,-1.1
"Potter County(6,10)",46107,***,241.8,152,378.8,5,stable,-4.3,-14.4,7
"Miner County(6,10)",46097,***,212.6,125.6,348,4,stable,-8.6,-38.8,36.6
"Stanley County(6,10)",46117,***,201.7,124.9,314.5,4,stable,-11.2,-43.5,39.4
"Dewey County(6,10)",46041,***,191.7,117,294.4,4,stable,-29.6,-71.8,75.7
"Gregory County(6,10)",46053,***,180,118.9,266.2,6,stable,-25.1,-52.4,17.9
"Kingsbury County(6,10)",46077,***,170.7,116.5,245.4,7,stable,-5.1,-35.3,39.2
"Deuel County(6,10)",46039,***,162.9,106,243.8,5,stable,21.2,-1.3,48.9
"Douglas County(6,10)",46043,***,157.5,94.1,257.7,4,stable,-30.3,-61.1,24.6
"Moody County(6,10)",46101,***,156.6,107,223.2,7,rising,24.7,2.5,51.7
"Tripp County(6,10)",46123,***,155.9,107,223.8,7,stable,-3.5,-28.3,29.9
"Hanson County(6,10)",46061,***,153.8,84.5,260.4,3,*,*,*,*
"Davison County(6,10)",46035,***,150.3,120.4,185.7,18,falling,-13.4,-19,-7.4
"Minnehaha County(6,10)",46099,***,142.4,130.9,154.7,122,stable,-4.2,-16.5,10
"Edmunds County(6,10)",46045,***,142.3,90.1,220.1,5,stable,-14.9,-31.5,5.7
"Brule County(6,10)",46015,***,140.7,88.9,214,5,stable,18.4,-20.2,75.5
