Incidence Rate Report for Florida by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Florida(6,10)",12000,***,116,115.2,116.9,15430,stable,-0.3,-1.7,1
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Union County(6,10)",12125,***,178.8,132.2,236.7,10,stable,-1.6,-18,18.2
"Gilchrist County(6,10)",12041,***,138,106.9,176,15,stable,-1.3,-25.3,30.5
"Alachua County(6,10)",12001,***,132.8,123.8,142.3,173,stable,1.7,-8,12.4
"Duval County(6,10)",12031,***,131.4,126.9,136,670,stable,-1.6,-7.6,4.9
"Martin County(6,10)",12085,***,130.9,120.7,141.8,163,stable,1.5,-8.6,12.7
"Nassau County(6,10)",12089,***,130.8,116.9,146.1,71,stable,-3.4,-10.4,4.2
"St. Johns County(6,10)",12109,***,130.4,121.9,139.4,187,stable,-1,-9.4,8.2
"Polk County(6,10)",12105,***,125.7,120.8,130.9,531,stable,3.2,-7.2,14.8
"Pinellas County(6,10)",12103,***,124.2,120.4,128.2,907,stable,0.5,-3.2,4.3
"Lake County(6,10)",12069,***,124.1,117.4,131.1,304,stable,-1.8,-3.8,0.3
"Sarasota County(6,10)",12115,***,123.6,117.5,129.9,445,stable,0.1,-10.4,11.8
"Escambia County(6,10)",12033,***,123,115.8,130.6,234,stable,-2.5,-9,4.4
"Bay County(6,10)",12005,***,122.8,113.4,132.7,136,stable,-4.5,-10,1.4
"Wakulla County(6,10)",12129,***,121.7,98.7,148.8,21,stable,-8.3,-26.7,14.6
"Brevard County(6,10)",12009,***,121.5,116.5,126.7,512,stable,2.7,-3.5,9.3
"Broward County(6,10)",12011,***,121.2,118.3,124.1,1394,stable,-0.5,-1.7,0.8
"Hillsborough County(6,10)",12057,***,121,117.4,124.6,893,stable,1.5,-0.7,3.8
