Incidence Rate Report for Georgia by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Georgia(3,8)",13000,***,64.9,64.2,65.7,6525,falling,-2.2,-3,-1.4
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Crawford County(7,8)",13079,***,111.3,88.9,138.1,18,stable,1.8,-1.3,5
"Miller County(7,8)",13201,***,100,70.8,138.1,8,stable,0.2,-4,4.6
"Heard County(7,8)",13149,***,99.8,77.6,126.7,15,stable,0,-2.7,2.9
"Chattooga County(7,8)",13055,***,94.7,80,111.5,30,stable,0.7,-1.8,3.2
"Bacon County(7,8)",13005,***,94.1,71.5,121.7,12,stable,1.5,-2.2,5.4
"Twiggs County(7,8)",13289,***,93,70.2,121.9,12,stable,-0.2,-3.9,3.6
"Polk County(7,8)",13233,***,92.2,80.5,105.3,45,stable,-0.6,-2.8,1.7
"Gordon County(7,8)",13129,***,90.7,80,102.5,54,stable,0,-1.5,1.5
"Cook County(7,8)",13075,***,89.4,71.5,110.5,18,rising,3.4,0.8,6
Chattahoochee County(7),13053,***,89.2,52.8,139.3,4,*,*,*,*
"Dade County(7,8)",13083,***,89,71.9,109.4,19,stable,0.2,-2.7,3.2
"Haralson County(7,8)",13143,***,89,75.5,104.3,32,stable,-0.1,-2.1,2
"Turner County(7,8)",13287,***,88.2,65.2,117.4,10,stable,-0.1,-3.4,3.3
"Clinch County(7,8)",13065,***,88,61.4,123,8,stable,-0.9,-4.5,2.8
"Colquitt County(7,8)",13071,***,87.7,76.3,100.2,44,stable,0.3,-1.5,2.1
"Murray County(7,8)",13213,***,87.5,75.3,101.2,39,falling,-2.4,-4.5,-0.2
"Worth County(7,8)",13321,***,87.4,72.1,105.3,24,stable,-0.7,-3.6,2.3
"Wilkinson County(7,8)",13319,***,86.8,65.9,113.2,12,stable,-2,-4.5,0.6
"Pierce County(7,8)",13229,***,86.4,69.9,105.7,20,stable,-0.9,-4.4,2.7
"Butts County(7,8)",13035,***,86.1,71,103.6,24,stable,-1.6,-4.6,1.5
"Tattnall County(7,8)",13267,***,85.8,70.6,103.5,23,stable,-1.6,-5.2,2.2
"Irwin County(7,8)",13155,***,85.5,63.8,112.8,11,stable,1.6,-2.5,5.8
"Barrow County(7,8)",13013,***,85.2,75.2,96.2,56,stable,-0.3,-2.5,2
"Tift County(7,8)",13277,***,85.1,73.3,98.4,38,stable,1,-1.9,4
"Monroe County(7,8)",13207,***,84.7,71.1,100.3,29,stable,1,-2,4.2
"Emanuel County(7,8)",13107,***,84.5,69.8,101.5,24,stable,0.2,-2.5,3
"Jackson County(7,8)",13157,***,84.3,74.5,95.2,56,stable,-0.2,-1.6,1.2
"Screven County(7,8)",13251,***,84.2,66,106.2,16,stable,0,-1.9,1.9
"Effingham County(7,8)",13103,***,83.8,72.6,96.3,44,stable,-0.2,-2.4,2.1
"Madison County(7,8)",13195,***,83.8,70.7,98.8,30,stable,-0.6,-2.9,1.8
"Brantley County(7,8)",13025,***,83.7,67,103.5,18,stable,0.2,-2.7,3.3
"Peach County(7,8)",13225,***,83.3,68.8,99.9,24,stable,0.4,-2.4,3.2
"Franklin County(7,8)",13119,***,82.7,68.9,98.7,26,stable,1.4,-0.7,3.6
"Carroll County(7,8)",13045,***,82.5,74.9,90.5,92,stable,-0.1,-0.8,0.7
"Long County(7,8)",13183,***,81.9,59.3,109.8,10,stable,-0.5,-4.3,3.4
"Walker County(7,8)",13295,***,81.6,73.3,90.7,73,falling,-2.8,-4.4,-1.1
"Pickens County(7,8)",13227,***,81.5,69.6,95.2,36,stable,0,-1.5,1.5
"Wilcox County(7,8)",13315,***,81.5,59,110.3,9,stable,-2,-5.2,1.3
"Lamar County(7,8)",13171,***,81.2,64.9,100.7,18,stable,0.6,-2.5,3.9
"Toombs County(7,8)",13279,***,81.2,67.6,96.8,26,stable,-1.2,-4,1.6
"Lee County(7,8)",13177,***,80.7,65.1,98.8,21,stable,1.7,-0.9,4.4
"Bartow County(7,8)",13015,***,80.5,72.9,88.7,86,stable,-1.6,-3.3,0.2
"Atkinson County(7,8)",13003,***,80.3,55,113.4,7,stable,1.5,-2.5,5.7
"Dodge County(7,8)",13091,***,80.2,65.2,97.9,20,stable,-0.5,-4.2,3.4
"Mitchell County(7,8)",13205,***,80.1,65.8,96.9,22,stable,-1.1,-3.7,1.5
"Thomas County(7,8)",13275,***,80.1,70.1,91.3,47,stable,-1.1,-3.6,1.5
"Ware County(7,8)",13299,***,79.8,68.4,92.7,36,stable,0.2,-2,2.5
"Talbot County(7,8)",13263,***,79.7,56.2,111.5,8,stable,2.1,-3,7.4
"Brooks County(7,8)",13027,***,79.6,63.4,99,17,stable,-0.8,-4.3,2.8
"Spalding County(7,8)",13255,***,79.5,70.8,89.1,62,stable,0.1,-1.5,1.7
"Bryan County(7,8)",13029,***,79.3,65,95.7,23,stable,-1.1,-4.9,2.8
"Upson County(7,8)",13293,***,79.2,66.5,93.7,28,stable,0.5,-1.7,2.6
"Bibb County(7,8)",13021,***,78.6,72.7,84.8,137,stable,-0.1,-1.3,1
"Stephens County(7,8)",13257,***,78.5,65.7,93.4,27,stable,0.3,-1.7,2.3
Wheeler County(7),13309,***,78.2,53.1,111.5,7,*,*,*,*
"Candler County(7,8)",13043,***,78,58.8,102.1,12,stable,0.8,-3.4,5.2
"Baker County(7,8)",13007,***,77.9,44.3,129.3,3,stable,0.8,-6.7,8.9
