Incidence Rate Report for Idaho by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Idaho(6,10)",16000,***,122.2,118.9,125.5,1097,stable,1.5,-1.3,4.4
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Owyhee County(6,10)",16073,***,165.5,121.7,220.1,10,stable,-5.8,-41.5,51.5
"Boise County(6,10)",16015,***,161.9,110.8,232.8,8,stable,18.5,-5.7,49
"Latah County(6,10)",16057,***,158.2,131.6,188.5,27,stable,15.8,-11.3,51.2
"Nez Perce County(6,10)",16069,***,143.5,123.5,166.2,40,stable,10,-11.8,37.3
"Kootenai County(6,10)",16055,***,137,126.1,148.5,127,stable,-1.1,-9.5,8
"Ada County(6,10)",16001,***,132.7,125.9,139.8,297,stable,0.6,-7.7,9.8
"Lincoln County(6,10)",16063,***,130.8,73.7,213.8,3,*,*,*,*
"Blaine County(6,10)",16013,***,127.4,99.2,161.4,15,stable,8.4,-34.6,79.8
"Lemhi County(6,10)",16059,***,124.2,84.3,179.6,8,stable,11.7,-15.5,47.6
"Washington County(6,10)",16087,***,123.6,89.4,168.4,10,stable,-2.7,-18.1,15.6
"Canyon County(6,10)",16027,***,121.8,112.2,132,123,stable,7.7,-7.7,25.6
"Twin Falls County(6,10)",16083,***,120.8,106.8,136.2,56,stable,-2.1,-12.5,9.5
"Payette County(6,10)",16075,***,120.7,96,150,17,stable,5.9,-11.9,27.3
"Idaho County(6,10)",16049,***,120.4,92.5,155.4,15,stable,0.3,-19.5,24.9
"Gooding County(6,10)",16047,***,120.4,88.4,160.2,10,stable,-20.2,-48.5,23.7
"Jerome County(6,10)",16053,***,120,92.7,152.8,14,stable,2.4,-8.2,14.3
"Bingham County(6,10)",16011,***,119.1,99.6,141.3,27,stable,11,-15.6,46.1
"Franklin County(6,10)",16041,***,118.7,84.3,162.6,8,stable,0.8,-41,72.4
"Bonner County(6,10)",16017,***,116.6,99,136.9,36,stable,-1.9,-20.6,21.3
"Elmore County(6,10)",16039,***,115.4,89.7,146.1,14,stable,-4.3,-26.4,24.3
"Power County(6,10)",16077,***,113.7,71.9,171.5,5,stable,9.3,-38.6,94.5
"Minidoka County(6,10)",16067,***,113.4,86.7,145.8,13,stable,1.2,-13.5,18.3
"Benewah County(6,10)",16009,***,113.3,77,162.4,7,stable,-10.9,-39.6,31.4
"Valley County(6,10)",16085,***,113.1,78.4,160,8,stable,-0.9,-12.2,11.8
"Gem County(6,10)",16045,***,112.7,86.5,145.1,14,stable,9.6,-14.3,40.3
