Incidence Rate Report for Idaho by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Idaho(6,10)",16000,***,50.7,49.2,52.3,898,stable,-1.4,-4.5,1.8
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Shoshone County(6,10)",16079,***,94.7,76.7,116.5,20,falling,-9.6,-16.1,-2.7
"Benewah County(6,10)",16009,***,76.7,56.7,102.5,11,stable,1.6,-30.7,49.1
"Elmore County(6,10)",16039,***,70.9,56.6,87.6,17,stable,-14.4,-31,6.2
"Clearwater County(6,10)",16035,***,64.4,47.8,87.1,10,stable,5,-16.4,31.8
"Nez Perce County(6,10)",16069,***,63,54,73.3,36,stable,-2,-19.2,18.9
"Gooding County(6,10)",16047,***,62.6,47.5,81.3,12,stable,-7.6,-29.5,21.1
"Adams County(6,10)",16003,***,60.7,36.5,100.6,4,falling,-37.8,-58.8,-6
"Kootenai County(6,10)",16055,***,60.5,55.5,65.8,111,stable,1.3,-6.2,9.4
"Lewis County(6,10)",16061,***,60,36.9,97,4,stable,4.7,-44.3,96.8
"Boise County(6,10)",16015,***,59.2,39.1,88.7,7,stable,-7.6,-36.8,35
"Washington County(6,10)",16087,***,58,42.5,78.6,10,stable,-4.6,-25.3,21.8
"Canyon County(6,10)",16027,***,57.5,52.7,62.6,109,stable,1.2,-8.7,12.2
"Payette County(6,10)",16075,***,57.4,45.7,71.5,17,stable,-8.5,-22.5,7.9
"Latah County(6,10)",16057,***,55.7,45,68.2,20,stable,-6.6,-13.8,1.1
"Gem County(6,10)",16045,***,55.6,43.6,70.6,15,stable,3,-20.6,33.5
"Bonner County(6,10)",16017,***,54.6,46.6,63.9,35,stable,-0.5,-3.8,2.9
"Jerome County(6,10)",16053,***,52.9,40,68.6,12,stable,15.9,-2,37.1
"Ada County(6,10)",16001,***,52.3,49.1,55.6,210,stable,0.6,-8.8,10.9
"Idaho County(6,10)",16049,***,50.9,39.6,65.3,14,stable,-5.2,-12.7,2.9
"Lemhi County(6,10)",16059,***,47.8,33.3,69,7,stable,4.4,-32.9,62.3
"Twin Falls County(6,10)",16083,***,47.7,41.5,54.6,44,stable,-4.2,-17,10.7
"Minidoka County(6,10)",16067,***,46.9,35.1,61.4,11,stable,-10.7,-35.5,23.6
"Boundary County(6,10)",16021,***,45.3,31.7,63.7,8,stable,8.1,-25.9,57.5
"Power County(6,10)",16077,***,44.6,27,69.8,4,stable,5.3,-6,17.8
"Valley County(6,10)",16085,***,42,28.5,61.3,7,stable,6.5,-29.9,61.8
"Fremont County(6,10)",16043,***,41.7,28.5,59.1,7,stable,-10,-36.3,27.2
"Owyhee County(6,10)",16073,***,40.8,27,59.6,6,stable,-6.4,-45.7,61.6
"Bannock County(6,10)",16005,***,40.5,34.5,47.2,34,falling,-11.4,-21.2,-0.4
"Cassia County(6,10)",16031,***,38.9,28.5,51.9,9,stable,-8.4,-32.4,24
"Bonneville County(6,10)",16019,***,35.7,30.7,41.3,37,stable,-0.2,-15.7,18.1
"Jefferson County(6,10)",16051,***,34.8,24.8,47.3,8,stable,7.2,-20,43.8
"Bingham County(6,10)",16011,***,32.2,25.3,40.5,15,stable,-6.8,-28.3,21
"Blaine County(6,10)",16013,***,29.7,20.4,42,7,stable,10.3,-31.5,77.5
"Bear Lake County(6,10)",16007,***,* ,*, *,3 or fewer,*,*,*,*
"Butte County(6,10)",16023,***,* ,*, *,3 or fewer,*,*,*,*
"Camas County(6,10)",16025,***,* ,*, *,3 or fewer,*,*,*,*
"Caribou County(6,10)",16029,***,* ,*, *,3 or fewer,*,*,*,*
"Clark County(6,10)",16033,***,* ,*, *,3 or fewer,*,*,*,*
"Custer County(6,10)",16037,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin County(6,10)",16041,***,* ,*, *,3 or fewer,*,*,*,*
"Lincoln County(6,10)",16063,***,* ,*, *,3 or fewer,*,*,*,*
"Madison County(6,10)",16065,***,* ,*, *,3 or fewer,*,*,*,*
"Oneida County(6,10)",16071,***,* ,*, *,3 or fewer,*,*,*,*
"Teton County(6,10)",16081,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:49 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
