Incidence Rate Report for Indiana by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Indiana(6,10)",18000,***,121.7,120.2,123.3,4735,stable,0.7,-0.9,2.4
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Tipton County(6,10)",18159,***,146.4,114.7,185.1,16,stable,0.9,-18.9,25.4
"Rush County(6,10)",18139,***,145.3,113.8,183.2,16,stable,-2,-22.3,23.6
"Knox County(6,10)",18083,***,142.5,121.7,166.2,36,stable,3.6,-14,24.7
"Morgan County(6,10)",18109,***,141,125.1,158.4,60,stable,5.8,-19.5,39
"Hamilton County(6,10)",18057,***,140.9,132.4,149.8,216,rising,6.6,1.5,11.9
"Warrick County(6,10)",18173,***,137.2,120.8,155.4,54,stable,-1.4,-17.6,17.9
"Boone County(6,10)",18011,***,136,118.9,155,47,stable,3.3,-6.7,14.2
"Newton County(6,10)",18111,***,135.8,102.4,177.3,12,stable,-10.6,-25.6,7.3
"Warren County(6,10)",18171,***,135.8,97,186.9,8,stable,-0.9,-38.3,59.4
"Hendricks County(6,10)",18063,***,135.4,124.4,147.1,115,stable,0.1,-9.3,10.4
"Shelby County(6,10)",18145,***,134.7,115.7,156.1,38,stable,2.1,-17.5,26.5
"Floyd County(6,10)",18043,***,134.2,119.5,150.4,64,stable,2.4,-1.8,6.9
"Orange County(6,10)",18117,***,133.7,106.1,166.8,17,stable,12.6,-18.2,55
"Fountain County(6,10)",18045,***,133.3,104.2,168.6,16,stable,12.4,-17.9,53.7
"Hancock County(6,10)",18059,***,131.5,116.4,148.1,58,stable,3.2,-4.6,11.7
"Lake County(6,10)",18089,***,130.8,124.9,136.8,395,stable,-2.4,-10.6,6.5
"Marion County(6,10)",18097,***,130.7,126.1,135.3,653,stable,1.9,-2.7,6.8
"Vigo County(6,10)",18167,***,130.6,117.7,144.6,81,stable,-1.6,-15.5,14.7
"Dearborn County(6,10)",18029,***,130.1,112.1,150.2,40,stable,1.3,-7.3,10.6
"Blackford County(6,10)",18009,***,127.1,93.9,169.1,11,stable,7.2,-26.6,56.4
"Perry County(6,10)",18123,***,126.3,98.6,160,16,stable,-12.8,-29.7,8
"Spencer County(6,10)",18147,***,125.8,99.8,157,17,stable,0.9,-37.2,62.2
"Bartholomew County(6,10)",18005,***,125.8,111.6,141.2,60,stable,-4.1,-9.1,1.3
"Howard County(6,10)",18067,***,124.8,111.6,139.3,70,stable,4.5,-10.3,21.7
"Porter County(6,10)",18127,***,124.6,114.9,135,127,stable,-4.1,-15.4,8.7
"Huntington County(6,10)",18069,***,124,104,147,29,stable,-4.3,-33.4,37.4
"Pike County(6,10)",18125,***,123.9,91.8,164.6,11,stable,-3.6,-36.3,45.9
"Clark County(6,10)",18019,***,123.9,112.3,136.4,88,stable,1.1,-13.1,17.7
"Jay County(6,10)",18075,***,123.7,97.9,154.4,17,stable,0.8,-22.2,30.7
"Allen County(6,10)",18003,***,123.3,116.4,130.5,252,stable,-1.4,-6.2,3.7
"Putnam County(6,10)",18133,***,123.2,102.5,147.1,27,stable,2.3,-3.4,8.4
"Clay County(6,10)",18021,***,123,99.8,150.2,21,stable,0.1,-20.6,26.3
"Cass County(6,10)",18017,***,122.4,102.9,144.7,29,stable,-1.6,-26.8,32.2
"Kosciusko County(6,10)",18085,***,122.2,108,138,56,stable,1.2,-25.1,36.7
"Pulaski County(6,10)",18131,***,122.2,91.6,160.9,11,stable,-4.6,-40.5,52.8
"Posey County(6,10)",18129,***,122.1,98.7,149.7,20,stable,-2.7,-19.1,17
"Montgomery County(6,10)",18107,***,121.4,101.8,143.9,29,stable,5.3,-5.8,17.7
"Wells County(6,10)",18179,***,120.8,98.3,147.3,22,stable,0.1,-4.1,4.5
"Gibson County(6,10)",18051,***,120.7,100.2,144.4,26,stable,-2.5,-12.2,8.2
"Monroe County(6,10)",18105,***,120.4,108.6,133.2,81,stable,2.1,-14.8,22.3
"Johnson County(6,10)",18081,***,119.8,109.3,131,100,stable,3.4,-3,10.3
"Madison County(6,10)",18095,***,119.7,109,131.3,99,stable,4.3,-2.9,12.1
"Jackson County(6,10)",18071,***,119.7,101.2,140.7,31,stable,-4.3,-21.4,16.5
"Tippecanoe County(6,10)",18157,***,119,108.4,130.3,97,stable,-1.7,-6.7,3.5
"St. Joseph County(6,10)",18141,***,118,110.3,126.1,188,stable,1.5,-7,10.8
"Jasper County(6,10)",18073,***,117.9,97,142.1,24,stable,-6.5,-22.2,12.3
"Harrison County(6,10)",18061,***,117.5,98.7,139,30,stable,0.6,-23.8,32.8
"Vanderburgh County(6,10)",18163,***,117.2,108,127,130,stable,12.1,-1,27
"Grant County(6,10)",18053,***,116.3,102.2,131.8,54,stable,0.9,-16.9,22.5
"Crawford County(6,10)",18025,***,115.3,81.2,160,8,stable,2.5,-11.9,19.3
"Wayne County(6,10)",18177,***,115.1,100.9,130.8,52,stable,-4.4,-19.6,13.6
"Dubois County(6,10)",18037,***,114.8,96.5,135.6,30,stable,11.3,-8.6,35.4
"Franklin County(6,10)",18047,***,114.5,90.8,143,17,stable,-1.4,-21,23.1
"LaPorte County(6,10)",18091,***,112.3,101.2,124.5,79,stable,1.8,-23.7,35.8
"Noble County(6,10)",18113,***,112.3,94.8,132.2,31,stable,9.1,-18,45
"Whitley County(6,10)",18183,***,112.3,92.6,135.2,25,stable,-3.8,-16.2,10.5
"Randolph County(6,10)",18135,***,111.9,90,137.9,19,stable,-6.6,-24.5,15.6
"Jennings County(6,10)",18079,***,111,89.7,136.2,20,stable,3.6,-19.7,33.7
"LaGrange County(6,10)",18087,***,111,90,135.3,20,stable,-2.6,-7.3,2.4
"Adams County(6,10)",18001,***,110.3,89.7,134.2,22,stable,-2.6,-15.8,12.6
"Elkhart County(6,10)",18039,***,109.2,100.5,118.5,120,stable,-3.1,-11.2,5.6
"Parke County(6,10)",18121,***,109,82.9,141.2,12,stable,8.8,-4.6,24.1
"Jefferson County(6,10)",18077,***,108.2,89,130.5,23,stable,14.8,-11.1,48.2
"Fulton County(6,10)",18049,***,107.7,84,136.7,15,stable,-3.7,-32.7,37.7
"Delaware County(6,10)",18035,***,107.4,96.4,119.5,75,stable,3.2,-9,17.1
"Clinton County(6,10)",18023,***,107,87.2,130.1,22,falling,-16.6,-21.9,-11
"Greene County(6,10)",18055,***,106.8,88.4,128.3,25,stable,1.8,-17.8,26.2
"Sullivan County(6,10)",18153,***,105.7,82.1,134.8,15,stable,0.9,-18.8,25.2
"DeKalb County(6,10)",18033,***,104.7,87.5,124.5,27,stable,-14,-46,37.1
"Lawrence County(6,10)",18093,***,104.3,88.5,122.4,33,stable,-1.5,-19.3,20.3
"Henry County(6,10)",18065,***,103.6,87.9,121.5,34,stable,12.2,-11.3,41.8
