Incidence Rate Report for Mississippi by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Mississippi(6,10)",28000,***,75,73.7,76.3,2554,stable,-0.9,-3,1.3
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Lawrence County(6,10)",28077,***,102.2,80.6,128,16,stable,6.2,-23.1,46.8
"Yalobusha County(6,10)",28161,***,101.7,81.6,126,18,stable,-7.1,-22.2,10.9
"Yazoo County(6,10)",28163,***,97.9,82.2,115.8,28,stable,-2.7,-23.3,23.6
"Simpson County(6,10)",28127,***,90.5,76.3,106.7,30,stable,-6.5,-24.7,16.1
"Tallahatchie County(6,10)",28135,***,90.2,70.6,113.8,15,stable,-0.7,-22.1,26.5
"Lee County(6,10)",28081,***,90,81.6,99,86,stable,-3.6,-14.5,8.8
"Tishomingo County(6,10)",28141,***,89.5,74.4,107.1,26,stable,10.9,-10.6,37.5
"Holmes County(6,10)",28051,***,89.3,71.7,110,18,stable,-8.8,-31.7,21.7
"Itawamba County(6,10)",28057,***,88.8,74.5,105.4,28,stable,2.8,-21.7,34.9
"Scott County(6,10)",28123,***,88.6,74.4,104.9,28,stable,-0.3,-8,8.1
"Claiborne County(6,10)",28021,***,88.5,64.8,118.5,10,stable,6.4,-24.8,50.5
"Covington County(6,10)",28031,***,87.7,72.1,106,22,stable,-0.4,-8.9,8.9
"Marshall County(6,10)",28093,***,87.5,75.4,101.2,39,stable,5.3,-7.1,19.4
"Tate County(6,10)",28137,***,86.9,72.7,103.2,28,falling,-8,-13.6,-2.1
"Harrison County(6,10)",28047,***,86.6,81,92.5,185,stable,-0.3,-12.7,13.9
"Prentiss County(6,10)",28117,***,85.8,72,101.7,28,stable,1.8,-16.2,23.6
"Leake County(6,10)",28079,***,85,70,102.5,23,stable,4.1,-24.7,43.9
"Panola County(6,10)",28107,***,84.7,72.1,98.8,33,stable,-0.3,-18.2,21.5
"Copiah County(6,10)",28029,***,84.5,71.3,99.6,30,stable,3,-9.2,16.9
"Coahoma County(6,10)",28027,***,83.6,68.7,100.8,23,stable,-5.4,-28.1,24.5
"Forrest County(6,10)",28035,***,83.4,74.3,93.2,63,stable,-1.4,-12.1,10.6
"Washington County(6,10)",28151,***,83.3,72.7,95.1,47,stable,-3.3,-12.2,6.6
"Tippah County(6,10)",28139,***,83.2,68.5,100.3,23,stable,13.8,-3.3,33.9
"Grenada County(6,10)",28043,***,83.1,68.1,100.5,22,stable,-10,-19.6,0.7
"Pearl River County(6,10)",28109,***,82.4,73,92.7,58,stable,-2.2,-10.8,7.3
"Marion County(6,10)",28091,***,82.1,68.7,97.4,27,stable,4.1,-2.5,11.2
"Webster County(6,10)",28155,***,80.8,60.4,106.4,11,stable,-8.5,-19.9,4.4
"Hancock County(6,10)",28045,***,80.5,70.6,91.6,49,stable,8.8,-9.1,30.1
"Chickasaw County(6,10)",28017,***,80.5,64.2,99.9,17,stable,7.1,-20.6,44.4
"Union County(6,10)",28145,***,80.1,66.8,95.4,26,stable,13.1,-0.7,28.7
"DeSoto County(6,10)",28033,***,78.1,72,84.6,126,stable,-2.5,-15.2,12.2
"Jasper County(6,10)",28061,***,77.4,62.1,95.8,18,stable,0.4,-20,26
"Monroe County(6,10)",28095,***,77.4,66.7,89.6,38,stable,2,-15.1,22.5
"Wilkinson County(6,10)",28157,***,77.4,56,104.6,9,stable,2.2,-29.3,47.9
"Tunica County(6,10)",28143,***,77.3,54.1,107,8,stable,3.4,-29.4,51.3
"Winston County(6,10)",28159,***,77.1,62.1,94.9,19,stable,-7.1,-22.8,11.7
"Jackson County(6,10)",28059,***,76.3,70.3,82.8,121,stable,4.9,-4.5,15.3
"Pontotoc County(6,10)",28115,***,76.1,63.7,90.5,27,falling,-11,-14.5,-7.4
"Leflore County(6,10)",28083,***,75.5,62.4,90.7,24,stable,-15.5,-31,3.6
"Stone County(6,10)",28131,***,75.2,59.1,94.4,16,stable,6.3,-0.9,14
"Pike County(6,10)",28113,***,74.5,64,86.3,37,stable,-6.2,-13.9,2.3
"Carroll County(6,10)",28015,***,74.3,56.4,97,12,stable,-7.8,-31.2,23.6
"Warren County(6,10)",28149,***,73.4,63.6,84.3,42,stable,4.2,-6.9,16.7
"Jefferson County(6,10)",28063,***,72.8,49.1,104.4,6,stable,-1.6,-39,58.8
"Hinds County(6,10)",28049,***,72.4,67.6,77.4,178,stable,-2.2,-10.5,6.9
"Calhoun County(6,10)",28013,***,72.1,56,91.7,14,stable,-3.3,-19,15.3
"Clay County(6,10)",28025,***,71.7,57.6,88.4,19,stable,-4.6,-21.8,16.3
"Bolivar County(6,10)",28011,***,71.5,59.7,85.2,27,stable,-3.4,-23.2,21.4
"Alcorn County(6,10)",28003,***,71.1,60.8,82.8,35,stable,3,-8.6,16.1
"Clarke County(6,10)",28023,***,70.5,55.8,88.2,16,stable,-16.2,-44.7,27
"George County(6,10)",28039,***,70.1,56,86.8,18,stable,0.6,-14.4,18.3
"Perry County(6,10)",28111,***,69.9,52.7,91.4,11,stable,-13.4,-26.3,1.8
"Rankin County(6,10)",28121,***,69.6,63.8,75.9,109,stable,-7.2,-16.1,2.8
"Jefferson Davis County(6,10)",28065,***,68.7,51.8,90,12,stable,-5.8,-37.7,42.6
"Lincoln County(6,10)",28085,***,68.2,57.3,80.6,29,rising,12,5.8,18.6
"Attala County(6,10)",28007,***,67.7,54.4,83.6,18,stable,18.7,-9.3,55.2
"Humphreys County(6,10)",28053,***,66.9,46.3,94,7,stable,27.3,-12.2,84.6
"Jones County(6,10)",28067,***,66.2,58.5,74.7,55,stable,2.6,-3.9,9.6
"Lauderdale County(6,10)",28075,***,66,58.8,73.8,63,stable,-6,-20.5,11.1
"Adams County(6,10)",28001,***,65.5,54.9,77.8,28,stable,-6.4,-27,19.9
"Lowndes County(6,10)",28087,***,64.6,56.2,73.9,44,stable,3.7,-11,20.7
"Benton County(6,10)",28009,***,64.6,45.5,89.9,8,stable,3.8,-25.6,44.7
"Newton County(6,10)",28101,***,64.4,51.4,79.8,17,stable,12,-14.7,47
"Sunflower County(6,10)",28133,***,62.9,50,78,17,stable,-0.1,-19.8,24.5
"Madison County(6,10)",28089,***,62.5,55.5,70.2,61,stable,-5.7,-12.9,2.2
"Neshoba County(6,10)",28099,***,62.3,50.9,75.6,21,stable,-1.5,-26.3,31.6
"Wayne County(6,10)",28153,***,62,48.8,77.8,16,stable,-4.7,-26.5,23.5
"Lafayette County(6,10)",28071,***,61.9,52.1,73,29,falling,-10.3,-19.5,-0.1
"Montgomery County(6,10)",28097,***,61.8,44.9,83.7,9,stable,9.4,-27.2,64.3
"Kemper County(6,10)",28069,***,60.8,43.5,83.3,8,stable,-0.1,-7,7.4
"Noxubee County(6,10)",28103,***,60.3,43.1,82.5,8,stable,10.5,-22.2,56.9
"Greene County(6,10)",28041,***,59.5,43.1,80.3,9,stable,-1.5,-16.3,15.8
"Lamar County(6,10)",28073,***,57.5,48.8,67.2,32,stable,-5.8,-25.3,18.7
"Choctaw County(6,10)",28019,***,56,38.9,79.3,7,stable,23.6,-19.6,90
"Quitman County(6,10)",28119,***,55,36,81.3,5,stable,-10.6,-38.2,29.5
"Amite County(6,10)",28005,***,53.3,40,70.4,11,stable,10.3,-35,87
"Smith County(6,10)",28129,***,52.2,39.4,68.2,11,stable,-2.8,-18.9,16.4
"Oktibbeha County(6,10)",28105,***,52,42.5,63,21,stable,0.8,-13.4,17.3
"Franklin County(6,10)",28037,***,50.8,33.7,74.7,6,stable,-8.3,-28.5,17.7
"Walthall County(6,10)",28147,***,48.3,35.4,64.8,10,stable,-0.7,-24.8,31.1
"Issaquena County(6,10)",28055,***,* ,*, *,3 or fewer,*,*,*,*
"Sharkey County(6,10)",28125,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:05 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission.,,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
,,,,,,,,,,
"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. ",,,,,,,,,,
,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,
,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,
