Incidence Rate Report for Montana by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Montana(6,10)",30000,***,123.2,119.2,127.3,790,stable,1.1,-6.3,9.1
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
"Fallon County(6,10)",30025,***,192.4,107.8,318.5,4,stable,26.4,-19.6,98.7
"Teton County(6,10)",30099,***,165,112,236.3,7,stable,-14.7,-57.2,69.9
"Richland County(6,10)",30083,***,163.1,120.4,216.6,10,rising,12.2,3.6,21.4
"Sweet Grass County(6,10)",30097,***,155.4,88.1,257.9,4,stable,-11.8,-45.8,43.6
"Rosebud County(6,10)",30087,***,154.3,108,213.9,8,stable,24.6,-23.8,103.7
"Chouteau County(6,10)",30015,***,147.1,97.7,215.5,6,stable,-11.3,-43.8,39.8
"Toole County(6,10)",30101,***,144,89.5,223.3,5,*,*,*,*
"Park County(6,10)",30067,***,139.5,109.5,176.3,16,stable,-8.5,-33.9,26.7
"Dawson County(6,10)",30021,***,139.2,100.2,189.9,9,stable,3.7,-21,36.2
"Sanders County(6,10)",30089,***,138.7,105.4,181.7,14,stable,1.4,-25.2,37.4
"Cascade County(6,10)",30013,***,137.5,122.9,153.4,70,stable,-0.5,-6.4,5.8
"Pondera County(6,10)",30073,***,136.5,91.2,198.8,6,stable,-2.1,-29.8,36.4
"Yellowstone County(6,10)",30111,***,134,123.3,145.3,126,stable,11.4,-0.4,24.8
"Flathead County(6,10)",30029,***,129.2,116.2,143.3,80,stable,0.2,-5.5,6.3
"Sheridan County(6,10)",30091,***,129,69,224,3,*,*,*,*
"Blaine County(6,10)",30005,***,128.8,82.5,192.8,5,stable,-11,-29.8,12.7
"Gallatin County(6,10)",30031,***,127.6,112.9,143.8,58,stable,-1.3,-19,20.2
"Hill County(6,10)",30041,***,125,94.2,162.9,12,falling,-16.1,-28.9,-1
"Missoula County(6,10)",30063,***,120.6,108,134.2,72,stable,-3.2,-19.6,16.5
"Jefferson County(6,10)",30043,***,118.7,86.2,161.3,10,stable,10.5,-21.9,56.5
"Lake County(6,10)",30047,***,116,95,140.7,24,stable,-4.6,-11.9,3.4
"Stillwater County(6,10)",30095,***,114.9,80.2,162,8,stable,11,-38.5,100.5
"Broadwater County(6,10)",30007,***,114.9,72.6,177.1,5,stable,14.8,-32.6,95.6
"Lewis and Clark County(6,10)",30049,***,114.2,99.4,130.7,47,rising,12.6,4.2,21.6
"Big Horn County(6,10)",30003,***,112.9,77.8,158.1,7,stable,-29.2,-59.3,23.4
"Beaverhead County(6,10)",30001,***,112.5,77.3,160.2,7,stable,9.6,-23.8,57.8
"Carbon County(6,10)",30009,***,112.5,79.9,156.3,9,stable,1.1,-26,38.1
"Deer Lodge County(6,10)",30023,***,112.2,79.8,156.7,8,stable,-8.2,-53,79.5
"Glacier County(6,10)",30035,***,110.7,76.7,154.2,7,stable,20.1,-4.4,50.9
"Fergus County(6,10)",30027,***,110.1,80.9,148.5,11,falling,-21.6,-35.7,-4.3
"Ravalli County(6,10)",30081,***,109.8,92.9,129.3,35,stable,-12,-39.5,28
"Valley County(6,10)",30105,***,109.5,71.6,162.3,6,stable,2.2,-38.3,69.2
"Madison County(6,10)",30057,***,109.4,73.7,160.6,7,stable,-2.4,-42.3,65.2
"Lincoln County(6,10)",30053,***,108.1,84.3,137.5,17,stable,3.9,-26.7,47.2
"Silver Bow County(6,10)",30093,***,103.4,84.8,125.1,24,stable,-5.4,-24.9,19.3
"Powell County(6,10)",30077,***,103,56.6,173.7,3,*,*,*,*
"Custer County(6,10)",30017,***,102.3,72.9,140.8,9,stable,12,-2.4,28.7
