Incidence Rate Report for New Jersey by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New Jersey(3,8)",34000,***,57.3,56.7,58,5940,falling,-2.2,-2.8,-1.5
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Cape May County(7,8)",34009,***,79.3,73.2,85.9,131,stable,-0.2,-0.7,0.2
"Salem County(7,8)",34033,***,76.5,68.3,85.5,66,stable,-0.6,-1.3,0.1
"Gloucester County(7,8)",34015,***,76,71.8,80.5,249,falling,-0.5,-0.9,-0.1
"Camden County(7,8)",34007,***,71.4,68.3,74.6,415,falling,-0.6,-0.9,-0.4
"Cumberland County(7,8)",34011,***,70.9,65.3,76.9,122,falling,-2.7,-5.3,-0.1
"Ocean County(7,8)",34029,***,70.3,67.8,72.8,647,falling,-1.6,-2.2,-1
"Atlantic County(7,8)",34001,***,68.2,64.2,72.3,232,falling,-2.8,-4.6,-0.9
"Warren County(7,8)",34041,***,63.4,57.5,69.9,87,falling,-1,-1.6,-0.3
"Burlington County(7,8)",34005,***,63.1,60.1,66.2,344,falling,-0.9,-1.2,-0.6
"Sussex County(7,8)",34037,***,62.4,57,68.1,109,falling,-1.1,-1.6,-0.6
"Monmouth County(7,8)",34025,***,61.6,59.1,64.2,478,falling,-2.5,-4.3,-0.7
"Mercer County(7,8)",34021,***,58.9,55.6,62.4,242,falling,-1,-1.4,-0.7
"Middlesex County(7,8)",34023,***,52.3,50.2,54.5,466,falling,-1.6,-1.9,-1.3
"Hunterdon County(7,8)",34019,***,52.1,46.9,57.7,80,falling,-1.5,-2.2,-0.8
"Bergen County(7,8)",34003,***,50.9,49.1,52.8,596,falling,-1.3,-1.5,-1
"Passaic County(7,8)",34031,***,49.6,46.9,52.4,266,stable,-5.7,-11.3,0.4
"Essex County(7,8)",34013,***,48.7,46.5,51,392,falling,-2.4,-2.9,-1.9
"Morris County(7,8)",34027,***,48,45.5,50.6,291,falling,-1.5,-1.8,-1.1
"Union County(7,8)",34039,***,47.5,45,50.1,275,falling,-1.6,-2,-1.2
"Somerset County(7,8)",34035,***,47.1,44,50.4,177,falling,-1.2,-1.7,-0.8
"Hudson County(7,8)",34017,***,46.3,43.8,48.9,274,falling,-2,-2.3,-1.7
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 11:09 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
