Incidence Rate Report for New Mexico by County,,,,,,,,,,
,,,,,,,,,,
"Breast, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New Mexico(3,8)",35000,***,112.4,109.7,115.2,1410,stable,0.1,-0.5,0.7
"US (SEER+NPCR)(1,10)",0,***,124.7,124.4,124.9,234445,stable,0.2,-0.2,0.6
Guadalupe County(7),35019,***,155.4,92.7,247.6,4,*,*,*,*
"Los Alamos County(7,8)",35028,***,154.8,123.9,191.9,19,stable,-0.9,-2.4,0.7
"Torrance County(7,8)",35057,***,149.8,114.6,192.8,14,rising,2.6,0.2,5.1
"Quay County(7,8)",35037,***,140.7,99.7,194.5,9,stable,2,0,4.1
Catron County(7),35003,***,136.3,66.4,255.8,4,*,*,*,*
"Bernalillo County(7,8)",35001,***,127.9,122.8,133.1,507,stable,-3.5,-7.9,1.2
"Sandoval County(7,8)",35043,***,127.6,116.7,139.2,109,stable,0,-0.7,0.8
"Santa Fe County(7,8)",35049,***,119.4,109.9,129.7,131,falling,-0.6,-1.2,-0.1
"Taos County(7,8)",35055,***,117.5,98,140.3,29,stable,0.2,-1.3,1.8
"Colfax County(7,8)",35007,***,114.6,82,156.7,10,stable,-0.5,-2.6,1.7
Hidalgo County(7),35023,***,113.9,68.2,183.1,4,*,*,*,*
"Valencia County(7,8)",35061,***,111.9,98.4,126.8,53,stable,0.1,-0.6,0.8
"Socorro County(7,8)",35053,***,110.5,82.8,144.8,12,stable,0.2,-1.5,2
"Otero County(7,8)",35035,***,109.3,94.5,125.8,42,stable,-0.2,-1.1,0.8
"Dona Ana County(7,8)",35013,***,105.2,96.8,114.1,122,stable,1.6,-0.2,3.5
"Lincoln County(7,8)",35027,***,105,80.7,135.2,17,falling,-2.2,-4,-0.4
"Sierra County(7,8)",35051,***,99.5,73.9,134.7,12,stable,-1.3,-3,0.4
"Grant County(7,8)",35017,***,96.8,77.6,119.8,22,stable,0,-1.5,1.5
"Rio Arriba County(7,8)",35039,***,95.8,79,115.3,25,stable,0.5,-0.6,1.6
Mora County(7),35033,***,92.9,54.2,155.8,4,*,*,*,*
"Luna County(7,8)",35029,***,92.7,72.3,117.4,16,stable,0,-1.8,1.8
"Curry County(7,8)",35009,***,91.7,75.1,111,22,stable,-0.5,-1.7,0.7
"San Miguel County(7,8)",35047,***,88.8,69.9,111.6,17,stable,-0.6,-1.5,0.3
"San Juan County(7,8)",35045,***,88.6,78.7,99.5,60,stable,-0.3,-1.1,0.5
"Cibola County(7,8)",35006,***,87.4,67.4,111.6,14,stable,-0.2,-1.4,1
"Chaves County(7,8)",35005,***,86.8,73.7,101.7,33,stable,-0.3,-1.5,1
"Lea County(7,8)",35025,***,82,68.3,97.6,26,stable,0.2,-0.7,1.1
"Roosevelt County(7,8)",35041,***,80.8,56.9,111.1,8,stable,-0.4,-2.7,2
"McKinley County(7,8)",35031,***,79.1,66.8,93.1,30,stable,-0.4,-1.6,0.8
"Eddy County(7,8)",35015,***,74.8,61.9,89.8,25,falling,-1.7,-2.9,-0.6
De Baca County(7),35011,***,* ,*, *,3 or fewer,*,*,*,*
Harding County(7),35021,***,* ,*, *,3 or fewer,*,*,*,*
Union County(7),35059,***,* ,*, *,3 or fewer,*,*,*,*
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:40 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
