Incidence Rate Report for New Mexico by County,,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"New Mexico(3,8)",35000,***,40.3,39.1,41.4,979,falling,-2.4,-3,-1.7
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Sierra County(7,8)",35051,***,64.9,52,82.1,18,stable,-0.2,-1.7,1.2
"Lea County(7,8)",35025,***,55.6,47.4,64.7,33,falling,-1.4,-2.4,-0.5
"Otero County(7,8)",35035,***,55.3,48.2,63.3,44,stable,0.7,-0.2,1.7
"Quay County(7,8)",35037,***,51.8,36.8,72.5,8,stable,0,-2.3,2.2
"Roosevelt County(7,8)",35041,***,51,37.6,67.6,10,falling,-5.7,-10,-1.2
"Luna County(7,8)",35029,***,50.2,40.6,61.8,19,stable,0.1,-1.2,1.4
"Chaves County(7,8)",35005,***,50,43.1,57.8,38,falling,-3.1,-5.6,-0.5
"Curry County(7,8)",35009,***,48.7,40.1,58.6,23,stable,-0.4,-1.6,0.9
"Eddy County(7,8)",35015,***,48.6,41.2,57,32,stable,-0.9,-2,0.2
"Valencia County(7,8)",35061,***,48.3,41.9,55.4,43,stable,-0.6,-1.8,0.6
Hidalgo County(7),35023,***,45.1,25.6,76.1,3,*,*,*,*
"Torrance County(7,8)",35057,***,44.3,32.6,59.3,10,stable,-1.2,-2.7,0.2
"Colfax County(7,8)",35007,***,43.2,31.8,58.4,10,stable,-0.6,-2.5,1.3
"Grant County(7,8)",35017,***,43.2,35.3,52.7,22,stable,-0.6,-1.8,0.7
"San Juan County(7,8)",35045,***,43,38,48.5,55,stable,-0.8,-1.5,0
"Dona Ana County(7,8)",35013,***,42.6,38.8,46.6,96,stable,-0.4,-0.8,0
"Lincoln County(7,8)",35027,***,40.9,32.1,52.3,15,stable,-0.3,-1.7,1.1
"Socorro County(7,8)",35053,***,40.9,30,54.9,10,stable,-0.9,-3.1,1.3
"Sandoval County(7,8)",35043,***,40.7,36.2,45.6,63,falling,-1.3,-2.4,-0.3
Catron County(7),35003,***,40.4,23.2,78.3,4,*,*,*,*
"Cibola County(7,8)",35006,***,39.9,30.4,51.5,12,stable,-0.6,-2.2,1.1
"Bernalillo County(7,8)",35001,***,38.5,36.5,40.6,283,falling,-1.3,-1.6,-1
"San Miguel County(7,8)",35047,***,35.6,27.6,45.5,14,stable,-1.1,-2.3,0.1
"Taos County(7,8)",35055,***,33.1,25.9,41.9,16,stable,-0.9,-2.4,0.7
"Rio Arriba County(7,8)",35039,***,30.8,24.1,38.9,15,stable,-1,-3,1
"Santa Fe County(7,8)",35049,***,26.8,23.7,30.3,56,stable,-7.8,-15.3,0.3
"Los Alamos County(7,8)",35028,***,24.6,16.7,35.6,6,stable,-1.3,-3.4,0.9
"McKinley County(7,8)",35031,***,14.1,10.3,18.9,9,falling,-3.3,-5.3,-1.3
